Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Scott Brison,Megan Brown-Hodges,Will Cooper,Hugh Curry,David Morse,Edd Twohig,Clifford James Williams,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12007,"Kings--Hants/Kings--Hants"," 123","Centreville",138,1,10,14,37,0,0,0,200,354
12007,"Kings--Hants/Kings--Hants"," 124","Centreville",128,0,6,16,40,0,0,0,190,423
12007,"Kings--Hants/Kings--Hants"," 125","Kentville",88,0,7,14,26,0,0,0,135,313
12007,"Kings--Hants/Kings--Hants"," 126","Kentville",131,1,8,25,28,1,1,0,195,508
12007,"Kings--Hants/Kings--Hants"," 127","Kentville",73,1,3,13,28,0,0,1,119,300
12007,"Kings--Hants/Kings--Hants"," 128","Kentville",111,1,8,16,38,0,0,0,174,338
12007,"Kings--Hants/Kings--Hants"," 129","Kentville",92,0,8,17,32,0,0,0,149,290
12007,"Kings--Hants/Kings--Hants"," 130","Kentville",88,0,7,10,39,0,1,0,145,285
12007,"Kings--Hants/Kings--Hants"," 131","Kentville",120,0,6,3,44,0,0,1,174,309
12007,"Kings--Hants/Kings--Hants"," 132","New Minas",114,1,5,8,42,0,0,0,170,364
12007,"Kings--Hants/Kings--Hants"," 133","New Minas",106,0,4,9,17,0,1,0,137,312
12007,"Kings--Hants/Kings--Hants"," 134","New Minas",77,0,1,11,26,0,0,0,115,275
12007,"Kings--Hants/Kings--Hants"," 135","New Minas",64,0,2,5,27,0,0,0,98,295
12007,"Kings--Hants/Kings--Hants"," 136","New Minas",69,1,5,6,30,3,0,0,114,275
12007,"Kings--Hants/Kings--Hants"," 137","New Minas",95,2,3,13,25,0,0,0,138,318
12007,"Kings--Hants/Kings--Hants"," 138","New Minas",123,0,8,10,31,1,1,0,174,376
12007,"Kings--Hants/Kings--Hants"," 139","New Minas",58,0,1,2,33,1,1,0,96,251
12007,"Kings--Hants/Kings--Hants"," 140","New Minas",112,0,1,10,39,0,0,0,162,332
12007,"Kings--Hants/Kings--Hants"," 141","New Minas",70,0,2,12,30,0,0,1,115,303
12007,"Kings--Hants/Kings--Hants"," 142","New Minas",105,0,6,19,36,0,0,0,166,374
12007,"Kings--Hants/Kings--Hants"," 143","Kentville",146,2,2,15,36,0,2,2,205,404
12007,"Kings--Hants/Kings--Hants"," 144","Kentville",90,0,7,8,27,1,0,0,133,313
12007,"Kings--Hants/Kings--Hants"," 145","Kentville",168,1,4,11,31,1,0,0,216,476
12007,"Kings--Hants/Kings--Hants"," 146","Kentville",140,0,10,10,25,0,0,0,185,364
12007,"Kings--Hants/Kings--Hants"," 147","Kentville",104,0,8,19,24,0,0,0,155,370
12007,"Kings--Hants/Kings--Hants"," 148","Kentville",127,1,9,7,27,1,0,0,172,342
12007,"Kings--Hants/Kings--Hants"," 149","Kentville",134,0,4,12,31,9,0,0,190,403
12007,"Kings--Hants/Kings--Hants"," 150","Kentville",125,3,5,22,44,3,0,0,202,410
12007,"Kings--Hants/Kings--Hants"," 151","Kentville",176,0,13,22,58,4,1,0,274,539
12007,"Kings--Hants/Kings--Hants"," 152","Kentville",189,1,11,14,58,0,0,1,274,423
12007,"Kings--Hants/Kings--Hants"," 153","Kentville",170,0,5,7,54,1,0,0,237,405
12007,"Kings--Hants/Kings--Hants"," 154","Kentville",143,0,1,17,48,1,1,0,211,425
12007,"Kings--Hants/Kings--Hants"," 155","Coldbrook",144,0,4,11,25,0,1,0,185,361
12007,"Kings--Hants/Kings--Hants"," 156","Coldbrook",127,1,11,15,36,1,0,1,192,392
12007,"Kings--Hants/Kings--Hants"," 157","Coldbrook",139,0,8,12,55,0,2,0,216,359
12007,"Kings--Hants/Kings--Hants"," 158","Coldbrook",134,1,5,8,45,0,0,2,195,310
12007,"Kings--Hants/Kings--Hants"," 159","Coldbrook",109,1,3,8,36,1,0,1,159,280
12007,"Kings--Hants/Kings--Hants"," 160","Coldbrook",145,2,1,11,44,1,1,0,205,373
12007,"Kings--Hants/Kings--Hants"," 161","Lakeville",133,2,7,11,51,3,0,0,207,357
12007,"Kings--Hants/Kings--Hants"," 162","Lakeville",160,0,10,18,47,1,0,0,236,393
12007,"Kings--Hants/Kings--Hants"," 163","Kinsmans Corner",149,0,5,22,53,0,0,0,229,397
12007,"Kings--Hants/Kings--Hants"," 164","Kinsmans Corner",162,2,7,10,43,0,0,0,224,406
12007,"Kings--Hants/Kings--Hants"," 165","Canada Creek",98,1,8,9,47,0,1,0,164,244
12007,"Kings--Hants/Kings--Hants"," 166","Cambridge",173,0,7,13,58,0,0,1,252,445
12007,"Kings--Hants/Kings--Hants"," 167","Cambridge",71,1,5,10,19,0,0,3,109,236
12007,"Kings--Hants/Kings--Hants"," 168","Cambridge",112,1,4,9,38,1,3,2,170,295
12007,"Kings--Hants/Kings--Hants"," 169","North Alton",152,3,10,8,40,0,1,1,215,327
12007,"Kings--Hants/Kings--Hants"," 170","North Alton",143,1,4,10,65,3,1,1,228,424
12007,"Kings--Hants/Kings--Hants"," 171","North Alton",116,3,6,10,56,1,0,0,192,316
12007,"Kings--Hants/Kings--Hants"," 172","North Alton",147,0,4,13,52,0,0,0,216,387
12007,"Kings--Hants/Kings--Hants"," 173","South Alton",120,2,5,13,53,0,0,2,195,366
12007,"Kings--Hants/Kings--Hants"," 174","Upper Vaughan",166,2,6,9,46,0,0,0,229,386
12007,"Kings--Hants/Kings--Hants"," 175","Upper Vaughan",100,0,3,6,45,0,0,0,154,318
12007,"Kings--Hants/Kings--Hants"," 176","Wolfville",129,1,12,13,27,1,0,0,183,374
12007,"Kings--Hants/Kings--Hants"," 177","Wolfville",155,1,10,15,26,1,0,0,208,344
12007,"Kings--Hants/Kings--Hants"," 178","Wolfville",138,2,13,19,35,0,0,2,209,389
12007,"Kings--Hants/Kings--Hants"," 179","Wolfville",128,1,12,21,41,1,0,1,205,365
12007,"Kings--Hants/Kings--Hants"," 180","Wolfville",121,0,16,20,13,1,0,1,172,409
12007,"Kings--Hants/Kings--Hants"," 181","Wolfville",193,1,19,11,35,2,0,0,261,400
12007,"Kings--Hants/Kings--Hants"," 182","Wolfville",152,0,12,8,17,2,1,1,193,409
12007,"Kings--Hants/Kings--Hants"," 183","Wolfville",118,1,7,20,22,0,1,0,169,365
12007,"Kings--Hants/Kings--Hants"," 184","Wolfville",165,4,14,34,17,1,1,2,238,474
12007,"Kings--Hants/Kings--Hants"," 185","Wolfville",151,0,15,15,20,0,0,0,201,232
12007,"Kings--Hants/Kings--Hants"," 186","Enfield",142,0,8,17,30,1,0,1,199,409
12007,"Kings--Hants/Kings--Hants"," 187","Elmsdale",167,0,4,16,38,0,0,0,225,437
12007,"Kings--Hants/Kings--Hants"," 188","Enfield",149,1,4,14,30,0,1,1,200,369
12007,"Kings--Hants/Kings--Hants"," 189","Enfield",129,0,5,6,26,0,0,0,166,311
12007,"Kings--Hants/Kings--Hants"," 190","Enfield",145,0,9,8,17,1,1,0,181,375
12007,"Kings--Hants/Kings--Hants"," 191","Enfield",138,0,7,21,34,1,2,1,204,403
12007,"Kings--Hants/Kings--Hants"," 192","Enfield",102,1,3,9,30,0,0,0,145,278
12007,"Kings--Hants/Kings--Hants"," 193","Enfield",160,0,10,14,30,0,1,0,215,426
12007,"Kings--Hants/Kings--Hants"," 194","Enfield",99,2,9,11,55,0,0,0,176,316
12007,"Kings--Hants/Kings--Hants"," 500","Mobile poll/Bureau itinérant",63,0,0,5,21,1,0,1,91,245
12007,"Kings--Hants/Kings--Hants"," 501","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,,
12007,"Kings--Hants/Kings--Hants"," 502","Mobile poll/Bureau itinérant",43,2,1,5,23,0,0,1,75,171
12007,"Kings--Hants/Kings--Hants"," 503","Mobile poll/Bureau itinérant",46,0,3,4,24,2,1,6,86,139
12007,"Kings--Hants/Kings--Hants"," 600","Canada Creek",204,0,13,19,87,1,0,0,324,
12007,"Kings--Hants/Kings--Hants"," 601","Canning",281,4,29,22,76,0,1,3,416,
12007,"Kings--Hants/Kings--Hants"," 602","Wolfville",435,2,18,49,66,1,2,0,573,
12007,"Kings--Hants/Kings--Hants"," 603","Wolfville",438,4,28,43,91,4,0,0,608,
12007,"Kings--Hants/Kings--Hants"," 604","Centreville",273,1,12,23,70,0,0,2,381,
12007,"Kings--Hants/Kings--Hants"," 605","New Minas",481,2,18,29,158,3,0,1,692,
12007,"Kings--Hants/Kings--Hants"," 606","Kentville",586,4,27,44,172,2,1,0,836,
12007,"Kings--Hants/Kings--Hants"," 607","Centreville",184,1,6,19,87,1,0,0,298,
12007,"Kings--Hants/Kings--Hants"," 608","Kentville",332,0,14,21,107,2,0,1,477,
12007,"Kings--Hants/Kings--Hants"," 609","New Minas",206,0,4,20,71,1,1,1,304,
