Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Chris Bittle,Rick Dykstra,Susan Erskine-Fournier,Jim Fannon,Saleh Waziruddin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35089,"St. Catharines/St. Catharines"," 1","St. Catharines",100,115,54,9,1,2,281,478
35089,"St. Catharines/St. Catharines"," 2","St. Catharines",117,82,38,5,0,0,242,457
35089,"St. Catharines/St. Catharines"," 3","St. Catharines",105,110,43,1,1,2,262,462
35089,"St. Catharines/St. Catharines"," 4","St. Catharines",109,106,35,6,0,2,258,444
35089,"St. Catharines/St. Catharines"," 5","St. Catharines",110,124,26,4,2,0,266,438
35089,"St. Catharines/St. Catharines"," 6","St. Catharines",85,117,24,3,0,0,229,386
35089,"St. Catharines/St. Catharines"," 7","St. Catharines",126,101,18,5,0,2,252,457
35089,"St. Catharines/St. Catharines"," 8","St. Catharines",105,104,37,10,0,0,256,430
35089,"St. Catharines/St. Catharines"," 9","St. Catharines",98,83,14,4,1,0,200,365
35089,"St. Catharines/St. Catharines"," 10","St. Catharines",106,87,15,3,0,1,212,389
35089,"St. Catharines/St. Catharines"," 11","St. Catharines",77,94,22,4,0,0,197,353
35089,"St. Catharines/St. Catharines"," 12","St. Catharines",108,103,31,7,0,2,251,444
35089,"St. Catharines/St. Catharines"," 13","St. Catharines",98,98,24,5,0,1,226,382
35089,"St. Catharines/St. Catharines"," 14","St. Catharines",99,69,22,3,0,0,193,378
35089,"St. Catharines/St. Catharines"," 15","St. Catharines",106,124,23,8,0,0,261,432
35089,"St. Catharines/St. Catharines"," 16","St. Catharines",79,130,31,7,0,0,247,509
35089,"St. Catharines/St. Catharines"," 17","St. Catharines",85,99,12,4,0,1,201,377
35089,"St. Catharines/St. Catharines"," 18","St. Catharines",105,88,35,4,0,2,234,434
35089,"St. Catharines/St. Catharines"," 19","St. Catharines",109,75,20,9,0,0,213,392
35089,"St. Catharines/St. Catharines"," 20","St. Catharines",96,67,32,2,0,1,198,354
35089,"St. Catharines/St. Catharines"," 21","St. Catharines",112,84,46,3,0,2,247,402
35089,"St. Catharines/St. Catharines"," 22","St. Catharines",76,106,19,6,0,0,207,378
35089,"St. Catharines/St. Catharines"," 23","St. Catharines",70,102,16,3,0,0,191,349
35089,"St. Catharines/St. Catharines"," 24","St. Catharines",88,87,25,4,0,1,205,379
35089,"St. Catharines/St. Catharines"," 25","St. Catharines",99,98,26,4,0,1,228,398
35089,"St. Catharines/St. Catharines"," 26","St. Catharines",123,112,41,7,0,1,284,439
35089,"St. Catharines/St. Catharines"," 27","St. Catharines",114,158,35,7,0,1,315,498
35089,"St. Catharines/St. Catharines"," 28","St. Catharines",102,72,33,9,0,1,217,346
35089,"St. Catharines/St. Catharines"," 29","St. Catharines",51,56,35,4,1,0,147,321
35089,"St. Catharines/St. Catharines"," 30","St. Catharines",85,89,37,4,0,0,215,393
35089,"St. Catharines/St. Catharines"," 31","St. Catharines",78,63,33,7,1,2,184,351
35089,"St. Catharines/St. Catharines"," 32","St. Catharines",31,57,7,0,0,1,96,181
35089,"St. Catharines/St. Catharines"," 33","St. Catharines",95,55,19,2,2,0,173,300
35089,"St. Catharines/St. Catharines"," 34","St. Catharines",102,73,33,3,1,0,212,332
35089,"St. Catharines/St. Catharines"," 35","St. Catharines",66,60,22,10,0,0,158,313
35089,"St. Catharines/St. Catharines"," 36","St. Catharines",90,82,31,4,1,0,208,389
35089,"St. Catharines/St. Catharines"," 37","St. Catharines",82,80,42,5,0,0,209,386
35089,"St. Catharines/St. Catharines"," 38","St. Catharines",92,114,43,8,1,0,258,417
35089,"St. Catharines/St. Catharines"," 39","St. Catharines",86,105,42,9,0,0,242,379
35089,"St. Catharines/St. Catharines"," 40","St. Catharines",128,131,53,5,3,0,320,618
35089,"St. Catharines/St. Catharines"," 41","St. Catharines",86,124,23,6,0,1,240,423
35089,"St. Catharines/St. Catharines"," 42","St. Catharines",127,103,38,4,0,1,273,464
35089,"St. Catharines/St. Catharines"," 43","St. Catharines",113,87,45,3,0,2,250,461
35089,"St. Catharines/St. Catharines"," 44","St. Catharines",111,122,32,3,0,2,270,470
35089,"St. Catharines/St. Catharines"," 45","St. Catharines",109,75,33,5,0,0,222,389
35089,"St. Catharines/St. Catharines"," 46","St. Catharines",90,67,37,6,1,0,201,341
35089,"St. Catharines/St. Catharines"," 47","St. Catharines",94,109,34,7,0,0,244,449
35089,"St. Catharines/St. Catharines"," 48","St. Catharines",94,103,40,10,1,0,248,479
35089,"St. Catharines/St. Catharines"," 49","St. Catharines",94,91,50,1,0,0,236,450
35089,"St. Catharines/St. Catharines"," 50","St. Catharines",132,110,29,15,1,2,289,440
35089,"St. Catharines/St. Catharines"," 51","St. Catharines",106,115,39,7,0,1,268,447
35089,"St. Catharines/St. Catharines"," 52","St. Catharines",112,105,32,9,0,1,259,434
35089,"St. Catharines/St. Catharines"," 53","St. Catharines",99,87,20,7,0,1,214,384
35089,"St. Catharines/St. Catharines"," 54","St. Catharines",110,96,40,12,0,1,259,440
35089,"St. Catharines/St. Catharines"," 55","St. Catharines",116,106,60,6,2,1,291,424
35089,"St. Catharines/St. Catharines"," 56","St. Catharines",146,111,42,5,0,3,307,498
35089,"St. Catharines/St. Catharines"," 57","St. Catharines",114,104,31,5,0,0,254,449
35089,"St. Catharines/St. Catharines"," 58","St. Catharines",128,130,36,8,0,1,303,588
35089,"St. Catharines/St. Catharines"," 59","St. Catharines",68,82,38,2,1,0,191,346
35089,"St. Catharines/St. Catharines"," 60","St. Catharines",57,52,51,4,2,0,166,285
35089,"St. Catharines/St. Catharines"," 61","St. Catharines",59,36,19,8,0,0,122,345
35089,"St. Catharines/St. Catharines"," 62","St. Catharines",98,91,38,4,0,1,232,371
35089,"St. Catharines/St. Catharines"," 63","St. Catharines",92,66,35,5,0,0,198,355
35089,"St. Catharines/St. Catharines"," 64","St. Catharines",90,95,21,3,0,0,209,375
35089,"St. Catharines/St. Catharines"," 65","St. Catharines",103,79,26,2,0,2,212,371
35089,"St. Catharines/St. Catharines"," 66A","St. Catharines",57,61,21,6,0,0,145,257
35089,"St. Catharines/St. Catharines"," 66B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°504A,,,,,,,13
35089,"St. Catharines/St. Catharines"," 66C","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°504A,,,,,,,16
35089,"St. Catharines/St. Catharines"," 66D","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°504A,,,,,,,15
35089,"St. Catharines/St. Catharines"," 67","St. Catharines",159,117,34,4,0,3,317,517
35089,"St. Catharines/St. Catharines"," 68","St. Catharines",130,109,39,10,1,0,289,489
35089,"St. Catharines/St. Catharines"," 69","St. Catharines",60,64,28,2,1,0,155,386
35089,"St. Catharines/St. Catharines"," 70","St. Catharines",87,57,43,4,0,0,191,485
35089,"St. Catharines/St. Catharines"," 71","St. Catharines",107,93,49,7,1,0,257,448
35089,"St. Catharines/St. Catharines"," 72","St. Catharines",103,83,35,8,1,0,230,425
35089,"St. Catharines/St. Catharines"," 73","St. Catharines",121,85,39,2,0,3,250,430
35089,"St. Catharines/St. Catharines"," 74","St. Catharines",98,64,38,2,0,0,202,453
35089,"St. Catharines/St. Catharines"," 75","St. Catharines",90,110,45,2,1,3,251,414
