Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Robert Goguen,Luc LeBlanc,Luc Melanson,Ginette Petitpas Taylor,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 1","Moncton",66,36,6,108,2,218,478
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 2","Moncton",28,42,10,147,0,227,451
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 3","Moncton",37,39,10,123,5,214,444
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 4","Moncton",34,34,11,114,2,195,423
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 5","Moncton",37,44,8,118,0,207,488
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 6","Moncton",41,42,11,141,2,237,501
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 7","Moncton",24,38,12,108,1,183,438
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 8","Moncton",53,33,20,173,1,280,488
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 9","Moncton",41,39,6,151,0,237,419
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 10","Moncton",39,37,8,150,3,237,441
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 11","Moncton",40,46,5,172,2,265,447
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 12","Moncton",30,68,17,176,1,292,586
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 13","Moncton",38,47,6,180,0,271,445
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 14","Moncton",44,42,10,129,3,228,484
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 15","Moncton",24,53,9,99,1,186,398
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 16","Moncton",13,31,5,118,2,169,344
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 17","Moncton",30,28,13,91,1,163,339
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 18","Moncton",20,41,5,115,0,181,356
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 19","Moncton",27,56,14,127,0,224,395
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 20","Moncton",46,27,8,162,1,244,419
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 21","Moncton",56,27,7,162,2,254,456
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 22","Moncton",44,48,12,232,3,339,626
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 23","Moncton",60,36,11,150,0,257,503
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 24","Moncton",39,38,15,155,0,247,468
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 25","Moncton",55,28,9,133,1,226,420
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 26","Moncton",31,36,7,134,0,208,485
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 27","Moncton",43,41,8,127,2,221,450
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 28","Moncton",46,31,9,157,0,243,487
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 29","Moncton",28,39,12,129,1,209,425
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 30","Moncton",40,46,12,137,2,237,437
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 31","Moncton",35,42,9,178,1,265,461
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 32","Moncton",27,28,3,106,0,164,405
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 33","Moncton",32,30,4,106,1,173,362
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 34","Dieppe",18,35,6,149,0,208,400
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 35","Dieppe",22,27,12,166,1,228,344
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 36","Dieppe",19,22,7,127,0,175,328
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 37","Dieppe",12,32,13,164,1,222,506
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 38","Dieppe",20,38,4,125,0,187,398
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 39","Dieppe",22,37,8,152,1,220,491
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 40","Dieppe",26,24,8,124,2,184,403
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 41","Dieppe",22,38,6,150,1,217,403
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 42","Dieppe",11,22,9,121,0,163,354
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 43","Dieppe",20,50,12,161,0,243,525
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 44","Dieppe",27,28,5,154,1,215,384
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 45","Dieppe",30,30,9,152,0,221,401
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 46","Dieppe",25,52,9,169,2,257,390
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 47","Dieppe",24,25,11,173,2,235,390
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 48","Dieppe",19,44,9,187,1,260,423
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 49A","Dieppe",15,40,8,142,0,205,358
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 49B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°504,,,,,,94
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 50","Dieppe",23,22,11,168,0,224,387
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 51","Dieppe",8,38,9,99,0,154,288
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 52","Dieppe",25,38,6,139,1,209,375
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 53","Dieppe",30,34,10,179,2,255,441
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 54","Dieppe",12,18,2,72,1,105,222
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 55","Moncton",15,18,11,66,1,111,369
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 56A","Moncton",6,25,8,63,0,102,248
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 56B","Moncton",Merged with No./Fusionné avec le n°61,,,,,,84
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 57","Moncton",24,54,5,148,1,232,387
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 58","Moncton",22,54,14,134,1,225,434
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 59","Moncton",19,56,13,93,1,182,420
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 60","Moncton",25,44,6,125,0,200,347
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 61","Moncton",24,35,13,133,1,206,356
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 62","Moncton",11,44,20,91,1,167,368
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 63","Moncton",9,53,9,85,0,156,335
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 64","Moncton",22,43,14,112,1,192,404
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 65","Moncton",42,45,9,133,0,229,391
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 66","Moncton",29,25,10,90,0,154,339
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 67A","Moncton",25,20,3,98,0,146,356
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 67B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501,,,,,,130
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 68","Moncton",17,31,7,69,4,128,340
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 69","Moncton",24,29,8,72,2,135,337
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 70","Moncton",31,30,22,109,4,196,444
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 71","Moncton",30,32,8,72,1,143,338
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 72","Moncton",37,27,10,107,1,182,379
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 73","Moncton",52,32,8,114,0,206,420
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 74","Moncton",34,31,10,101,0,176,453
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 75","Moncton",20,45,11,103,0,179,410
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 76","Moncton",23,37,10,93,2,165,379
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 77","Moncton",25,44,17,127,1,214,429
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 78","Moncton",15,45,18,135,2,215,412
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 79","Moncton",80,42,14,133,3,272,492
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 80","Moncton",60,30,9,108,0,207,487
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 81","Moncton",80,52,13,201,0,346,668
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 82","Moncton",49,11,5,93,0,158,349
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 83","Moncton",33,36,8,156,0,233,446
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 84","Moncton",28,39,9,106,0,182,351
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 85","Moncton",39,30,10,83,3,165,386
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 86","Moncton",51,31,5,90,3,180,361
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 87","Moncton",35,25,7,103,0,170,372
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 88A","Moncton",110,28,9,115,0,262,519
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 88B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°502,,,,,,9
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 89","Moncton",50,27,2,86,0,165,314
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 90","Moncton",102,34,23,127,0,286,502
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 91","Moncton",76,39,11,127,2,255,498
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 92","Moncton",69,31,8,147,0,255,493
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 93","Moncton",56,34,10,120,0,220,396
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 94","Moncton",58,27,4,128,2,219,407
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 95","Moncton",25,32,9,95,1,162,353
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 96","Moncton",24,24,14,99,2,163,386
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 97","Moncton",54,32,6,88,0,180,363
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 98","Moncton",67,29,8,97,2,203,379
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 99","Moncton",31,33,13,123,0,200,364
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 100","Moncton",62,19,9,126,3,219,423
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 101","Moncton",52,28,6,115,1,202,394
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 102","Moncton",48,40,13,147,2,250,448
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 103","Moncton",122,37,14,177,3,353,669
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 104","Moncton",66,40,11,125,0,242,412
