Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jacques Y. Boudreau,Ed Holder,Dimitri Lascaris,Michael Lewis,Matthew Rowlinson,Kate Young,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35053,"London West/London-Ouest"," 1A","London",2,70,2,0,24,87,0,185,316
35053,"London West/London-Ouest"," 1B","London",5,97,6,0,27,64,0,199,322
35053,"London West/London-Ouest"," 2","London",8,116,8,2,46,150,0,330,621
35053,"London West/London-Ouest"," 3","London",3,99,8,0,61,149,2,322,559
35053,"London West/London-Ouest"," 4","London",1,76,9,1,42,95,1,225,392
35053,"London West/London-Ouest"," 5","London",3,87,4,0,44,124,2,264,406
35053,"London West/London-Ouest"," 6","London",2,73,2,0,50,93,0,220,367
35053,"London West/London-Ouest"," 7","London",4,49,5,0,37,73,0,168,290
35053,"London West/London-Ouest"," 8","London",1,51,8,1,46,102,0,209,370
35053,"London West/London-Ouest"," 9","London",2,75,5,0,49,107,3,241,427
35053,"London West/London-Ouest"," 10","London",2,102,6,0,45,123,1,279,506
35053,"London West/London-Ouest"," 11","London",1,86,7,0,24,93,0,211,351
35053,"London West/London-Ouest"," 12","London",1,105,8,0,48,143,4,309,473
35053,"London West/London-Ouest"," 13","London",6,60,12,0,40,122,0,240,404
35053,"London West/London-Ouest"," 14","London",1,59,7,0,29,104,1,201,345
35053,"London West/London-Ouest"," 15","London",9,101,6,2,55,155,1,329,615
35053,"London West/London-Ouest"," 16","London",2,67,4,0,21,74,1,169,333
35053,"London West/London-Ouest"," 17","London",2,77,5,0,32,123,0,239,405
35053,"London West/London-Ouest"," 18","London",2,100,6,0,27,133,2,270,454
35053,"London West/London-Ouest"," 19","London",10,125,12,1,28,157,1,334,554
35053,"London West/London-Ouest"," 20A","London",2,54,2,0,18,85,0,161,322
35053,"London West/London-Ouest"," 20B","London",3,54,10,0,23,80,0,170,288
35053,"London West/London-Ouest"," 21","London",2,95,5,1,35,131,2,271,475
35053,"London West/London-Ouest"," 22","London",0,73,7,0,17,44,0,141,227
35053,"London West/London-Ouest"," 23","London",7,61,8,0,63,105,4,248,486
35053,"London West/London-Ouest"," 24","London",2,63,4,0,41,95,0,205,339
35053,"London West/London-Ouest"," 25","London",5,40,8,1,35,79,0,168,317
35053,"London West/London-Ouest"," 26","London",3,74,6,1,34,111,1,230,508
35053,"London West/London-Ouest"," 27","London",0,47,2,0,38,60,0,147,292
35053,"London West/London-Ouest"," 28","London",5,54,9,0,39,104,1,212,481
35053,"London West/London-Ouest"," 29","London",4,76,12,0,48,164,0,304,514
35053,"London West/London-Ouest"," 30","London",2,76,7,0,41,148,0,274,496
35053,"London West/London-Ouest"," 31A","London",1,52,3,0,29,96,0,181,313
35053,"London West/London-Ouest"," 31B","London",1,60,4,0,21,83,0,169,295
35053,"London West/London-Ouest"," 32A","London",2,42,6,0,31,76,0,157,343
35053,"London West/London-Ouest"," 32B","London",1,37,4,0,26,90,0,158,317
35053,"London West/London-Ouest"," 33","London",2,54,7,0,23,90,3,179,369
35053,"London West/London-Ouest"," 34","London",0,42,3,0,24,84,2,155,315
35053,"London West/London-Ouest"," 35","London",5,74,5,0,38,156,5,283,569
