Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Carol-Lee Chapman,Pam Goldsmith-Jones,Robin Kehler,Larry Koopman,Ken Melamed,John Weston,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 1A","Pemberton Meadows",0,121,1,14,32,30,0,198,355
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 1B","Pemberton Meadows",1,102,2,17,28,25,0,175,337
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 2","Pemberton Meadows",0,138,1,16,25,28,0,208,425
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 3","Pemberton",0,183,0,29,29,19,1,261,489
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 4","Pemberton",0,197,2,21,36,16,1,273,479
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 5","Pemberton",0,55,1,8,8,12,0,84,188
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 6","Pemberton",0,105,0,14,22,12,0,153,310
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 7","Pemberton",0,97,1,22,14,29,0,163,367
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 8A","Mount Currie 6",0,79,3,167,10,6,1,266,367
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 8B","Mount Currie 6",1,48,5,95,7,7,1,164,346
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 9","D'Arcy",1,128,0,63,42,38,2,274,424
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 10","Egmont",0,52,0,17,15,22,0,106,190
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 11","Squamish",2,169,0,50,42,32,0,295,506
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 12","Squamish",0,130,0,16,30,53,1,230,450
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 13","Squamish",0,154,0,29,35,42,0,260,430
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 14","Squamish",0,121,1,24,30,32,1,209,425
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 15","Squamish",2,118,1,18,36,25,0,200,381
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 16","Squamish",0,73,2,38,14,22,0,149,291
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 17","Squamish",1,100,1,26,26,30,0,184,375
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 18","Squamish",0,134,1,26,27,35,2,225,441
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 19","Squamish",1,114,2,32,20,49,0,218,447
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 20","Squamish",0,111,0,23,24,59,0,217,409
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 21","Squamish",0,178,0,24,33,52,1,288,504
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 22","Squamish",0,91,0,20,18,47,0,176,328
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 23","Squamish",0,138,0,21,33,39,0,231,422
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 24","Squamish",0,128,1,19,28,49,0,225,413
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 25","Squamish",0,235,3,28,19,60,0,345,593
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 26","Squamish",0,173,1,19,24,52,1,270,450
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 27","Whistler",0,137,0,13,25,19,2,196,434
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 28","Whistler",2,191,2,9,22,37,1,264,475
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 29","Whistler",1,167,0,7,25,23,1,224,474
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 30","Whistler",0,147,2,12,22,45,0,228,484
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 31","Whistler",0,160,0,12,27,25,1,225,477
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 32","Pemberton Meadows",0,177,0,17,28,20,1,243,494
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 33","Whistler",0,117,3,13,27,18,0,178,429
