Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ahmed Hussen,John Johnson,Stephen Lepone,James Robinson,Mike Sullivan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35120,"York South--Weston/York-Sud--Weston"," 69","York",74,7,2,34,45,2,164,311
35120,"York South--Weston/York-Sud--Weston"," 70","York",143,3,3,39,53,2,243,524
35120,"York South--Weston/York-Sud--Weston"," 71","York",114,7,11,40,67,0,239,474
35120,"York South--Weston/York-Sud--Weston"," 72","York",96,6,7,40,58,0,207,434
35120,"York South--Weston/York-Sud--Weston"," 73","York",95,2,4,52,52,0,205,449
35120,"York South--Weston/York-Sud--Weston"," 74","York",89,3,7,56,65,2,222,465
35120,"York South--Weston/York-Sud--Weston"," 75","North York",68,6,1,38,58,1,172,318
35120,"York South--Weston/York-Sud--Weston"," 76","North York",96,7,3,45,48,0,199,406
35120,"York South--Weston/York-Sud--Weston"," 77","North York",104,2,4,31,45,2,188,327
35120,"York South--Weston/York-Sud--Weston"," 78","North York",172,2,8,47,73,6,308,591
35120,"York South--Weston/York-Sud--Weston"," 79","York",88,5,7,16,51,2,169,311
35120,"York South--Weston/York-Sud--Weston"," 80","York",154,3,5,36,46,1,245,480
35120,"York South--Weston/York-Sud--Weston"," 81","York",130,2,6,27,54,3,222,443
35120,"York South--Weston/York-Sud--Weston"," 82","York",137,9,5,42,66,4,263,448
35120,"York South--Weston/York-Sud--Weston"," 83","York",135,4,7,57,64,4,271,426
35120,"York South--Weston/York-Sud--Weston"," 84","York",132,2,5,44,70,3,256,423
35120,"York South--Weston/York-Sud--Weston"," 85","York",106,10,9,35,53,1,214,438
35120,"York South--Weston/York-Sud--Weston"," 86","York",89,4,6,52,90,3,244,478
35120,"York South--Weston/York-Sud--Weston"," 87","York",100,5,27,10,57,4,203,424
35120,"York South--Weston/York-Sud--Weston"," 88","York",115,5,2,41,38,0,201,366
35120,"York South--Weston/York-Sud--Weston"," 89","York",91,2,9,35,58,0,195,407
35120,"York South--Weston/York-Sud--Weston"," 90","York",93,2,6,33,48,2,184,402
35120,"York South--Weston/York-Sud--Weston"," 91","York",100,4,2,49,49,5,209,386
35120,"York South--Weston/York-Sud--Weston"," 92","York",103,2,6,34,69,7,221,444
35120,"York South--Weston/York-Sud--Weston"," 93","York",125,4,11,43,53,1,237,404
35120,"York South--Weston/York-Sud--Weston"," 94","York",71,2,12,39,77,1,202,394
35120,"York South--Weston/York-Sud--Weston"," 95","York",94,3,5,40,103,2,247,482
35120,"York South--Weston/York-Sud--Weston"," 96","York",95,11,7,43,95,1,252,500
35120,"York South--Weston/York-Sud--Weston"," 97","York",127,5,3,18,85,8,246,539
35120,"York South--Weston/York-Sud--Weston"," 98","York",76,4,4,47,62,3,196,487
35120,"York South--Weston/York-Sud--Weston"," 99","York",90,5,6,38,67,4,210,482
35120,"York South--Weston/York-Sud--Weston"," 100","Toronto",65,5,7,41,52,4,174,451
35120,"York South--Weston/York-Sud--Weston"," 101","York",74,2,8,28,68,3,183,412
35120,"York South--Weston/York-Sud--Weston"," 102","York",63,5,3,32,64,1,168,385
35120,"York South--Weston/York-Sud--Weston"," 103","York",83,5,5,31,47,0,171,367
35120,"York South--Weston/York-Sud--Weston"," 104","York",56,2,6,18,42,3,127,306
35120,"York South--Weston/York-Sud--Weston"," 105","York",43,1,0,19,22,3,88,171
35120,"York South--Weston/York-Sud--Weston"," 106","York",88,2,7,23,53,0,173,490
35120,"York South--Weston/York-Sud--Weston"," 107","York",55,2,7,38,48,0,150,340
35120,"York South--Weston/York-Sud--Weston"," 108","York",58,3,2,46,49,2,160,369
35120,"York South--Weston/York-Sud--Weston"," 109","York",104,8,7,55,75,0,249,515
35120,"York South--Weston/York-Sud--Weston"," 110","York",163,1,8,45,85,0,302,541
35120,"York South--Weston/York-Sud--Weston"," 111","York",162,2,8,42,63,2,279,510
35120,"York South--Weston/York-Sud--Weston"," 112","York",100,6,6,43,40,1,196,291
35120,"York South--Weston/York-Sud--Weston"," 113A","York",Merged with No./Fusionné avec le n°67,,,,,,,87
35120,"York South--Weston/York-Sud--Weston"," 113B","York",52,6,4,31,49,0,142,253
35120,"York South--Weston/York-Sud--Weston"," 114","York",100,6,7,46,98,0,257,531
35120,"York South--Weston/York-Sud--Weston"," 115","York",112,3,2,15,41,3,176,500
35120,"York South--Weston/York-Sud--Weston"," 116","York",111,2,1,27,57,0,198,443
35120,"York South--Weston/York-Sud--Weston"," 117","York",73,0,3,27,37,4,144,338
