Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Niki Ashton,Rebecca Chartrand,August Hastmann,Zachary Linnick,Kyle G. Mirecki,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 1","Lac Brochet",157,138,1,3,2,1,302,428
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 2","Tadoule Lake",98,22,1,1,1,0,123,174
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 3","Churchill",94,58,6,1,11,2,172,319
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 4","Churchill",108,70,6,0,16,4,204,382
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 5","South Indian Lake",134,68,4,1,10,2,219,429
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 6","Brochet",97,54,0,1,1,1,154,254
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 7","Lynn Lake",107,106,3,4,32,2,254,363
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 8","Leaf Rapids",65,39,3,1,15,0,123,374
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 9","Paint Lake",25,56,1,1,31,0,114,166
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 10","Split Lake",295,184,2,2,5,2,490,961
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 11","Gillam",178,94,9,3,49,1,334,621
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 12","Bird",28,4,0,1,0,0,33,348
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 13","Shamattawa",83,48,0,0,2,0,133,448
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 14","Gods River",123,40,0,5,1,1,170,304
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 15","Oxford House",62,61,0,3,4,1,131,552
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 16","Oxford House",51,58,1,2,4,2,118,363
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 17","Ilford",32,7,0,0,0,1,40,78
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 18","York Landing",72,31,2,2,2,0,109,209
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 19","Pikwitonei",12,15,1,0,6,1,35,57
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 20","Thicket Portage",37,2,0,1,0,1,41,77
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 21","Wabowden",122,52,2,0,24,3,203,427
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 22","Nelson House",Merged with No./Fusionné avec le n°23,,,,,,,4
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 23","Nelson House",151,351,7,3,2,5,519,1361
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 24","Pukatawagan",233,65,3,1,3,43,348,741
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 25","Sherridon",17,18,0,0,9,0,44,84
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 26","Flin Flon",71,79,13,3,51,1,218,414
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 27","Flin Flon (Part)",42,82,10,2,56,1,193,367
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 28","Flin Flon",65,86,10,3,52,0,216,340
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 29","Flin Flon",91,144,8,2,107,0,352,627
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 30","Flin Flon",76,56,5,5,41,0,183,443
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 31","Flin Flon",52,65,6,2,26,0,151,382
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 32","Flin Flon (Part)",72,66,18,2,41,0,199,446
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 33","Flin Flon (Part)",99,88,8,3,67,0,265,489
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 34","Flin Flon (Part)",83,87,5,8,48,0,231,459
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 35","Flin Flon (Part)",70,66,5,7,57,2,207,350
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 36","Cranberry Portage",70,84,2,0,33,2,191,316
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 37","Cranberry Portage",55,65,3,0,20,0,143,203
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 38","Snow Lake",48,72,8,1,81,3,213,414
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 39","Snow Lake",34,40,8,4,56,0,142,308
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 40","Cormorant",84,10,1,0,3,0,98,253
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 41","Wanless",42,26,5,1,44,0,118,185
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 42","Clearwater Lake",33,69,9,3,63,0,177,304
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 43","Opaskwayak",322,118,3,4,4,0,451,779
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 44","Opaskwayak",157,65,2,1,3,0,228,469
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 45","Opaskwayak",124,40,2,0,2,0,168,372
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 46","Pasquia Settlement",62,44,6,0,50,0,162,306
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 47","Youngs Point",66,54,3,0,38,0,161,355
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 48","The Pas",75,81,5,1,45,0,207,449
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 49","The Pas",60,76,7,0,53,0,196,377
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 50","The Pas",48,69,5,5,36,2,165,401
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 51","Ralls Island",32,43,3,2,41,2,123,207
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 52","The Pas",82,69,6,0,16,3,176,444
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 53","The Pas",101,94,5,1,32,2,235,512
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 54","The Pas",79,75,5,2,24,2,187,361
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 55","The Pas",61,71,1,1,40,0,174,392
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 56","The Pas",71,84,5,2,28,0,190,359
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 57","The Pas",83,83,9,1,34,0,210,465
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 58","The Pas",68,66,6,2,51,0,193,420
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 59","Moose Lake",200,81,6,2,7,0,296,651
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 60","Grand Rapids",168,109,4,1,12,0,294,736
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 61","Norway House",149,161,0,2,7,2,321,521
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 62","Norway House",Merged with No./Fusionné avec le n°61,,,,,,,218
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 63","Norway House",161,203,0,2,10,0,376,1470
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 64","Norway House",37,44,1,0,2,0,84,223
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 65","Cross Lake",290,94,1,1,6,1,393,93
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 66","Cross Lake",118,56,0,0,1,0,175,197
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 67","Cross Lake",226,90,0,2,2,0,320,43
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 68","Cross Lake",127,72,1,1,2,0,203,2287
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 69","Gods Lake Narrows",73,13,1,0,2,1,90,477
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 70","Gods Lake Narrows",62,12,0,0,2,1,77,87
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 71","Red Sucker Lake",27,118,0,0,4,0,149,406
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 72","Garden Hill",20,175,3,2,0,3,203,417
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 73","Garden Hill",18,234,3,3,1,5,264,835
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 74","Waasagomach",69,210,6,4,1,2,292,725
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 75","Norway House",15,26,0,0,1,0,42,96
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 76","Norway House",25,39,0,0,2,0,66,199
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 77","St. Theresa Point",114,407,2,5,1,4,533,1542
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 78","Island Lake",4,10,0,0,8,0,22,29
