Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Yvon Breton,Roland Dick,Fayçal El-Khoury,François Pilon,Nancy Redhead,Faiza R'Guiba-Kalogerakis,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24040,"Laval--Les Îles/Laval--Les Îles"," 1","Laval",3,26,45,56,57,5,7,199,355
24040,"Laval--Les Îles/Laval--Les Îles"," 2","Laval",0,32,86,66,75,6,7,272,433
24040,"Laval--Les Îles/Laval--Les Îles"," 3","Laval",0,30,98,62,54,4,1,249,444
24040,"Laval--Les Îles/Laval--Les Îles"," 4","Laval",1,16,68,54,61,10,4,214,358
24040,"Laval--Les Îles/Laval--Les Îles"," 5","Laval",1,36,117,53,36,5,3,251,448
24040,"Laval--Les Îles/Laval--Les Îles"," 6","Laval",1,20,80,30,19,2,3,155,287
24040,"Laval--Les Îles/Laval--Les Îles"," 7","Laval",0,47,113,78,38,8,5,289,501
24040,"Laval--Les Îles/Laval--Les Îles"," 8","Laval",0,17,68,34,55,7,5,186,379
24040,"Laval--Les Îles/Laval--Les Îles"," 9","Laval",1,33,81,65,45,5,2,232,395
24040,"Laval--Les Îles/Laval--Les Îles"," 10","Laval",0,28,110,60,46,2,4,250,434
24040,"Laval--Les Îles/Laval--Les Îles"," 11A","Laval",0,30,85,35,27,1,2,180,273
24040,"Laval--Les Îles/Laval--Les Îles"," 11B","Laval",0,24,60,30,48,5,6,173,270
24040,"Laval--Les Îles/Laval--Les Îles"," 12A","Laval",0,16,63,36,16,3,2,136,249
24040,"Laval--Les Îles/Laval--Les Îles"," 12B","Laval",0,19,72,45,39,1,0,176,296
24040,"Laval--Les Îles/Laval--Les Îles"," 13","Laval",0,46,106,53,18,2,5,230,402
24040,"Laval--Les Îles/Laval--Les Îles"," 14","Laval",0,35,112,48,32,2,1,230,415
24040,"Laval--Les Îles/Laval--Les Îles"," 15","Laval",0,41,148,45,25,2,4,265,482
24040,"Laval--Les Îles/Laval--Les Îles"," 16A","Laval",1,18,28,34,49,1,5,136,275
24040,"Laval--Les Îles/Laval--Les Îles"," 16B","Laval",0,13,29,29,44,1,6,122,290
24040,"Laval--Les Îles/Laval--Les Îles"," 17","Laval",0,29,92,54,59,3,6,243,412
24040,"Laval--Les Îles/Laval--Les Îles"," 18","Laval",1,38,111,80,63,11,9,313,506
24040,"Laval--Les Îles/Laval--Les Îles"," 19","Laval",1,13,75,44,41,1,0,175,305
24040,"Laval--Les Îles/Laval--Les Îles"," 20","Laval",2,24,109,61,46,3,2,247,439
24040,"Laval--Les Îles/Laval--Les Îles"," 21","Laval",0,54,116,67,24,5,0,266,493
24040,"Laval--Les Îles/Laval--Les Îles"," 22","Laval",2,29,88,62,42,6,3,232,498
24040,"Laval--Les Îles/Laval--Les Îles"," 23","Laval",1,30,114,71,56,8,6,286,454
24040,"Laval--Les Îles/Laval--Les Îles"," 24","Laval",0,24,70,55,50,3,2,204,419
24040,"Laval--Les Îles/Laval--Les Îles"," 25","Laval",0,31,80,29,23,2,1,166,324
24040,"Laval--Les Îles/Laval--Les Îles"," 26","Laval",1,35,87,42,59,6,3,233,509
24040,"Laval--Les Îles/Laval--Les Îles"," 27","Laval",1,38,112,34,20,4,4,213,458
24040,"Laval--Les Îles/Laval--Les Îles"," 28","Laval",0,21,62,37,31,3,5,159,368
24040,"Laval--Les Îles/Laval--Les Îles"," 29","Laval",0,37,71,66,20,7,1,202,487
24040,"Laval--Les Îles/Laval--Les Îles"," 30","Laval",0,31,78,43,13,3,1,169,335
24040,"Laval--Les Îles/Laval--Les Îles"," 31","Laval",0,40,98,48,44,8,2,240,405
24040,"Laval--Les Îles/Laval--Les Îles"," 32","Laval",0,16,45,41,46,2,1,151,373
24040,"Laval--Les Îles/Laval--Les Îles"," 33","Laval",1,25,129,55,26,2,0,238,438
24040,"Laval--Les Îles/Laval--Les Îles"," 34","Laval",3,34,79,43,28,7,2,196,416
24040,"Laval--Les Îles/Laval--Les Îles"," 35","Laval",0,27,123,71,47,5,4,277,420
24040,"Laval--Les Îles/Laval--Les Îles"," 36","Laval",0,48,118,55,28,11,1,261,452
24040,"Laval--Les Îles/Laval--Les Îles"," 37","Laval",1,21,80,42,83,2,12,241,469
24040,"Laval--Les Îles/Laval--Les Îles"," 38","Laval",2,26,41,55,58,2,5,189,404
24040,"Laval--Les Îles/Laval--Les Îles"," 39","Laval",0,31,124,36,39,5,0,235,444
24040,"Laval--Les Îles/Laval--Les Îles"," 40","Laval",0,23,80,43,57,4,5,212,440
24040,"Laval--Les Îles/Laval--Les Îles"," 41","Laval",0,20,56,54,69,12,3,214,457
24040,"Laval--Les Îles/Laval--Les Îles"," 42","Laval",1,23,59,71,48,2,4,208,462
24040,"Laval--Les Îles/Laval--Les Îles"," 43","Laval",1,20,38,47,52,3,5,166,372
24040,"Laval--Les Îles/Laval--Les Îles"," 44","Laval",1,30,84,47,31,4,3,200,389
24040,"Laval--Les Îles/Laval--Les Îles"," 45","Laval",1,26,68,50,61,4,3,213,384
24040,"Laval--Les Îles/Laval--Les Îles"," 46","Laval",0,16,100,60,49,3,2,230,391
24040,"Laval--Les Îles/Laval--Les Îles"," 47","Laval",1,34,102,56,46,5,2,246,440
24040,"Laval--Les Îles/Laval--Les Îles"," 48","Laval",0,12,64,42,56,5,7,186,382
24040,"Laval--Les Îles/Laval--Les Îles"," 49","Laval",0,22,55,30,45,0,1,153,352
24040,"Laval--Les Îles/Laval--Les Îles"," 50","Laval",2,26,59,49,47,5,2,190,376
24040,"Laval--Les Îles/Laval--Les Îles"," 51","Laval",1,17,42,55,59,4,4,182,458
24040,"Laval--Les Îles/Laval--Les Îles"," 52","Laval",1,17,60,41,67,1,1,188,403
24040,"Laval--Les Îles/Laval--Les Îles"," 53","Laval",0,16,62,50,45,5,8,186,414
24040,"Laval--Les Îles/Laval--Les Îles"," 54","Laval",0,16,52,52,45,3,0,168,400
24040,"Laval--Les Îles/Laval--Les Îles"," 55","Laval",0,18,50,38,61,4,1,172,412
24040,"Laval--Les Îles/Laval--Les Îles"," 56","Laval",3,21,46,35,56,3,5,169,415
24040,"Laval--Les Îles/Laval--Les Îles"," 57","Laval",0,17,36,30,48,4,4,139,432
24040,"Laval--Les Îles/Laval--Les Îles"," 58","Laval",1,28,93,63,46,7,3,241,438
24040,"Laval--Les Îles/Laval--Les Îles"," 59","Laval",0,23,84,55,50,5,5,222,398
24040,"Laval--Les Îles/Laval--Les Îles"," 60","Laval",0,23,57,63,58,3,2,206,368
24040,"Laval--Les Îles/Laval--Les Îles"," 61","Laval",0,22,68,55,41,6,3,195,455
24040,"Laval--Les Îles/Laval--Les Îles"," 62","Laval",0,45,106,45,24,4,4,228,411
24040,"Laval--Les Îles/Laval--Les Îles"," 63","Laval",0,47,64,30,22,2,3,168,381
24040,"Laval--Les Îles/Laval--Les Îles"," 64","Laval",0,19,78,50,38,2,3,190,425
24040,"Laval--Les Îles/Laval--Les Îles"," 65","Laval",0,36,95,43,32,3,4,213,418
24040,"Laval--Les Îles/Laval--Les Îles"," 66","Laval",1,26,94,56,47,3,1,228,433
24040,"Laval--Les Îles/Laval--Les Îles"," 67","Laval",1,30,108,59,42,7,2,249,406
24040,"Laval--Les Îles/Laval--Les Îles"," 68","Laval",0,32,81,81,24,2,3,223,424
24040,"Laval--Les Îles/Laval--Les Îles"," 69","Laval",1,24,86,61,44,5,4,225,441
24040,"Laval--Les Îles/Laval--Les Îles"," 70","Laval",0,45,102,53,38,3,3,244,427
24040,"Laval--Les Îles/Laval--Les Îles"," 71","Laval",2,18,79,65,48,3,4,219,442
24040,"Laval--Les Îles/Laval--Les Îles"," 72","Laval",0,23,83,49,30,4,2,191,371
24040,"Laval--Les Îles/Laval--Les Îles"," 73","Laval",0,61,119,21,15,0,0,216,460
24040,"Laval--Les Îles/Laval--Les Îles"," 74A","Laval",0,33,100,23,15,0,0,171,319
24040,"Laval--Les Îles/Laval--Les Îles"," 74B","Laval",1,35,79,19,3,5,2,144,270
24040,"Laval--Les Îles/Laval--Les Îles"," 75","Laval",0,53,148,36,20,2,3,262,514
24040,"Laval--Les Îles/Laval--Les Îles"," 76","Laval",0,67,174,17,4,0,3,265,523
24040,"Laval--Les Îles/Laval--Les Îles"," 77","Laval",1,44,80,30,13,4,1,173,355
24040,"Laval--Les Îles/Laval--Les Îles"," 78","Laval",2,72,128,34,18,1,1,256,478
24040,"Laval--Les Îles/Laval--Les Îles"," 79","Laval",2,30,108,61,48,4,3,256,531
24040,"Laval--Les Îles/Laval--Les Îles"," 80","Laval",0,59,119,78,50,1,7,314,520
24040,"Laval--Les Îles/Laval--Les Îles"," 81","Laval",1,29,97,56,43,0,1,227,454
24040,"Laval--Les Îles/Laval--Les Îles"," 82","Laval",0,54,112,54,36,4,0,260,485
24040,"Laval--Les Îles/Laval--Les Îles"," 83","Laval",0,42,115,16,2,5,1,181,364
24040,"Laval--Les Îles/Laval--Les Îles"," 84","Laval",1,62,111,23,1,3,2,203,368
24040,"Laval--Les Îles/Laval--Les Îles"," 85","Laval",3,31,131,23,2,5,1,196,453
24040,"Laval--Les Îles/Laval--Les Îles"," 86","Laval",2,55,135,20,12,9,1,234,482
24040,"Laval--Les Îles/Laval--Les Îles"," 87","Laval",2,68,125,46,5,7,0,253,519
24040,"Laval--Les Îles/Laval--Les Îles"," 88","Laval",1,49,121,20,2,7,1,201,428
24040,"Laval--Les Îles/Laval--Les Îles"," 89","Laval",2,51,112,24,7,2,3,201,473
24040,"Laval--Les Îles/Laval--Les Îles"," 90","Laval",0,66,134,20,2,6,1,229,473
24040,"Laval--Les Îles/Laval--Les Îles"," 91","Laval",3,39,105,24,4,0,2,177,450
24040,"Laval--Les Îles/Laval--Les Îles"," 92","Laval",0,34,147,25,7,1,0,214,418
24040,"Laval--Les Îles/Laval--Les Îles"," 93","Laval",1,26,122,21,10,4,1,185,407
24040,"Laval--Les Îles/Laval--Les Îles"," 94","Laval",0,30,99,22,11,3,0,165,351
24040,"Laval--Les Îles/Laval--Les Îles"," 95","Laval",0,42,159,37,5,3,2,248,522
24040,"Laval--Les Îles/Laval--Les Îles"," 96","Laval",1,27,89,26,1,1,3,148,328
24040,"Laval--Les Îles/Laval--Les Îles"," 97","Laval",0,46,95,35,7,7,1,191,421
24040,"Laval--Les Îles/Laval--Les Îles"," 98","Laval",0,37,102,19,2,6,0,166,322
24040,"Laval--Les Îles/Laval--Les Îles"," 99","Laval",1,47,104,23,0,2,0,177,388
24040,"Laval--Les Îles/Laval--Les Îles"," 100","Laval",0,49,130,18,1,5,1,204,412
24040,"Laval--Les Îles/Laval--Les Îles"," 101","Laval",0,26,143,35,17,5,7,233,510
24040,"Laval--Les Îles/Laval--Les Îles"," 102","Laval",2,36,154,13,11,5,3,224,487
24040,"Laval--Les Îles/Laval--Les Îles"," 103","Laval",1,49,142,32,1,3,4,232,507
24040,"Laval--Les Îles/Laval--Les Îles"," 104","Laval",0,31,128,31,1,3,1,195,463
24040,"Laval--Les Îles/Laval--Les Îles"," 105","Laval",0,30,77,36,27,2,2,174,431
24040,"Laval--Les Îles/Laval--Les Îles"," 106","Laval",0,22,111,24,8,6,3,174,373
24040,"Laval--Les Îles/Laval--Les Îles"," 107","Laval",2,43,88,38,11,3,3,188,393
24040,"Laval--Les Îles/Laval--Les Îles"," 108","Laval",2,42,113,11,4,5,1,178,335
24040,"Laval--Les Îles/Laval--Les Îles"," 109","Laval",2,41,162,21,3,7,1,237,383
24040,"Laval--Les Îles/Laval--Les Îles"," 110","Laval",1,56,126,15,3,6,12,219,386
24040,"Laval--Les Îles/Laval--Les Îles"," 111","Laval",2,29,140,27,5,6,2,211,409
24040,"Laval--Les Îles/Laval--Les Îles"," 112","Laval",1,36,141,17,13,7,5,220,452
24040,"Laval--Les Îles/Laval--Les Îles"," 113","Laval",2,26,112,17,4,2,1,164,328
24040,"Laval--Les Îles/Laval--Les Îles"," 114","Laval",1,53,113,22,2,4,5,200,417
24040,"Laval--Les Îles/Laval--Les Îles"," 115","Laval",0,58,105,15,7,2,0,187,384
24040,"Laval--Les Îles/Laval--Les Îles"," 116","Laval",1,43,171,18,1,4,1,239,428
24040,"Laval--Les Îles/Laval--Les Îles"," 117","Laval",1,76,143,9,3,2,3,237,415
24040,"Laval--Les Îles/Laval--Les Îles"," 118A","Laval",1,35,76,25,3,2,0,142,270
24040,"Laval--Les Îles/Laval--Les Îles"," 118B","Laval",1,11,30,3,0,1,0,46,299
24040,"Laval--Les Îles/Laval--Les Îles"," 119","Laval",0,40,98,20,9,3,1,171,426
24040,"Laval--Les Îles/Laval--Les Îles"," 120","Laval",0,52,127,18,14,2,2,215,383
24040,"Laval--Les Îles/Laval--Les Îles"," 121","Laval",0,34,75,30,15,3,2,159,375
24040,"Laval--Les Îles/Laval--Les Îles"," 122","Laval",0,56,129,19,8,2,2,216,475
24040,"Laval--Les Îles/Laval--Les Îles"," 123","Laval",0,46,104,14,1,1,0,166,297
24040,"Laval--Les Îles/Laval--Les Îles"," 124","Laval",0,26,78,26,12,2,1,145,371
24040,"Laval--Les Îles/Laval--Les Îles"," 125","Laval",0,16,105,40,16,3,5,185,462
24040,"Laval--Les Îles/Laval--Les Îles"," 126","Laval",1,36,106,20,8,0,1,172,414
24040,"Laval--Les Îles/Laval--Les Îles"," 127","Laval",1,17,82,20,23,2,1,146,367
24040,"Laval--Les Îles/Laval--Les Îles"," 128","Laval",0,26,116,25,17,3,4,191,390
24040,"Laval--Les Îles/Laval--Les Îles"," 129","Laval",3,34,108,36,18,2,1,202,397
24040,"Laval--Les Îles/Laval--Les Îles"," 130A","Laval",1,23,95,10,0,2,2,133,242
24040,"Laval--Les Îles/Laval--Les Îles"," 130B","Laval",1,20,71,8,5,3,0,108,312
24040,"Laval--Les Îles/Laval--Les Îles"," 131","Laval",0,43,136,26,3,3,2,213,451
24040,"Laval--Les Îles/Laval--Les Îles"," 132","Laval",3,40,78,16,9,0,5,151,390
24040,"Laval--Les Îles/Laval--Les Îles"," 133","Laval",1,47,122,23,8,5,1,207,505
24040,"Laval--Les Îles/Laval--Les Îles"," 134","Laval",1,25,108,17,1,5,3,160,355
24040,"Laval--Les Îles/Laval--Les Îles"," 135","Laval",1,22,118,32,9,2,1,185,454
24040,"Laval--Les Îles/Laval--Les Îles"," 136","Laval",0,42,143,51,21,1,2,260,450
24040,"Laval--Les Îles/Laval--Les Îles"," 137","Laval",1,37,116,38,13,2,3,210,444
24040,"Laval--Les Îles/Laval--Les Îles"," 138","Laval",1,56,129,28,8,1,1,224,446
24040,"Laval--Les Îles/Laval--Les Îles"," 139","Laval",0,37,122,38,29,4,0,230,447
24040,"Laval--Les Îles/Laval--Les Îles"," 140","Laval",2,33,116,30,12,2,4,199,483
24040,"Laval--Les Îles/Laval--Les Îles"," 141","Laval",0,44,116,17,7,1,2,187,412
24040,"Laval--Les Îles/Laval--Les Îles"," 142","Laval",0,30,116,23,3,1,1,174,369
24040,"Laval--Les Îles/Laval--Les Îles"," 143","Laval",2,48,113,25,7,2,3,200,361
24040,"Laval--Les Îles/Laval--Les Îles"," 144","Laval",0,40,152,23,7,0,3,225,437
24040,"Laval--Les Îles/Laval--Les Îles"," 145","Laval",0,37,127,45,17,3,3,232,408
24040,"Laval--Les Îles/Laval--Les Îles"," 146","Laval",0,41,123,48,28,8,2,250,452
24040,"Laval--Les Îles/Laval--Les Îles"," 147","Laval",0,41,58,45,18,4,4,170,324
24040,"Laval--Les Îles/Laval--Les Îles"," 148","Laval",2,26,71,48,28,4,2,181,376
24040,"Laval--Les Îles/Laval--Les Îles"," 149","Laval",0,23,116,25,20,1,1,186,396
24040,"Laval--Les Îles/Laval--Les Îles"," 150","Laval",1,37,111,34,17,9,2,211,426
24040,"Laval--Les Îles/Laval--Les Îles"," 151","Laval",3,39,118,25,19,1,0,205,414
24040,"Laval--Les Îles/Laval--Les Îles"," 152","Laval",0,20,57,36,27,5,2,147,382
24040,"Laval--Les Îles/Laval--Les Îles"," 153","Laval",0,40,112,37,15,7,2,213,447
24040,"Laval--Les Îles/Laval--Les Îles"," 154","Laval",1,28,87,33,37,2,1,189,417
24040,"Laval--Les Îles/Laval--Les Îles"," 155","Laval",0,47,130,31,15,7,1,231,416
24040,"Laval--Les Îles/Laval--Les Îles"," 156","Laval",2,56,118,30,1,5,6,218,434
24040,"Laval--Les Îles/Laval--Les Îles"," 157","Laval",1,49,150,24,3,7,1,235,459
24040,"Laval--Les Îles/Laval--Les Îles"," 158","Laval",0,55,139,20,3,2,1,220,431
24040,"Laval--Les Îles/Laval--Les Îles"," 159","Laval",1,55,138,27,5,3,4,233,435
24040,"Laval--Les Îles/Laval--Les Îles"," 160","Laval",0,44,127,47,14,4,4,240,435
24040,"Laval--Les Îles/Laval--Les Îles"," 161","Laval",0,60,128,41,36,2,2,269,520
24040,"Laval--Les Îles/Laval--Les Îles"," 162","Laval",Merged with No./Fusionné avec le n°160,,,,,,,,48
24040,"Laval--Les Îles/Laval--Les Îles"," 163","Laval",0,21,44,7,11,1,0,84,160
24040,"Laval--Les Îles/Laval--Les Îles"," 164","Laval",1,54,138,18,4,4,4,223,426
24040,"Laval--Les Îles/Laval--Les Îles"," 165","Laval",1,43,78,42,18,2,3,187,407
24040,"Laval--Les Îles/Laval--Les Îles"," 166","Laval",1,28,89,28,19,2,2,169,374
24040,"Laval--Les Îles/Laval--Les Îles"," 167","Laval",0,39,99,28,10,2,1,179,447
24040,"Laval--Les Îles/Laval--Les Îles"," 168A","Laval",0,51,122,31,24,1,1,230,339
24040,"Laval--Les Îles/Laval--Les Îles"," 168B","Laval",0,61,143,46,34,2,2,288,517
24040,"Laval--Les Îles/Laval--Les Îles"," 168C","Laval",1,47,158,73,55,4,3,341,524
24040,"Laval--Les Îles/Laval--Les Îles"," 169","Laval",0,42,91,35,16,2,4,190,265
24040,"Laval--Les Îles/Laval--Les Îles"," 170","Laval",0,53,95,16,16,1,1,182,361
24040,"Laval--Les Îles/Laval--Les Îles"," 171","Laval",Merged with No./Fusionné avec le n°169,,,,,,,,117
24040,"Laval--Les Îles/Laval--Les Îles"," 172A","Laval",0,15,79,31,12,1,2,140,211
24040,"Laval--Les Îles/Laval--Les Îles"," 172B","Laval",0,36,91,30,49,0,0,206,378
24040,"Laval--Les Îles/Laval--Les Îles"," 173","Laval",0,32,112,32,20,1,4,201,393
24040,"Laval--Les Îles/Laval--Les Îles"," 174","Laval",0,24,73,51,22,1,5,176,372
24040,"Laval--Les Îles/Laval--Les Îles"," 175","Laval",1,33,53,36,71,7,2,203,407
24040,"Laval--Les Îles/Laval--Les Îles"," 176","Laval",0,26,93,50,34,3,2,208,375
24040,"Laval--Les Îles/Laval--Les Îles"," 177","Laval",0,25,82,72,29,3,4,215,441
24040,"Laval--Les Îles/Laval--Les Îles"," 178","Laval",2,39,89,80,54,4,3,271,473
24040,"Laval--Les Îles/Laval--Les Îles"," 179","Laval",0,74,157,49,8,1,3,292,485
24040,"Laval--Les Îles/Laval--Les Îles"," 180","Laval",1,34,64,38,25,2,2,166,323
24040,"Laval--Les Îles/Laval--Les Îles"," 181","Laval",0,26,105,41,21,1,5,199,333
24040,"Laval--Les Îles/Laval--Les Îles"," 182","Laval",0,61,137,44,12,6,0,260,504
24040,"Laval--Les Îles/Laval--Les Îles"," 183","Laval",0,52,135,46,16,3,3,255,449
24040,"Laval--Les Îles/Laval--Les Îles"," 184A","Laval",0,31,58,29,17,4,3,142,268
24040,"Laval--Les Îles/Laval--Les Îles"," 184B","Laval",0,35,65,28,8,2,1,139,267
24040,"Laval--Les Îles/Laval--Les Îles"," 185","Laval",0,28,85,56,41,6,3,219,434
24040,"Laval--Les Îles/Laval--Les Îles"," 186","Laval",0,31,113,32,36,12,4,228,428
24040,"Laval--Les Îles/Laval--Les Îles"," 187","Laval",1,50,96,40,9,8,0,204,391
24040,"Laval--Les Îles/Laval--Les Îles"," 188","Laval",0,46,97,85,47,5,1,281,462
24040,"Laval--Les Îles/Laval--Les Îles"," 400","Laval",3,32,134,61,40,4,10,284,409
24040,"Laval--Les Îles/Laval--Les Îles"," 401","Laval",2,3,18,5,8,0,0,36,142
24040,"Laval--Les Îles/Laval--Les Îles"," 402","Laval",2,27,131,45,21,4,2,232,305
24040,"Laval--Les Îles/Laval--Les Îles"," 403","Laval",2,45,182,68,54,4,4,359,217
24040,"Laval--Les Îles/Laval--Les Îles"," 404","Laval",Merged with No./Fusionné avec le n°403,,,,,,,,204
24040,"Laval--Les Îles/Laval--Les Îles"," 405","Laval",0,30,60,24,24,3,2,143,181
24040,"Laval--Les Îles/Laval--Les Îles"," 406","Laval",0,68,90,21,19,3,1,202,293
24040,"Laval--Les Îles/Laval--Les Îles"," 407","Laval",0,31,89,31,35,4,2,192,452
24040,"Laval--Les Îles/Laval--Les Îles"," 408","Roxboro",0,6,30,24,15,0,1,76,105
24040,"Laval--Les Îles/Laval--Les Îles"," 600","Laval",2,124,316,253,223,17,19,954,
24040,"Laval--Les Îles/Laval--Les Îles"," 601","Laval",4,145,257,282,165,19,21,893,
24040,"Laval--Les Îles/Laval--Les Îles"," 602","Laval",1,129,278,235,168,19,13,843,
24040,"Laval--Les Îles/Laval--Les Îles"," 603","Laval",8,191,316,304,171,12,14,1016,
24040,"Laval--Les Îles/Laval--Les Îles"," 604","Laval",2,183,411,192,67,8,4,867,
24040,"Laval--Les Îles/Laval--Les Îles"," 605","Laval",4,218,395,147,24,11,4,803,
24040,"Laval--Les Îles/Laval--Les Îles"," 606","Laval",4,202,424,88,26,12,3,759,
24040,"Laval--Les Îles/Laval--Les Îles"," 607","Laval",2,199,296,89,31,9,3,629,
