Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jeremiah Deneault,Iqbal Kahlon,Kevin Pielak,Jasbir Sandhu,Randeep Sarai,Sucha Thind,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59032,"Surrey Centre/Surrey-Centre"," 1","Surrey",12,0,2,48,122,55,2,241,456
59032,"Surrey Centre/Surrey-Centre"," 2","Surrey",12,0,8,60,110,49,3,242,445
59032,"Surrey Centre/Surrey-Centre"," 3","Surrey",15,0,5,61,92,44,1,218,459
59032,"Surrey Centre/Surrey-Centre"," 4","Surrey",6,1,1,57,102,47,0,214,495
59032,"Surrey Centre/Surrey-Centre"," 5","Surrey",6,0,2,63,97,39,1,208,471
59032,"Surrey Centre/Surrey-Centre"," 6","Surrey",9,1,9,52,92,59,1,223,509
59032,"Surrey Centre/Surrey-Centre"," 7","Surrey",12,1,1,50,96,39,4,203,407
59032,"Surrey Centre/Surrey-Centre"," 8","Surrey",7,4,3,74,149,71,0,308,547
59032,"Surrey Centre/Surrey-Centre"," 9","Surrey",3,0,3,52,73,28,2,161,375
59032,"Surrey Centre/Surrey-Centre"," 10","Surrey",3,0,0,72,159,59,0,293,474
59032,"Surrey Centre/Surrey-Centre"," 11","Surrey",13,0,0,72,142,59,0,286,453
59032,"Surrey Centre/Surrey-Centre"," 12","Surrey",5,1,2,51,119,28,0,206,440
59032,"Surrey Centre/Surrey-Centre"," 13","Surrey",9,0,2,49,93,39,0,192,469
59032,"Surrey Centre/Surrey-Centre"," 14","Surrey",6,0,3,74,108,31,0,222,482
59032,"Surrey Centre/Surrey-Centre"," 15","Surrey",5,0,0,59,62,19,1,146,402
59032,"Surrey Centre/Surrey-Centre"," 16","Surrey",5,0,7,44,92,37,3,188,441
59032,"Surrey Centre/Surrey-Centre"," 17","Surrey",5,1,1,71,111,24,0,213,489
59032,"Surrey Centre/Surrey-Centre"," 18","Surrey",6,0,4,34,67,30,0,141,376
59032,"Surrey Centre/Surrey-Centre"," 19","Surrey",13,0,6,57,74,41,1,192,373
59032,"Surrey Centre/Surrey-Centre"," 20","Surrey",2,0,0,43,69,49,1,164,355
59032,"Surrey Centre/Surrey-Centre"," 21","Surrey",4,1,1,55,113,19,2,195,354
59032,"Surrey Centre/Surrey-Centre"," 22","Surrey",0,0,0,29,57,10,0,96,257
59032,"Surrey Centre/Surrey-Centre"," 23","Surrey",1,0,0,60,137,23,1,222,391
59032,"Surrey Centre/Surrey-Centre"," 24","Surrey",6,0,3,48,112,36,0,205,586
59032,"Surrey Centre/Surrey-Centre"," 25","Surrey",9,0,1,49,62,33,1,155,431
