Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Shaun Hatton,Amarjit Sangha,Kyle Seeback,Sonia Sidhu,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35011,"Brampton South/Brampton-Sud"," 1","Brampton",5,18,75,114,4,216,532
35011,"Brampton South/Brampton-Sud"," 2","Brampton",6,42,94,114,4,260,492
35011,"Brampton South/Brampton-Sud"," 3","Brampton",9,34,91,95,3,232,436
35011,"Brampton South/Brampton-Sud"," 4","Brampton",6,20,96,98,2,222,446
35011,"Brampton South/Brampton-Sud"," 5","Brampton",6,22,52,89,1,170,429
35011,"Brampton South/Brampton-Sud"," 6","Brampton",10,23,85,104,2,224,460
35011,"Brampton South/Brampton-Sud"," 7","Brampton",0,15,41,69,0,125,267
35011,"Brampton South/Brampton-Sud"," 8","Brampton",4,14,69,103,2,192,365
35011,"Brampton South/Brampton-Sud"," 9","Brampton",10,21,64,81,0,176,374
35011,"Brampton South/Brampton-Sud"," 10","Brampton",4,10,66,58,2,140,202
35011,"Brampton South/Brampton-Sud"," 11","Brampton",5,16,58,78,2,159,352
35011,"Brampton South/Brampton-Sud"," 12","Brampton",6,14,81,97,0,198,397
35011,"Brampton South/Brampton-Sud"," 13","Brampton",3,26,72,70,0,171,380
35011,"Brampton South/Brampton-Sud"," 14","Brampton",8,20,59,67,0,154,375
35011,"Brampton South/Brampton-Sud"," 15","Brampton",7,29,65,88,3,192,370
35011,"Brampton South/Brampton-Sud"," 16","Brampton",5,19,62,70,4,160,365
35011,"Brampton South/Brampton-Sud"," 17","Brampton",3,25,81,75,1,185,388
35011,"Brampton South/Brampton-Sud"," 18","Brampton",4,16,79,89,1,189,396
35011,"Brampton South/Brampton-Sud"," 19","Brampton",22,21,78,89,2,212,409
35011,"Brampton South/Brampton-Sud"," 20","Brampton",4,19,88,120,0,231,439
35011,"Brampton South/Brampton-Sud"," 21","Brampton",10,13,82,87,1,193,388
35011,"Brampton South/Brampton-Sud"," 22","Brampton",2,14,39,43,0,98,387
35011,"Brampton South/Brampton-Sud"," 23","Brampton",3,7,35,52,0,97,318
35011,"Brampton South/Brampton-Sud"," 24","Brampton",5,13,47,66,2,133,387
35011,"Brampton South/Brampton-Sud"," 25","Brampton",1,15,52,54,2,124,270
35011,"Brampton South/Brampton-Sud"," 26","Brampton",10,20,80,75,2,187,459
35011,"Brampton South/Brampton-Sud"," 27","Brampton",11,21,49,72,1,154,381
35011,"Brampton South/Brampton-Sud"," 28","Brampton",16,12,102,72,0,202,378
35011,"Brampton South/Brampton-Sud"," 29","Brampton",10,28,96,158,2,294,441
35011,"Brampton South/Brampton-Sud"," 30","Brampton",9,22,78,81,0,190,412
35011,"Brampton South/Brampton-Sud"," 31","Brampton",17,31,114,129,3,294,462
35011,"Brampton South/Brampton-Sud"," 32","Brampton",2,19,27,88,1,137,342
35011,"Brampton South/Brampton-Sud"," 33","Brampton",1,15,54,50,0,120,268
35011,"Brampton South/Brampton-Sud"," 34","Brampton",2,31,91,114,0,238,522
35011,"Brampton South/Brampton-Sud"," 35","Brampton",2,28,56,84,0,170,441
35011,"Brampton South/Brampton-Sud"," 36","Brampton",8,9,61,95,2,175,461
35011,"Brampton South/Brampton-Sud"," 37","Brampton",1,20,40,104,0,165,452
35011,"Brampton South/Brampton-Sud"," 38","Brampton",6,31,52,100,4,193,409
35011,"Brampton South/Brampton-Sud"," 39","Brampton",11,16,128,123,0,278,368
35011,"Brampton South/Brampton-Sud"," 40","Brampton",Merged with No./Fusionné avec le n°39,,,,,,148
35011,"Brampton South/Brampton-Sud"," 41","Brampton",14,30,125,106,3,278,489
35011,"Brampton South/Brampton-Sud"," 42","Brampton",9,14,83,76,2,184,393
35011,"Brampton South/Brampton-Sud"," 43","Brampton",10,17,90,59,0,176,359
35011,"Brampton South/Brampton-Sud"," 44","Brampton",4,17,110,90,0,221,363
35011,"Brampton South/Brampton-Sud"," 45","Brampton",11,23,57,69,0,160,352
35011,"Brampton South/Brampton-Sud"," 46","Brampton",7,18,152,110,0,287,462
35011,"Brampton South/Brampton-Sud"," 47","Brampton",3,17,130,84,1,235,368
35011,"Brampton South/Brampton-Sud"," 48","Brampton",7,14,45,121,0,187,463
35011,"Brampton South/Brampton-Sud"," 49","Brampton",4,16,83,114,2,219,506
35011,"Brampton South/Brampton-Sud"," 50","Brampton",9,17,79,90,3,198,432
35011,"Brampton South/Brampton-Sud"," 51","Brampton",8,18,140,90,0,256,389
35011,"Brampton South/Brampton-Sud"," 52","Brampton",6,14,88,67,0,175,280
35011,"Brampton South/Brampton-Sud"," 53","Brampton",6,11,119,77,0,213,324
35011,"Brampton South/Brampton-Sud"," 54","Brampton",6,29,103,110,4,252,487
35011,"Brampton South/Brampton-Sud"," 55","Brampton",5,14,163,117,0,299,482
35011,"Brampton South/Brampton-Sud"," 56","Brampton",6,13,166,106,0,291,444
35011,"Brampton South/Brampton-Sud"," 57","Brampton",3,20,130,119,0,272,485
35011,"Brampton South/Brampton-Sud"," 58","Brampton",9,19,124,105,1,258,417
35011,"Brampton South/Brampton-Sud"," 59","Brampton",11,23,135,101,0,270,414
35011,"Brampton South/Brampton-Sud"," 60","Brampton",4,11,101,85,1,202,401
35011,"Brampton South/Brampton-Sud"," 61","Brampton",12,21,115,96,0,244,530
35011,"Brampton South/Brampton-Sud"," 62","Brampton",6,15,112,104,0,237,535
35011,"Brampton South/Brampton-Sud"," 63","Brampton",7,15,126,109,0,257,493
35011,"Brampton South/Brampton-Sud"," 64","Brampton",8,12,78,80,1,179,359
35011,"Brampton South/Brampton-Sud"," 65","Brampton",11,24,93,57,1,186,305
35011,"Brampton South/Brampton-Sud"," 66","Brampton",4,23,92,68,1,188,359
35011,"Brampton South/Brampton-Sud"," 67","Brampton",2,19,114,86,0,221,353
35011,"Brampton South/Brampton-Sud"," 68","Brampton",5,22,132,99,0,258,451
35011,"Brampton South/Brampton-Sud"," 69","Brampton",5,15,45,60,1,126,291
35011,"Brampton South/Brampton-Sud"," 70","Brampton",7,23,109,87,2,228,530
35011,"Brampton South/Brampton-Sud"," 71","Brampton",4,19,82,98,1,204,460
35011,"Brampton South/Brampton-Sud"," 72","Brampton",6,21,67,80,2,176,461
35011,"Brampton South/Brampton-Sud"," 73","Brampton",1,7,37,77,0,122,294
35011,"Brampton South/Brampton-Sud"," 74","Brampton",6,21,77,72,0,176,430
35011,"Brampton South/Brampton-Sud"," 75","Brampton",12,20,86,87,2,207,511
35011,"Brampton South/Brampton-Sud"," 76","Brampton",1,17,79,121,5,223,522
35011,"Brampton South/Brampton-Sud"," 77","Brampton",4,32,28,92,0,156,425
35011,"Brampton South/Brampton-Sud"," 78","Brampton",4,19,37,104,1,165,399
35011,"Brampton South/Brampton-Sud"," 79","Brampton",6,20,52,112,0,190,427
35011,"Brampton South/Brampton-Sud"," 80","Brampton",2,7,26,37,0,72,138
35011,"Brampton South/Brampton-Sud"," 81","Brampton",0,15,68,116,0,199,449
35011,"Brampton South/Brampton-Sud"," 82","Brampton",0,27,22,100,1,150,333
35011,"Brampton South/Brampton-Sud"," 83","Brampton",1,8,32,99,2,142,319
35011,"Brampton South/Brampton-Sud"," 84","Brampton",1,26,17,80,1,125,317
35011,"Brampton South/Brampton-Sud"," 85","Brampton",1,23,39,85,0,148,336
35011,"Brampton South/Brampton-Sud"," 86","Brampton",4,30,46,105,1,186,515
35011,"Brampton South/Brampton-Sud"," 87","Brampton",3,36,37,116,0,192,505
35011,"Brampton South/Brampton-Sud"," 88","Brampton",1,23,19,109,1,153,461
35011,"Brampton South/Brampton-Sud"," 89","Brampton",0,18,30,48,1,97,298
35011,"Brampton South/Brampton-Sud"," 90","Brampton",1,5,20,50,0,76,309
