Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Malcolm Allen,Vance Badawey,David Clow,Jody Di Bartolomeo,Leanna Villella,Ron J. Walker,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35066,"Niagara Centre/Niagara-Centre"," 1","St. Catharines",71,68,7,0,39,0,2,187,376
35066,"Niagara Centre/Niagara-Centre"," 2","St. Catharines",49,60,4,1,60,0,0,174,319
35066,"Niagara Centre/Niagara-Centre"," 3","St. Catharines",65,77,6,0,48,0,0,196,405
35066,"Niagara Centre/Niagara-Centre"," 4","St. Catharines",53,54,2,1,50,0,1,161,376
35066,"Niagara Centre/Niagara-Centre"," 5","St. Catharines",100,92,8,3,66,0,1,270,494
35066,"Niagara Centre/Niagara-Centre"," 6","St. Catharines",57,98,1,2,92,1,1,252,472
35066,"Niagara Centre/Niagara-Centre"," 7","St. Catharines",90,94,7,1,83,0,3,278,496
35066,"Niagara Centre/Niagara-Centre"," 8","St. Catharines",94,74,2,3,47,0,1,221,485
35066,"Niagara Centre/Niagara-Centre"," 9","St. Catharines",102,101,3,1,65,1,2,275,491
35066,"Niagara Centre/Niagara-Centre"," 10","Thorold",50,58,4,2,55,1,1,171,295
35066,"Niagara Centre/Niagara-Centre"," 11","Thorold",56,85,2,0,67,0,3,213,358
35066,"Niagara Centre/Niagara-Centre"," 12","St. Catharines",52,89,2,1,91,0,1,236,431
35066,"Niagara Centre/Niagara-Centre"," 13","St. Catharines",43,104,1,2,78,0,0,228,393
35066,"Niagara Centre/Niagara-Centre"," 14","St. Catharines",46,85,6,2,94,0,0,233,454
35066,"Niagara Centre/Niagara-Centre"," 15","St. Catharines",64,103,2,0,110,0,1,280,435
35066,"Niagara Centre/Niagara-Centre"," 16","St. Catharines",63,76,4,0,48,0,0,191,393
35066,"Niagara Centre/Niagara-Centre"," 17","St. Catharines",44,163,3,0,122,0,2,334,552
35066,"Niagara Centre/Niagara-Centre"," 18","St. Catharines",66,66,9,1,72,0,2,216,433
35066,"Niagara Centre/Niagara-Centre"," 19","St. Catharines",54,83,7,0,23,1,0,168,391
35066,"Niagara Centre/Niagara-Centre"," 20","St. Catharines",82,67,6,0,60,0,1,216,418
35066,"Niagara Centre/Niagara-Centre"," 21","St. Catharines",36,78,2,0,70,1,0,187,348
35066,"Niagara Centre/Niagara-Centre"," 22","St. Catharines",49,65,4,1,131,0,0,250,412
35066,"Niagara Centre/Niagara-Centre"," 23","St. Catharines",49,71,5,0,87,0,0,212,422
35066,"Niagara Centre/Niagara-Centre"," 24","St. Catharines",84,89,5,0,104,0,3,285,493
35066,"Niagara Centre/Niagara-Centre"," 25","St. Catharines",43,73,1,0,80,0,1,198,384
35066,"Niagara Centre/Niagara-Centre"," 26","St. Catharines",47,73,0,4,73,0,0,197,365
35066,"Niagara Centre/Niagara-Centre"," 27","St. Catharines",67,51,7,1,50,2,0,178,364
35066,"Niagara Centre/Niagara-Centre"," 28","St. Catharines",81,68,6,0,29,0,0,184,442
35066,"Niagara Centre/Niagara-Centre"," 29","St. Catharines",44,50,7,0,38,0,0,139,312
35066,"Niagara Centre/Niagara-Centre"," 30","St. Catharines",76,113,6,2,64,0,2,263,535
35066,"Niagara Centre/Niagara-Centre"," 31","St. Catharines",82,105,5,0,103,1,24,320,519
35066,"Niagara Centre/Niagara-Centre"," 32","Thorold",82,96,2,1,36,0,0,217,389
35066,"Niagara Centre/Niagara-Centre"," 33","Thorold",86,90,4,1,52,0,0,233,401
35066,"Niagara Centre/Niagara-Centre"," 34","Thorold",76,93,5,3,51,0,0,228,417
35066,"Niagara Centre/Niagara-Centre"," 35","Thorold",82,65,6,3,56,1,0,213,404
35066,"Niagara Centre/Niagara-Centre"," 36","St. Catharines",73,120,7,0,124,0,4,328,511
35066,"Niagara Centre/Niagara-Centre"," 37","St. Catharines",52,70,9,0,67,0,0,198,304
35066,"Niagara Centre/Niagara-Centre"," 38","St. Catharines",46,81,6,0,69,0,2,204,431
35066,"Niagara Centre/Niagara-Centre"," 39","Thorold",92,76,8,1,40,0,1,218,359
35066,"Niagara Centre/Niagara-Centre"," 40","Thorold",119,67,2,2,60,0,0,250,445
35066,"Niagara Centre/Niagara-Centre"," 41","Thorold",78,60,2,1,49,0,4,194,359
35066,"Niagara Centre/Niagara-Centre"," 42","Thorold",86,74,4,1,35,0,3,203,407
35066,"Niagara Centre/Niagara-Centre"," 43","Thorold",86,60,4,1,45,0,0,196,394
35066,"Niagara Centre/Niagara-Centre"," 44","Thorold",93,82,12,1,82,0,0,270,433
35066,"Niagara Centre/Niagara-Centre"," 45","Thorold",87,81,6,1,46,0,4,225,447
35066,"Niagara Centre/Niagara-Centre"," 46","Thorold",66,122,3,1,96,1,1,290,466
35066,"Niagara Centre/Niagara-Centre"," 47","Thorold",56,89,6,0,83,0,0,234,450
35066,"Niagara Centre/Niagara-Centre"," 48","Thorold",85,103,4,3,49,1,0,245,457
35066,"Niagara Centre/Niagara-Centre"," 49","Thorold",84,91,3,4,63,0,1,246,416
35066,"Niagara Centre/Niagara-Centre"," 50","Thorold",66,74,6,3,52,0,5,206,410
35066,"Niagara Centre/Niagara-Centre"," 51","Thorold",41,64,1,0,58,1,3,168,313
35066,"Niagara Centre/Niagara-Centre"," 52","Thorold",74,87,4,1,46,1,0,213,374
35066,"Niagara Centre/Niagara-Centre"," 53","Thorold",50,78,6,3,70,0,0,207,328
35066,"Niagara Centre/Niagara-Centre"," 54","Thorold",91,110,5,0,62,0,1,269,493
35066,"Niagara Centre/Niagara-Centre"," 55","Thorold",83,95,6,2,85,0,1,272,486
35066,"Niagara Centre/Niagara-Centre"," 56","Thorold",69,110,6,1,50,0,0,236,441
35066,"Niagara Centre/Niagara-Centre"," 57","Thorold",70,74,6,1,70,1,0,222,412
35066,"Niagara Centre/Niagara-Centre"," 58","Thorold",31,58,6,1,84,0,1,181,288
35066,"Niagara Centre/Niagara-Centre"," 59","Thorold",66,113,6,0,78,1,1,265,408
35066,"Niagara Centre/Niagara-Centre"," 60A","St. Catharines",7,14,0,0,8,0,1,30,65
35066,"Niagara Centre/Niagara-Centre"," 60B","St. Catharines",64,146,7,1,56,0,1,275,306
35066,"Niagara Centre/Niagara-Centre"," 60C","St. Catharines",43,175,15,2,68,1,1,305,305
35066,"Niagara Centre/Niagara-Centre"," 61","Thorold",67,40,4,0,60,0,0,171,409
35066,"Niagara Centre/Niagara-Centre"," 62","Thorold",94,78,8,2,78,0,2,262,456
35066,"Niagara Centre/Niagara-Centre"," 63","Thorold",101,67,4,1,73,1,1,248,413
35066,"Niagara Centre/Niagara-Centre"," 64","Thorold",83,36,2,0,52,0,1,174,379
35066,"Niagara Centre/Niagara-Centre"," 65","Thorold",95,52,6,1,36,0,1,191,372
35066,"Niagara Centre/Niagara-Centre"," 66","Thorold",36,57,4,0,90,0,0,187,374
35066,"Niagara Centre/Niagara-Centre"," 67","Thorold",66,37,5,1,82,0,0,191,450
35066,"Niagara Centre/Niagara-Centre"," 68","Thorold",100,91,9,0,92,0,1,293,536
35066,"Niagara Centre/Niagara-Centre"," 69","Welland",49,101,3,0,80,0,1,234,414
35066,"Niagara Centre/Niagara-Centre"," 70","Welland",64,92,5,0,64,0,0,225,395
35066,"Niagara Centre/Niagara-Centre"," 71","Welland",44,80,5,0,73,0,1,203,398
35066,"Niagara Centre/Niagara-Centre"," 72","Welland",77,64,7,1,74,0,1,224,400
35066,"Niagara Centre/Niagara-Centre"," 73","Welland",67,105,13,2,72,0,0,259,432
35066,"Niagara Centre/Niagara-Centre"," 74","Welland",67,104,3,2,105,0,0,281,501
35066,"Niagara Centre/Niagara-Centre"," 75","Welland",51,66,5,0,45,1,1,169,378
35066,"Niagara Centre/Niagara-Centre"," 76","Welland",56,88,2,1,62,1,1,211,341
35066,"Niagara Centre/Niagara-Centre"," 77","Welland",55,76,12,2,72,0,1,218,382
35066,"Niagara Centre/Niagara-Centre"," 78","Welland",71,47,6,1,26,1,0,152,374
35066,"Niagara Centre/Niagara-Centre"," 79","Welland",65,54,4,0,38,0,2,163,356
35066,"Niagara Centre/Niagara-Centre"," 80","Welland",16,97,1,0,132,0,0,246,441
35066,"Niagara Centre/Niagara-Centre"," 81","Welland",74,44,6,2,17,0,1,144,345
35066,"Niagara Centre/Niagara-Centre"," 82","Welland",85,52,2,2,33,0,1,175,399
35066,"Niagara Centre/Niagara-Centre"," 83","Welland",59,103,4,0,78,0,0,244,398
35066,"Niagara Centre/Niagara-Centre"," 84","Welland",55,79,5,0,64,0,2,205,367
35066,"Niagara Centre/Niagara-Centre"," 85","Welland",59,73,4,2,81,0,0,219,416
35066,"Niagara Centre/Niagara-Centre"," 86A","Welland",40,98,4,0,89,0,1,232,419
35066,"Niagara Centre/Niagara-Centre"," 86B","Welland",11,39,4,1,14,0,0,69,72
35066,"Niagara Centre/Niagara-Centre"," 87","Welland",48,87,2,1,55,1,0,194,356
35066,"Niagara Centre/Niagara-Centre"," 88","Welland",36,49,3,0,43,0,1,132,270
35066,"Niagara Centre/Niagara-Centre"," 89","Welland",58,64,10,0,65,0,0,197,341
35066,"Niagara Centre/Niagara-Centre"," 90","Welland",67,73,7,2,64,0,0,213,398
35066,"Niagara Centre/Niagara-Centre"," 91","Welland",52,61,3,1,35,0,0,152,301
35066,"Niagara Centre/Niagara-Centre"," 92","Welland",45,94,3,3,81,0,1,227,367
35066,"Niagara Centre/Niagara-Centre"," 93","Welland",67,46,4,1,47,0,1,166,295
35066,"Niagara Centre/Niagara-Centre"," 94","Welland",53,77,3,0,66,1,4,204,427
35066,"Niagara Centre/Niagara-Centre"," 95","Welland",73,131,3,3,99,1,1,311,521
35066,"Niagara Centre/Niagara-Centre"," 96","Welland",48,65,2,1,61,1,0,178,322
35066,"Niagara Centre/Niagara-Centre"," 97","Welland",48,89,5,0,65,0,1,208,345
35066,"Niagara Centre/Niagara-Centre"," 98","Welland",51,57,3,0,72,0,1,184,310
35066,"Niagara Centre/Niagara-Centre"," 99","Welland",59,56,6,0,47,1,1,170,342
35066,"Niagara Centre/Niagara-Centre"," 100","Welland",55,73,2,3,63,0,0,196,299
35066,"Niagara Centre/Niagara-Centre"," 101","Welland",58,55,10,1,71,0,1,196,335
35066,"Niagara Centre/Niagara-Centre"," 102","Welland",44,66,5,1,48,0,0,164,347
35066,"Niagara Centre/Niagara-Centre"," 103A","Welland",40,60,4,0,66,1,0,171,278
35066,"Niagara Centre/Niagara-Centre"," 103B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°502A,,,,,,,,88
35066,"Niagara Centre/Niagara-Centre"," 104","Welland",45,50,1,1,30,0,0,127,280
35066,"Niagara Centre/Niagara-Centre"," 105","Welland",47,42,3,1,46,0,0,139,282
