Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,David Raymond Amos,Stephanie Coburn,Alaina Lockhart,Jennifer McKenzie,Rob Moore,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13004,"Fundy Royal/Fundy Royal"," 1","Waterborough",0,7,78,42,65,0,192,385
13004,"Fundy Royal/Fundy Royal"," 2","Cumberland Bay",1,11,71,37,88,0,208,301
13004,"Fundy Royal/Fundy Royal"," 3","Canaan Forks",3,4,24,12,69,1,113,164
13004,"Fundy Royal/Fundy Royal"," 4","Havelock",3,6,37,31,60,1,138,223
13004,"Fundy Royal/Fundy Royal"," 5","Havelock",3,11,70,29,69,3,185,283
13004,"Fundy Royal/Fundy Royal"," 6","Cornhill",2,16,48,37,87,0,190,324
13004,"Fundy Royal/Fundy Royal"," 7","Anagance",9,12,93,31,80,3,228,380
13004,"Fundy Royal/Fundy Royal"," 8","Steeves Settlement",1,10,46,18,53,0,128,322
13004,"Fundy Royal/Fundy Royal"," 9","Steeves Settlement",1,9,77,50,113,2,252,366
13004,"Fundy Royal/Fundy Royal"," 10","Petitcodiac",1,11,62,28,72,3,177,365
13004,"Fundy Royal/Fundy Royal"," 11","Petitcodiac",3,8,57,12,55,0,135,314
13004,"Fundy Royal/Fundy Royal"," 12","Petitcodiac",0,9,45,20,59,0,133,283
13004,"Fundy Royal/Fundy Royal"," 13","Petitcodiac",1,10,61,22,68,0,162,322
13004,"Fundy Royal/Fundy Royal"," 14","Petitcodiac",3,9,69,26,77,0,184,336
13004,"Fundy Royal/Fundy Royal"," 15","Elgin",1,19,101,50,132,2,305,438
13004,"Fundy Royal/Fundy Royal"," 16","Wheaton Settlement",1,11,74,29,92,1,208,363
13004,"Fundy Royal/Fundy Royal"," 17","Salisbury",1,10,80,47,78,2,218,449
13004,"Fundy Royal/Fundy Royal"," 18","River Glade",2,9,57,34,58,1,161,346
13004,"Fundy Royal/Fundy Royal"," 19","River Glade",1,6,46,21,31,0,105,269
13004,"Fundy Royal/Fundy Royal"," 20","Colpitts Settlement",1,11,59,33,67,0,171,363
