Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Peggy Askin,Haley Brown,Jason Kenney,Brennan Wauters,Laura Weston,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48008,"Calgary Midnapore/Calgary Midnapore"," 40","Calgary",0,29,128,1,12,1,171,350
48008,"Calgary Midnapore/Calgary Midnapore"," 41","Calgary",1,69,204,13,12,1,300,447
48008,"Calgary Midnapore/Calgary Midnapore"," 42","Calgary",0,24,165,7,11,0,207,340
48008,"Calgary Midnapore/Calgary Midnapore"," 43","Calgary",0,51,167,13,23,0,254,440
48008,"Calgary Midnapore/Calgary Midnapore"," 44","Calgary",0,44,176,7,11,0,238,393
48008,"Calgary Midnapore/Calgary Midnapore"," 45","Calgary",0,62,194,7,20,0,283,428
48008,"Calgary Midnapore/Calgary Midnapore"," 46","Calgary",0,42,161,7,15,0,225,348
48008,"Calgary Midnapore/Calgary Midnapore"," 47","Calgary",0,50,187,3,8,0,248,398
48008,"Calgary Midnapore/Calgary Midnapore"," 48","Calgary",2,64,176,3,21,0,266,418
48008,"Calgary Midnapore/Calgary Midnapore"," 49","Calgary",1,65,198,18,35,0,317,496
48008,"Calgary Midnapore/Calgary Midnapore"," 50","Calgary",2,63,165,9,16,0,255,458
48008,"Calgary Midnapore/Calgary Midnapore"," 51","Calgary",1,60,231,10,15,0,317,453
48008,"Calgary Midnapore/Calgary Midnapore"," 52","Calgary",1,46,186,8,9,0,250,390
48008,"Calgary Midnapore/Calgary Midnapore"," 53","Calgary",0,42,130,4,12,0,188,366
48008,"Calgary Midnapore/Calgary Midnapore"," 54","Calgary",1,43,183,2,10,1,240,417
48008,"Calgary Midnapore/Calgary Midnapore"," 55","Calgary",0,31,194,2,8,0,235,407
48008,"Calgary Midnapore/Calgary Midnapore"," 56","Calgary",0,64,155,8,14,0,241,374
48008,"Calgary Midnapore/Calgary Midnapore"," 57","Calgary",1,63,146,11,19,2,242,374
48008,"Calgary Midnapore/Calgary Midnapore"," 58","Calgary",0,52,155,5,28,0,240,369
48008,"Calgary Midnapore/Calgary Midnapore"," 59","Calgary",1,48,138,4,25,0,216,358
48008,"Calgary Midnapore/Calgary Midnapore"," 60","Calgary",1,64,185,7,17,0,274,373
48008,"Calgary Midnapore/Calgary Midnapore"," 61","Calgary",1,66,176,6,22,0,271,417
48008,"Calgary Midnapore/Calgary Midnapore"," 62","Calgary",0,54,188,4,13,0,259,451
48008,"Calgary Midnapore/Calgary Midnapore"," 63","Calgary",1,53,221,12,21,0,308,492
48008,"Calgary Midnapore/Calgary Midnapore"," 64","Calgary",1,48,185,6,31,0,271,438
48008,"Calgary Midnapore/Calgary Midnapore"," 65","Calgary",0,62,173,11,26,1,273,476
48008,"Calgary Midnapore/Calgary Midnapore"," 66","Calgary",0,67,185,10,32,1,295,491
48008,"Calgary Midnapore/Calgary Midnapore"," 67","Calgary",0,77,112,16,30,0,235,417
48008,"Calgary Midnapore/Calgary Midnapore"," 68","Calgary",1,54,163,11,28,2,259,403
48008,"Calgary Midnapore/Calgary Midnapore"," 69","Calgary",2,51,198,8,23,0,282,437
48008,"Calgary Midnapore/Calgary Midnapore"," 70","Calgary",0,82,151,13,23,0,269,462
48008,"Calgary Midnapore/Calgary Midnapore"," 71","Calgary",1,43,183,9,10,0,246,378
48008,"Calgary Midnapore/Calgary Midnapore"," 72","Calgary",1,55,131,10,22,1,220,427
48008,"Calgary Midnapore/Calgary Midnapore"," 73","Calgary",2,48,86,6,20,0,162,254
48008,"Calgary Midnapore/Calgary Midnapore"," 74","Calgary",0,77,142,3,29,0,251,447
48008,"Calgary Midnapore/Calgary Midnapore"," 75","Calgary",0,75,188,13,30,1,307,483
48008,"Calgary Midnapore/Calgary Midnapore"," 76","Calgary",0,74,143,8,19,2,246,419
48008,"Calgary Midnapore/Calgary Midnapore"," 77","Calgary",1,84,190,5,26,0,306,436
48008,"Calgary Midnapore/Calgary Midnapore"," 78","Calgary",2,62,148,4,25,0,241,393
48008,"Calgary Midnapore/Calgary Midnapore"," 79","Calgary",1,67,206,10,25,0,309,468
48008,"Calgary Midnapore/Calgary Midnapore"," 80","Calgary",0,44,186,9,21,1,261,355
48008,"Calgary Midnapore/Calgary Midnapore"," 81","Calgary",0,48,191,5,28,1,273,392
48008,"Calgary Midnapore/Calgary Midnapore"," 82","Calgary",3,44,157,6,12,0,222,339
48008,"Calgary Midnapore/Calgary Midnapore"," 83","Calgary",0,40,196,7,16,0,259,358
48008,"Calgary Midnapore/Calgary Midnapore"," 84","Calgary",0,50,201,7,19,0,277,397
48008,"Calgary Midnapore/Calgary Midnapore"," 85","Calgary",0,51,207,6,12,1,277,414
48008,"Calgary Midnapore/Calgary Midnapore"," 86","Calgary",1,55,210,8,16,0,290,432
48008,"Calgary Midnapore/Calgary Midnapore"," 87","Calgary",1,73,204,10,30,3,321,510
48008,"Calgary Midnapore/Calgary Midnapore"," 88","Calgary",0,64,150,18,24,1,257,427
48008,"Calgary Midnapore/Calgary Midnapore"," 89","Calgary",0,67,155,7,31,0,260,455
48008,"Calgary Midnapore/Calgary Midnapore"," 90","Calgary",1,83,203,17,32,0,336,529
48008,"Calgary Midnapore/Calgary Midnapore"," 91","Calgary",0,40,137,7,10,0,194,376
48008,"Calgary Midnapore/Calgary Midnapore"," 92","Calgary",1,46,152,10,27,1,237,388
48008,"Calgary Midnapore/Calgary Midnapore"," 93","Calgary",0,60,98,13,27,0,198,361
48008,"Calgary Midnapore/Calgary Midnapore"," 94","Calgary",0,62,126,7,32,3,230,522
