Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sylvia Gerl,Shaun Tanaka,Peter Van Loan,Mark Viitala,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35119,"York--Simcoe/York--Simcoe"," 1","Chippewas of Georgina Island First Nation",31,55,41,1,0,128,189
35119,"York--Simcoe/York--Simcoe"," 2","Georgina",28,60,110,6,0,204,407
35119,"York--Simcoe/York--Simcoe"," 3","Georgina",11,78,86,8,1,184,392
35119,"York--Simcoe/York--Simcoe"," 4","Georgina",33,79,86,10,0,208,463
35119,"York--Simcoe/York--Simcoe"," 5","Chippewas of Georgina Island First Nation",32,66,95,17,0,210,465
35119,"York--Simcoe/York--Simcoe"," 6","Georgina",22,64,87,2,2,177,431
35119,"York--Simcoe/York--Simcoe"," 7","Georgina",17,56,89,4,0,166,399
35119,"York--Simcoe/York--Simcoe"," 8","Georgina",19,57,101,7,1,185,407
35119,"York--Simcoe/York--Simcoe"," 9","Georgina",28,65,76,12,1,182,424
35119,"York--Simcoe/York--Simcoe"," 10","Georgina",20,67,90,4,0,181,398
35119,"York--Simcoe/York--Simcoe"," 11","Georgina",20,73,71,8,1,173,379
35119,"York--Simcoe/York--Simcoe"," 12","Georgina",19,86,100,8,2,215,445
35119,"York--Simcoe/York--Simcoe"," 13","Georgina",28,92,96,8,1,225,482
35119,"York--Simcoe/York--Simcoe"," 14","Georgina",23,46,66,8,0,143,330
35119,"York--Simcoe/York--Simcoe"," 15","Georgina",11,67,77,8,0,163,442
35119,"York--Simcoe/York--Simcoe"," 16A","Georgina",14,51,85,5,0,155,349
35119,"York--Simcoe/York--Simcoe"," 16B","Georgina",18,58,81,5,0,162,393
35119,"York--Simcoe/York--Simcoe"," 17","Georgina",21,83,97,3,0,204,426
35119,"York--Simcoe/York--Simcoe"," 18","Georgina",32,87,106,4,0,229,511
35119,"York--Simcoe/York--Simcoe"," 19","Georgina",20,79,88,4,1,192,451
35119,"York--Simcoe/York--Simcoe"," 20","Georgina",26,100,135,5,0,266,503
35119,"York--Simcoe/York--Simcoe"," 21","Georgina",13,89,86,8,1,197,385
35119,"York--Simcoe/York--Simcoe"," 22","Georgina",33,64,108,5,4,214,358
35119,"York--Simcoe/York--Simcoe"," 23","Georgina",35,95,107,7,1,245,457
35119,"York--Simcoe/York--Simcoe"," 24","Georgina",31,98,92,8,0,229,418
35119,"York--Simcoe/York--Simcoe"," 25","Georgina",30,114,185,8,2,339,555
35119,"York--Simcoe/York--Simcoe"," 26","Georgina",23,79,159,3,0,264,460
35119,"York--Simcoe/York--Simcoe"," 27","Georgina",35,80,106,2,0,223,471
35119,"York--Simcoe/York--Simcoe"," 28","Georgina",18,54,65,5,0,142,315
