Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sylvain Charron,David Graham,Niloufar Hedjazi,Simon-Pierre Landry,Johanne Régimbald,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24038,"Laurentides--Labelle/Laurentides--Labelle"," 1","Sainte-Anne-du-Lac",14,35,0,20,47,2,118,233
24038,"Laurentides--Labelle/Laurentides--Labelle"," 2","Sainte-Anne-du-Lac",4,48,2,35,57,4,150,281
24038,"Laurentides--Labelle/Laurentides--Labelle"," 3","L'Ascension",8,50,8,25,81,5,177,334
24038,"Laurentides--Labelle/Laurentides--Labelle"," 4","L'Ascension",20,52,3,55,62,5,197,343
24038,"Laurentides--Labelle/Laurentides--Labelle"," 5","Mont-Saint-Michel",13,36,1,32,52,2,136,280
24038,"Laurentides--Labelle/Laurentides--Labelle"," 6","Mont-Saint-Michel",10,29,1,32,33,5,110,224
24038,"Laurentides--Labelle/Laurentides--Labelle"," 7","Ferme-Neuve",14,65,3,48,54,4,188,347
24038,"Laurentides--Labelle/Laurentides--Labelle"," 8","Ferme-Neuve",11,28,5,33,44,3,124,325
24038,"Laurentides--Labelle/Laurentides--Labelle"," 9","Ferme-Neuve",10,41,0,18,41,2,112,289
24038,"Laurentides--Labelle/Laurentides--Labelle"," 10","Ferme-Neuve",12,40,2,36,43,4,137,278
24038,"Laurentides--Labelle/Laurentides--Labelle"," 11","Ferme-Neuve",14,53,1,24,32,4,128,284
24038,"Laurentides--Labelle/Laurentides--Labelle"," 12","Ferme-Neuve",11,54,1,48,75,6,195,395
24038,"Laurentides--Labelle/Laurentides--Labelle"," 13","Ferme-Neuve",13,54,0,35,48,9,159,330
24038,"Laurentides--Labelle/Laurentides--Labelle"," 14","Lac-Saint-Paul",26,71,3,55,71,5,231,430
24038,"Laurentides--Labelle/Laurentides--Labelle"," 15","Chute-Saint-Philippe",17,70,1,63,63,5,219,393
24038,"Laurentides--Labelle/Laurentides--Labelle"," 16","Chute-Saint-Philippe",28,51,3,61,73,4,220,391
24038,"Laurentides--Labelle/Laurentides--Labelle"," 17","Rivière-Rouge",23,36,0,28,53,0,140,288
24038,"Laurentides--Labelle/Laurentides--Labelle"," 18","Sainte-Véronique",14,34,1,43,61,4,157,347
24038,"Laurentides--Labelle/Laurentides--Labelle"," 19","Sainte-Véronique",25,53,4,29,43,0,154,315
24038,"Laurentides--Labelle/Laurentides--Labelle"," 20","Lac-Saguay",23,91,5,66,68,5,258,420
24038,"Laurentides--Labelle/Laurentides--Labelle"," 21","Beaux-Rivages",13,64,5,46,47,3,178,367
24038,"Laurentides--Labelle/Laurentides--Labelle"," 22","Beaux-Rivages",14,41,2,42,54,1,154,360
24038,"Laurentides--Labelle/Laurentides--Labelle"," 23","Lac-des-Écorces",13,60,2,61,52,1,189,426
24038,"Laurentides--Labelle/Laurentides--Labelle"," 24","Beaux-Rivages",14,48,3,40,46,2,153,365
24038,"Laurentides--Labelle/Laurentides--Labelle"," 25","Beaux-Rivages",10,51,3,43,45,2,154,273
24038,"Laurentides--Labelle/Laurentides--Labelle"," 26","Mont-Laurier",18,70,2,57,63,3,213,541
24038,"Laurentides--Labelle/Laurentides--Labelle"," 27","Mont-Laurier",3,28,0,33,39,4,107,232
24038,"Laurentides--Labelle/Laurentides--Labelle"," 28","Mont-Laurier",8,50,4,49,50,3,164,378
