Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,JoAnne Fleming,Kellie Leitch,Mike MacEachern,David Matthews,Len Noordegraaf,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35099,"Simcoe--Grey/Simcoe--Grey"," 1","The Blue Mountains",6,111,106,15,1,2,241,556
35099,"Simcoe--Grey/Simcoe--Grey"," 2","The Blue Mountains",16,70,106,18,0,0,210,420
35099,"Simcoe--Grey/Simcoe--Grey"," 3","The Blue Mountains",16,71,133,30,0,0,250,455
35099,"Simcoe--Grey/Simcoe--Grey"," 4","The Blue Mountains",15,70,94,31,1,1,212,389
35099,"Simcoe--Grey/Simcoe--Grey"," 5","The Blue Mountains",18,62,115,27,1,1,224,441
35099,"Simcoe--Grey/Simcoe--Grey"," 6","The Blue Mountains",30,72,141,20,1,0,264,434
35099,"Simcoe--Grey/Simcoe--Grey"," 7","The Blue Mountains",8,86,92,33,2,0,221,432
35099,"Simcoe--Grey/Simcoe--Grey"," 8","The Blue Mountains",15,147,112,13,0,2,289,509
35099,"Simcoe--Grey/Simcoe--Grey"," 9","The Blue Mountains",26,134,105,22,8,3,298,569
35099,"Simcoe--Grey/Simcoe--Grey"," 10","The Blue Mountains",12,105,88,10,1,0,216,417
35099,"Simcoe--Grey/Simcoe--Grey"," 11","The Blue Mountains",11,69,109,20,0,2,211,444
35099,"Simcoe--Grey/Simcoe--Grey"," 12","The Blue Mountains",8,76,95,15,4,0,198,377
35099,"Simcoe--Grey/Simcoe--Grey"," 13","The Blue Mountains",9,109,93,11,0,0,222,407
35099,"Simcoe--Grey/Simcoe--Grey"," 14","Collingwood",6,91,102,15,0,0,214,423
35099,"Simcoe--Grey/Simcoe--Grey"," 15","Collingwood",7,107,108,18,0,1,241,534
35099,"Simcoe--Grey/Simcoe--Grey"," 16","Collingwood",8,84,100,10,0,0,202,475
35099,"Simcoe--Grey/Simcoe--Grey"," 17","Collingwood",21,106,120,23,0,1,271,610
35099,"Simcoe--Grey/Simcoe--Grey"," 18","Collingwood",4,37,78,20,2,1,142,342
35099,"Simcoe--Grey/Simcoe--Grey"," 19","Collingwood",11,110,148,7,0,1,277,535
35099,"Simcoe--Grey/Simcoe--Grey"," 20","Collingwood",10,106,122,29,0,0,267,484
35099,"Simcoe--Grey/Simcoe--Grey"," 21","Collingwood",10,97,117,12,0,1,237,423
35099,"Simcoe--Grey/Simcoe--Grey"," 22","Collingwood",12,94,108,20,3,2,239,472
35099,"Simcoe--Grey/Simcoe--Grey"," 23","Collingwood",7,60,140,18,0,1,226,357
35099,"Simcoe--Grey/Simcoe--Grey"," 24","Collingwood",5,43,85,11,1,0,145,365
35099,"Simcoe--Grey/Simcoe--Grey"," 25","Collingwood",14,42,90,20,0,2,168,383
35099,"Simcoe--Grey/Simcoe--Grey"," 26","Collingwood",24,59,125,25,0,0,233,405
35099,"Simcoe--Grey/Simcoe--Grey"," 27","Collingwood",16,65,115,20,1,0,217,439
35099,"Simcoe--Grey/Simcoe--Grey"," 28","Collingwood",11,72,77,34,2,0,196,372
35099,"Simcoe--Grey/Simcoe--Grey"," 29","Collingwood",12,54,100,18,1,3,188,396
35099,"Simcoe--Grey/Simcoe--Grey"," 30","Collingwood",19,77,102,21,4,2,225,461
35099,"Simcoe--Grey/Simcoe--Grey"," 31","Collingwood",17,67,86,33,1,0,204,416
35099,"Simcoe--Grey/Simcoe--Grey"," 32","Collingwood",9,64,85,19,0,1,178,370
35099,"Simcoe--Grey/Simcoe--Grey"," 33","Collingwood",11,75,103,34,2,0,225,465
35099,"Simcoe--Grey/Simcoe--Grey"," 34","Collingwood",18,76,79,28,1,0,202,432
35099,"Simcoe--Grey/Simcoe--Grey"," 35","Collingwood",5,76,93,15,2,0,191,372
35099,"Simcoe--Grey/Simcoe--Grey"," 36","Collingwood",15,64,89,20,1,2,191,315
35099,"Simcoe--Grey/Simcoe--Grey"," 37","Collingwood",5,70,93,19,2,0,189,319
35099,"Simcoe--Grey/Simcoe--Grey"," 38","Collingwood",8,101,95,19,1,0,224,486
35099,"Simcoe--Grey/Simcoe--Grey"," 39","Collingwood",10,42,83,18,2,0,155,336
35099,"Simcoe--Grey/Simcoe--Grey"," 40","Collingwood",16,54,82,31,2,0,185,387
35099,"Simcoe--Grey/Simcoe--Grey"," 41","Collingwood",10,66,108,23,2,0,209,451
35099,"Simcoe--Grey/Simcoe--Grey"," 42","Collingwood",13,61,82,20,0,1,177,397
35099,"Simcoe--Grey/Simcoe--Grey"," 43","Collingwood",17,62,80,35,1,1,196,451
35099,"Simcoe--Grey/Simcoe--Grey"," 44","Collingwood",6,52,42,8,1,1,110,154
35099,"Simcoe--Grey/Simcoe--Grey"," 45","Collingwood",14,55,119,25,4,0,217,430
35099,"Simcoe--Grey/Simcoe--Grey"," 46","Collingwood",11,50,99,23,0,0,183,394
35099,"Simcoe--Grey/Simcoe--Grey"," 47","Collingwood",12,70,102,23,1,0,208,434
35099,"Simcoe--Grey/Simcoe--Grey"," 48","Collingwood",8,66,98,16,1,0,189,383
35099,"Simcoe--Grey/Simcoe--Grey"," 49","Collingwood",20,114,146,19,0,0,299,520
35099,"Simcoe--Grey/Simcoe--Grey"," 50","Collingwood",10,88,130,21,1,0,250,549
35099,"Simcoe--Grey/Simcoe--Grey"," 51","Collingwood",5,82,97,9,3,0,196,419
35099,"Simcoe--Grey/Simcoe--Grey"," 52","Collingwood",10,61,103,27,2,0,203,436
35099,"Simcoe--Grey/Simcoe--Grey"," 53","Wasaga Beach",9,92,96,18,0,1,216,509
35099,"Simcoe--Grey/Simcoe--Grey"," 54","Wasaga Beach",4,58,62,18,0,1,143,403
35099,"Simcoe--Grey/Simcoe--Grey"," 55","Wasaga Beach",6,80,78,21,0,0,185,481
35099,"Simcoe--Grey/Simcoe--Grey"," 56","Wasaga Beach",8,94,85,21,2,0,210,453
35099,"Simcoe--Grey/Simcoe--Grey"," 57","Wasaga Beach",5,96,78,19,1,2,201,412
35099,"Simcoe--Grey/Simcoe--Grey"," 58","Wasaga Beach",8,79,94,23,1,0,205,423
35099,"Simcoe--Grey/Simcoe--Grey"," 59","Wasaga Beach",13,83,88,17,1,0,202,452
35099,"Simcoe--Grey/Simcoe--Grey"," 60","Wasaga Beach",6,76,75,27,3,1,188,466
35099,"Simcoe--Grey/Simcoe--Grey"," 61","Wasaga Beach",6,49,56,16,0,1,128,393
35099,"Simcoe--Grey/Simcoe--Grey"," 62","Wasaga Beach",6,72,84,18,1,0,181,432
35099,"Simcoe--Grey/Simcoe--Grey"," 63","Wasaga Beach",6,54,92,26,4,0,182,428
35099,"Simcoe--Grey/Simcoe--Grey"," 64","Wasaga Beach",5,71,60,19,0,0,155,431
35099,"Simcoe--Grey/Simcoe--Grey"," 65","Wasaga Beach",9,101,74,23,0,0,207,458
35099,"Simcoe--Grey/Simcoe--Grey"," 66","Wasaga Beach",6,89,106,12,0,1,214,443
35099,"Simcoe--Grey/Simcoe--Grey"," 67","Wasaga Beach",13,66,86,20,1,0,186,444
35099,"Simcoe--Grey/Simcoe--Grey"," 68","Wasaga Beach",4,62,45,15,0,1,127,295
35099,"Simcoe--Grey/Simcoe--Grey"," 69","Wasaga Beach",2,64,79,27,1,0,173,441
35099,"Simcoe--Grey/Simcoe--Grey"," 70","Wasaga Beach",3,59,42,15,1,1,121,307
35099,"Simcoe--Grey/Simcoe--Grey"," 71","Wasaga Beach",7,54,63,16,0,3,143,377
35099,"Simcoe--Grey/Simcoe--Grey"," 72","Wasaga Beach",5,61,74,36,0,0,176,483
35099,"Simcoe--Grey/Simcoe--Grey"," 73","Wasaga Beach",11,62,37,12,6,0,128,371
35099,"Simcoe--Grey/Simcoe--Grey"," 74","Wasaga Beach",6,89,74,13,0,0,182,469
35099,"Simcoe--Grey/Simcoe--Grey"," 75","Wasaga Beach",8,96,69,21,0,0,194,440
