Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Catherine Lusson,Patrick Melchior,Cindy Moynan,Patrick Paine,Denis Paradis,Charles Poulin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24016,"Brome--Missisquoi/Brome--Missisquoi"," 1","Orford",51,51,3,0,62,17,0,184,405
24016,"Brome--Missisquoi/Brome--Missisquoi"," 2","Orford",68,41,6,0,73,15,3,206,419
24016,"Brome--Missisquoi/Brome--Missisquoi"," 3","Orford",64,60,5,0,72,20,1,222,472
24016,"Brome--Missisquoi/Brome--Missisquoi"," 4","Orford",36,35,5,1,50,14,2,143,298
24016,"Brome--Missisquoi/Brome--Missisquoi"," 5","Orford",49,39,5,0,89,20,1,203,369
24016,"Brome--Missisquoi/Brome--Missisquoi"," 6","Orford",50,56,6,1,63,30,5,211,421
24016,"Brome--Missisquoi/Brome--Missisquoi"," 7","Orford",29,21,3,1,56,15,3,128,317
24016,"Brome--Missisquoi/Brome--Missisquoi"," 8","Orford",63,28,5,0,108,16,0,220,416
24016,"Brome--Missisquoi/Brome--Missisquoi"," 9","Orford",50,41,3,0,67,22,0,183,338
24016,"Brome--Missisquoi/Brome--Missisquoi"," 10","Eastman",61,64,5,1,82,22,2,237,367
24016,"Brome--Missisquoi/Brome--Missisquoi"," 11","Eastman",97,81,11,0,88,23,3,303,443
24016,"Brome--Missisquoi/Brome--Missisquoi"," 12","Eastman",38,65,5,0,86,29,2,225,360
24016,"Brome--Missisquoi/Brome--Missisquoi"," 13","Eastman",41,59,12,0,99,17,4,232,375
24016,"Brome--Missisquoi/Brome--Missisquoi"," 14","Stukely-Sud",50,49,4,1,50,14,3,171,301
24016,"Brome--Missisquoi/Brome--Missisquoi"," 15","Stukely-Sud",27,23,4,1,74,13,0,142,278
24016,"Brome--Missisquoi/Brome--Missisquoi"," 16","Stukely-Sud",40,39,6,0,88,17,0,190,306
24016,"Brome--Missisquoi/Brome--Missisquoi"," 17","Saint-Étienne-de-Bolton",43,31,5,3,76,21,1,180,266
24016,"Brome--Missisquoi/Brome--Missisquoi"," 18","Saint-Étienne-de-Bolton",57,51,5,2,65,19,1,200,281
24016,"Brome--Missisquoi/Brome--Missisquoi"," 19","Bolton-Ouest",17,16,4,1,101,22,1,162,320
24016,"Brome--Missisquoi/Brome--Missisquoi"," 20","Bolton-Ouest",11,8,0,0,91,8,1,119,278
24016,"Brome--Missisquoi/Brome--Missisquoi"," 21","Lac-Brome",43,13,4,1,87,21,1,170,355
24016,"Brome--Missisquoi/Brome--Missisquoi"," 22","Lac-Brome",25,23,1,2,91,31,0,173,413
24016,"Brome--Missisquoi/Brome--Missisquoi"," 23","Lac-Brome",30,21,2,0,99,20,3,175,347
24016,"Brome--Missisquoi/Brome--Missisquoi"," 24","Bromont",61,50,8,1,137,23,1,281,542
