Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Joe Byrne,Sean Casey,Ron MacMillan,Becka Viau,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
11002,"Charlottetown/Charlottetown"," 52","Charlottetown",44,92,25,8,0,169,331
11002,"Charlottetown/Charlottetown"," 53","Charlottetown",41,93,33,8,1,176,334
11002,"Charlottetown/Charlottetown"," 54","Charlottetown",39,81,27,9,1,157,324
11002,"Charlottetown/Charlottetown"," 55","Charlottetown",63,90,23,22,1,199,387
11002,"Charlottetown/Charlottetown"," 56","Charlottetown",55,68,13,19,0,155,306
11002,"Charlottetown/Charlottetown"," 57","Charlottetown",45,75,10,14,0,144,291
11002,"Charlottetown/Charlottetown"," 58","Charlottetown",54,80,12,20,1,167,310
11002,"Charlottetown/Charlottetown"," 59","Charlottetown",40,120,27,8,0,195,372
11002,"Charlottetown/Charlottetown"," 60","Charlottetown",36,99,28,21,0,184,358
11002,"Charlottetown/Charlottetown"," 61","Charlottetown",38,118,39,16,0,211,360
11002,"Charlottetown/Charlottetown"," 62","Charlottetown",34,139,43,22,1,239,404
11002,"Charlottetown/Charlottetown"," 63","Charlottetown",62,81,17,18,1,179,353
11002,"Charlottetown/Charlottetown"," 64","Charlottetown",58,91,19,19,3,190,334
11002,"Charlottetown/Charlottetown"," 65","Charlottetown",39,92,9,22,1,163,325
11002,"Charlottetown/Charlottetown"," 66","Charlottetown",43,70,14,17,0,144,310
11002,"Charlottetown/Charlottetown"," 67","Charlottetown",49,105,9,15,1,179,359
11002,"Charlottetown/Charlottetown"," 68","Charlottetown",66,105,16,26,1,214,418
11002,"Charlottetown/Charlottetown"," 69","Charlottetown",30,91,34,13,1,169,318
11002,"Charlottetown/Charlottetown"," 70","Charlottetown",57,106,20,19,1,203,339
11002,"Charlottetown/Charlottetown"," 71","Charlottetown",35,100,18,20,0,173,333
11002,"Charlottetown/Charlottetown"," 72","Charlottetown",49,79,13,9,1,151,277
11002,"Charlottetown/Charlottetown"," 73","Charlottetown",23,110,27,7,0,167,319
11002,"Charlottetown/Charlottetown"," 74","Charlottetown",52,106,31,15,2,206,361
11002,"Charlottetown/Charlottetown"," 500","Mobile poll/Bureau itinérant",29,60,53,7,4,153,218
11002,"Charlottetown/Charlottetown"," 501","Mobile poll/Bureau itinérant",27,73,35,7,2,144,214
11002,"Charlottetown/Charlottetown"," 502","Mobile poll/Bureau itinérant",15,84,36,3,6,144,198
11002,"Charlottetown/Charlottetown"," 600","Charlottetown",340,959,258,64,8,1629,
11002,"Charlottetown/Charlottetown"," 601","Charlottetown",152,376,117,23,3,671,
11002,"Charlottetown/Charlottetown"," 602","Charlottetown",191,385,109,35,5,725,
11002,"Charlottetown/Charlottetown"," 603","Charlottetown",249,532,109,53,3,946,
11002,"Charlottetown/Charlottetown"," 604","Charlottetown",233,614,153,55,3,1058,
11002,"Charlottetown/Charlottetown",,"Group 1/Groupe 1",18,46,29,4,3,100,45
11002,"Charlottetown/Charlottetown",,"Group 2/Groupe 2",367,643,166,87,13,1276,
