Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Fred DeLorey,Sean Fraser,David Hachey,Ross Landry,Alexander J. MacKenzie,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12002,"Central Nova/Nova-Centre"," 1","Morristown",84,140,11,25,0,2,262,450
12002,"Central Nova/Nova-Centre"," 2","Cape George",48,100,5,9,0,0,162,254
12002,"Central Nova/Nova-Centre"," 3","Maryvale",49,169,11,16,0,1,246,425
12002,"Central Nova/Nova-Centre"," 4","North Grant",41,120,6,12,0,1,180,362
12002,"Central Nova/Nova-Centre"," 5","Cloverville",31,86,6,10,0,0,133,254
12002,"Central Nova/Nova-Centre"," 6","Cloverville",31,90,7,18,0,0,146,295
12002,"Central Nova/Nova-Centre"," 7","South River Road",25,44,1,9,1,0,80,180
12002,"Central Nova/Nova-Centre"," 8","Saint Andrews",20,60,5,8,0,1,94,151
12002,"Central Nova/Nova-Centre"," 9","Pitchers Farm",35,116,7,28,1,0,187,393
12002,"Central Nova/Nova-Centre"," 10","Williams Point",50,142,6,22,1,1,222,404
12002,"Central Nova/Nova-Centre"," 11","Antigonish, Subd. A",30,81,9,14,3,1,138,248
12002,"Central Nova/Nova-Centre"," 12","Antigonish",17,50,3,11,2,0,83,183
12002,"Central Nova/Nova-Centre"," 13","Antigonish",34,128,7,18,0,1,188,285
12002,"Central Nova/Nova-Centre"," 14","Antigonish",34,82,4,17,0,2,139,285
12002,"Central Nova/Nova-Centre"," 15","Antigonish",47,160,11,32,0,2,252,452
12002,"Central Nova/Nova-Centre"," 16","Antigonish",20,80,5,14,0,0,119,210
12002,"Central Nova/Nova-Centre"," 17","Antigonish",12,87,6,11,0,0,116,280
12002,"Central Nova/Nova-Centre"," 18","Antigonish",31,108,9,15,0,0,163,282
12002,"Central Nova/Nova-Centre"," 19","Antigonish",19,125,6,17,3,0,170,345
12002,"Central Nova/Nova-Centre"," 20","Antigonish",20,86,5,17,0,1,129,246
12002,"Central Nova/Nova-Centre"," 21","Clydesdale",27,69,1,7,0,0,104,231
12002,"Central Nova/Nova-Centre"," 22","Clydesdale",24,100,4,11,0,0,139,294
12002,"Central Nova/Nova-Centre"," 23","Antigonish",41,149,8,27,0,6,231,541
12002,"Central Nova/Nova-Centre"," 24","West River",33,141,7,18,0,2,201,458
12002,"Central Nova/Nova-Centre"," 25","Lower West River",38,152,4,19,1,1,215,412
12002,"Central Nova/Nova-Centre"," 26","West River",41,100,2,5,1,0,149,297
