Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Randy Boissonnault,James Cumming,Gil McGowan,David Parker,Steven Stauffer,Kat Yaki,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48014,"Edmonton Centre/Edmonton-Centre"," 1","Edmonton",42,95,53,14,0,1,0,205,407
48014,"Edmonton Centre/Edmonton-Centre"," 2","Edmonton",41,93,56,7,0,2,1,200,384
48014,"Edmonton Centre/Edmonton-Centre"," 3","Edmonton",91,112,52,4,1,1,2,263,464
48014,"Edmonton Centre/Edmonton-Centre"," 4","Edmonton",46,88,50,3,2,0,2,191,351
48014,"Edmonton Centre/Edmonton-Centre"," 5","Edmonton",67,78,53,10,1,0,0,209,372
48014,"Edmonton Centre/Edmonton-Centre"," 6","Edmonton",82,111,69,5,1,1,0,269,428
48014,"Edmonton Centre/Edmonton-Centre"," 7","Edmonton",67,89,66,6,0,3,1,232,470
48014,"Edmonton Centre/Edmonton-Centre"," 8","Edmonton",64,99,77,9,0,2,1,252,476
48014,"Edmonton Centre/Edmonton-Centre"," 9","Edmonton",56,79,74,8,2,1,1,221,420
48014,"Edmonton Centre/Edmonton-Centre"," 10","Edmonton",71,107,76,11,2,1,1,269,507
48014,"Edmonton Centre/Edmonton-Centre"," 11","Edmonton",51,27,55,8,0,0,0,141,452
48014,"Edmonton Centre/Edmonton-Centre"," 12","Edmonton",82,42,51,6,0,1,1,183,494
48014,"Edmonton Centre/Edmonton-Centre"," 13","Edmonton",79,85,72,5,0,1,0,242,420
48014,"Edmonton Centre/Edmonton-Centre"," 14","Edmonton",92,63,87,4,1,1,1,249,449
48014,"Edmonton Centre/Edmonton-Centre"," 15","Edmonton",67,45,48,7,1,0,0,168,454
48014,"Edmonton Centre/Edmonton-Centre"," 16","Edmonton",88,85,69,9,1,1,0,253,449
48014,"Edmonton Centre/Edmonton-Centre"," 17","Edmonton",70,78,70,7,1,2,1,229,451
48014,"Edmonton Centre/Edmonton-Centre"," 18","Edmonton",73,125,45,6,3,1,0,253,442
48014,"Edmonton Centre/Edmonton-Centre"," 19","Edmonton",128,82,104,9,3,4,1,331,797
48014,"Edmonton Centre/Edmonton-Centre"," 20","Edmonton",59,101,34,5,2,1,1,203,391
48014,"Edmonton Centre/Edmonton-Centre"," 21","Edmonton",34,121,53,6,1,2,1,218,396
48014,"Edmonton Centre/Edmonton-Centre"," 22","Edmonton",54,96,40,6,0,1,0,197,448
48014,"Edmonton Centre/Edmonton-Centre"," 23","Edmonton",76,88,32,4,0,1,1,202,400
48014,"Edmonton Centre/Edmonton-Centre"," 24","Edmonton",64,118,40,4,2,0,1,229,390
48014,"Edmonton Centre/Edmonton-Centre"," 25","Edmonton",49,116,50,5,1,0,1,222,381
48014,"Edmonton Centre/Edmonton-Centre"," 26","Edmonton",104,98,44,16,0,1,2,265,376
48014,"Edmonton Centre/Edmonton-Centre"," 27","Edmonton",79,95,57,5,0,0,0,236,360
48014,"Edmonton Centre/Edmonton-Centre"," 28","Edmonton",94,96,76,6,0,1,0,273,478
48014,"Edmonton Centre/Edmonton-Centre"," 29","Edmonton",86,94,80,6,1,0,0,267,400
48014,"Edmonton Centre/Edmonton-Centre"," 30","Edmonton",100,124,62,5,3,0,0,294,441
48014,"Edmonton Centre/Edmonton-Centre"," 31","Edmonton",92,92,43,7,1,0,0,235,438
48014,"Edmonton Centre/Edmonton-Centre"," 32","Edmonton",118,111,47,3,1,0,0,280,436
48014,"Edmonton Centre/Edmonton-Centre"," 33","Edmonton",101,74,88,11,2,0,0,276,403
48014,"Edmonton Centre/Edmonton-Centre"," 34","Edmonton",111,73,54,2,3,1,1,245,435
48014,"Edmonton Centre/Edmonton-Centre"," 35","Edmonton",89,60,71,11,2,0,1,234,428
48014,"Edmonton Centre/Edmonton-Centre"," 36","Edmonton",66,35,63,12,4,1,0,181,401
48014,"Edmonton Centre/Edmonton-Centre"," 37","Edmonton",110,80,66,9,0,0,0,265,545
48014,"Edmonton Centre/Edmonton-Centre"," 38","Edmonton",77,61,44,5,0,0,0,187,430
48014,"Edmonton Centre/Edmonton-Centre"," 39","Edmonton",91,68,36,2,0,0,1,198,377
48014,"Edmonton Centre/Edmonton-Centre"," 40","Edmonton",68,49,56,1,0,0,0,174,416
48014,"Edmonton Centre/Edmonton-Centre"," 41","Edmonton",47,47,55,0,2,1,1,153,393
48014,"Edmonton Centre/Edmonton-Centre"," 42","Edmonton",55,74,17,6,1,1,0,154,403
48014,"Edmonton Centre/Edmonton-Centre"," 43","Edmonton",99,65,60,8,2,1,0,235,408
48014,"Edmonton Centre/Edmonton-Centre"," 44","Edmonton",77,76,89,5,1,0,0,248,387
48014,"Edmonton Centre/Edmonton-Centre"," 45","Edmonton",77,37,66,5,0,1,0,186,369
48014,"Edmonton Centre/Edmonton-Centre"," 46","Edmonton",93,52,57,10,0,0,0,212,397
48014,"Edmonton Centre/Edmonton-Centre"," 47","Edmonton",116,66,70,6,0,0,1,259,439
48014,"Edmonton Centre/Edmonton-Centre"," 48","Edmonton",105,83,59,5,4,1,0,257,518
48014,"Edmonton Centre/Edmonton-Centre"," 49","Edmonton",73,43,74,5,0,0,1,196,526
48014,"Edmonton Centre/Edmonton-Centre"," 50","Edmonton",85,40,70,3,2,2,0,202,550
48014,"Edmonton Centre/Edmonton-Centre"," 51","Edmonton",105,89,51,3,1,2,0,251,685
48014,"Edmonton Centre/Edmonton-Centre"," 52","Edmonton",105,73,48,4,0,0,2,232,481
48014,"Edmonton Centre/Edmonton-Centre"," 53","Edmonton",65,60,46,12,0,1,1,185,422
48014,"Edmonton Centre/Edmonton-Centre"," 54","Edmonton",59,77,52,5,1,0,1,195,454
48014,"Edmonton Centre/Edmonton-Centre"," 55","Edmonton",67,63,58,5,1,0,1,195,405
48014,"Edmonton Centre/Edmonton-Centre"," 56","Edmonton",76,62,56,5,0,2,1,202,437
48014,"Edmonton Centre/Edmonton-Centre"," 57","Edmonton",80,65,53,7,1,0,2,208,406
48014,"Edmonton Centre/Edmonton-Centre"," 58","Edmonton",50,88,71,8,1,0,2,220,436
