Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,John Andrew Omowole Akpata,Paul Dewar,Dean T. Harris,Damian Konstantinakos,Conrad Lukawski,Catherine Mary McKenna,Tom Milroy,Stuart Ryan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35075,"Ottawa Centre/Ottawa-Centre"," 608","Ottawa",0,487,1,168,1,552,36,0,2,1247,
35075,"Ottawa Centre/Ottawa-Centre"," 609","Ottawa",3,541,1,80,2,307,35,2,17,988,
35075,"Ottawa Centre/Ottawa-Centre"," 610","Ottawa",2,488,6,131,5,470,49,1,5,1157,
35075,"Ottawa Centre/Ottawa-Centre"," 611","Ottawa",1,343,3,118,3,501,22,1,1,993,
35075,"Ottawa Centre/Ottawa-Centre"," 612","Ottawa",6,518,3,138,0,474,18,3,1,1161,
35075,"Ottawa Centre/Ottawa-Centre"," 613","Ottawa",3,297,2,115,0,302,23,1,2,745,
35075,"Ottawa Centre/Ottawa-Centre"," 614","Ottawa",0,342,2,73,0,314,23,1,0,755,
35075,"Ottawa Centre/Ottawa-Centre"," 615","Ottawa",1,395,1,56,0,265,33,1,2,754,
35075,"Ottawa Centre/Ottawa-Centre"," 616","Ottawa",0,491,6,220,3,608,33,3,3,1367,
35075,"Ottawa Centre/Ottawa-Centre"," 617","Ottawa",2,289,4,143,2,237,34,0,2,713,
35075,"Ottawa Centre/Ottawa-Centre"," 618","Ottawa",0,222,1,188,2,273,19,0,1,706,
35075,"Ottawa Centre/Ottawa-Centre",,"Group 1/Groupe 1",1,386,6,92,2,275,28,2,15,807,670
35075,"Ottawa Centre/Ottawa-Centre",,"Group 2/Groupe 2",5,1972,28,500,7,1635,104,9,76,4336,
