Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,John Andrew Omowole Akpata,Paul Dewar,Dean T. Harris,Damian Konstantinakos,Conrad Lukawski,Catherine Mary McKenna,Tom Milroy,Stuart Ryan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35075,"Ottawa Centre/Ottawa-Centre"," 165","Ottawa",1,71,2,32,0,79,4,0,1,190,375
35075,"Ottawa Centre/Ottawa-Centre"," 166","Ottawa",0,65,2,22,0,106,12,1,2,210,390
35075,"Ottawa Centre/Ottawa-Centre"," 167","Ottawa",0,61,0,57,0,105,5,0,1,229,396
35075,"Ottawa Centre/Ottawa-Centre"," 168","Ottawa",0,105,1,76,0,94,7,0,1,284,442
35075,"Ottawa Centre/Ottawa-Centre"," 169","Ottawa",4,116,3,79,1,164,4,0,0,371,556
35075,"Ottawa Centre/Ottawa-Centre"," 170","Ottawa",0,102,1,35,0,89,6,1,2,236,450
35075,"Ottawa Centre/Ottawa-Centre"," 171","Ottawa",0,114,0,26,1,93,5,0,3,242,486
35075,"Ottawa Centre/Ottawa-Centre"," 172A","Ottawa",1,52,1,14,0,62,6,0,1,137,203
35075,"Ottawa Centre/Ottawa-Centre"," 172B","Ottawa",0,46,0,7,0,36,5,1,1,96,206
35075,"Ottawa Centre/Ottawa-Centre"," 173A","Ottawa",2,75,3,42,2,158,10,0,4,296,386
35075,"Ottawa Centre/Ottawa-Centre"," 173B","Ottawa",1,80,1,39,1,166,17,0,2,307,395
35075,"Ottawa Centre/Ottawa-Centre"," 173C","Ottawa",1,84,6,50,1,154,7,2,1,306,392
35075,"Ottawa Centre/Ottawa-Centre"," 174","Ottawa",1,106,1,32,1,84,8,0,3,236,409
35075,"Ottawa Centre/Ottawa-Centre"," 175","Ottawa",0,116,2,30,1,99,6,1,0,255,453
35075,"Ottawa Centre/Ottawa-Centre"," 176","Ottawa",0,95,2,23,0,109,7,1,0,237,421
35075,"Ottawa Centre/Ottawa-Centre"," 177","Ottawa",0,99,1,27,1,98,11,1,1,239,426
35075,"Ottawa Centre/Ottawa-Centre"," 178","Ottawa",1,76,0,28,0,115,6,0,1,227,388
35075,"Ottawa Centre/Ottawa-Centre"," 179","Ottawa",0,83,0,31,0,110,4,0,0,228,362
35075,"Ottawa Centre/Ottawa-Centre"," 180","Ottawa",0,132,2,19,0,105,15,0,0,273,395
35075,"Ottawa Centre/Ottawa-Centre"," 181","Ottawa",0,102,0,24,0,115,2,1,2,246,394
35075,"Ottawa Centre/Ottawa-Centre"," 182","Ottawa",0,82,1,26,0,125,8,1,2,245,355
35075,"Ottawa Centre/Ottawa-Centre"," 183","Ottawa",2,86,1,24,0,100,13,0,1,227,399
35075,"Ottawa Centre/Ottawa-Centre"," 184","Ottawa",0,70,2,40,1,99,7,0,0,219,391
35075,"Ottawa Centre/Ottawa-Centre"," 185","Ottawa",1,112,0,28,0,83,6,0,1,231,424
35075,"Ottawa Centre/Ottawa-Centre"," 186","Ottawa",1,110,2,27,0,64,6,0,0,210,415
35075,"Ottawa Centre/Ottawa-Centre"," 187","Ottawa",0,89,0,33,0,111,3,0,3,239,410
35075,"Ottawa Centre/Ottawa-Centre"," 188","Ottawa",0,93,3,58,1,86,9,0,1,251,372
35075,"Ottawa Centre/Ottawa-Centre"," 189","Ottawa",1,121,2,55,1,79,7,0,4,270,462
35075,"Ottawa Centre/Ottawa-Centre"," 190","Ottawa",1,78,5,45,1,101,7,0,0,238,441
35075,"Ottawa Centre/Ottawa-Centre"," 191","Ottawa",0,89,3,34,0,104,7,0,2,239,423
35075,"Ottawa Centre/Ottawa-Centre"," 192","Ottawa",0,63,1,40,0,94,9,0,0,207,436
35075,"Ottawa Centre/Ottawa-Centre"," 193","Ottawa",1,66,2,29,0,79,4,1,2,184,429
35075,"Ottawa Centre/Ottawa-Centre"," 194","Ottawa",0,91,5,39,0,113,4,0,1,253,445
35075,"Ottawa Centre/Ottawa-Centre"," 195","Ottawa",2,83,1,38,0,96,12,0,0,232,421
