Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Rona Ambrose,Ernest Chauvet,Guy Desforges,Travis Dueck,Brendon Greene,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 1","Glenevis",132,0,15,16,9,0,172,286
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 2","Rich Valley",283,4,32,63,13,0,395,645
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 3","Ross Haven Rural",66,1,10,14,3,0,94,121
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 4","Ross Haven Rural",Merged with No./Fusionné avec le n°3,,,,,,,50
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 5","Onoway",202,2,25,43,11,1,284,553
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 6","Noyes Crossing",160,1,28,39,10,0,238,507
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 7","Sandy Lake ",97,2,20,24,6,0,149,300
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 8","Onoway",85,2,22,15,8,3,135,296
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 9A","Onoway",114,1,15,28,6,0,164,391
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 9B","Onoway",127,0,12,27,6,0,172,381
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 10A","Alcomdale",138,7,19,18,6,1,189,282
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 10B","Alcomdale",105,2,14,16,4,0,141,290
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 11","Fairydell",Merged with No./Fusionné avec le n°12,,,,,,,64
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 12","Fairydell",140,4,16,26,6,0,192,241
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 13","Waybrook",145,11,16,30,5,0,207,454
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 14","Legal",217,12,30,46,12,1,318,531
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 15","Manawan Lake",133,4,10,12,5,0,164,243
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 16","Legal",176,16,28,50,8,1,279,430
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 17","Bon Accord",174,2,14,25,3,0,218,387
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 18","Bon Accord",152,0,35,54,13,1,255,397
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 19","Bon Accord",119,2,41,43,17,1,223,395
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 20","Bon Accord",131,5,28,40,7,0,211,329
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 21","Bon Accord",203,1,25,36,13,1,279,441
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 22","Morinville",258,16,13,45,10,1,343,529
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 23A","Monnville",118,3,9,20,2,0,152,341
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 23B","Monnville",100,0,10,23,6,0,139,296
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 24","Morinville",171,6,32,48,10,0,267,568
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 25","Morinville",264,4,31,68,10,0,377,653
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 26","Morinville",188,4,35,57,8,1,293,518
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 27","Morinville",197,2,27,47,17,0,290,501
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 28","Morinville",151,8,19,31,6,1,216,401
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 29","Morinville",108,2,21,29,6,2,168,340
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 30","Morinville",144,4,30,62,3,2,245,471
