Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Érick Gauthier,Linda Lapointe,Laurin Liu,Félix Pinel,Luis Quinteros,Alec Ware,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 1","Rosemère",44,111,46,15,0,2,0,218,390
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 2","Rosemère",52,83,58,35,0,2,1,231,396
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 3","Rosemère",43,156,30,29,0,9,4,271,466
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 4","Rosemère",27,113,79,47,0,6,1,273,481
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 5","Rosemère",20,100,54,50,0,1,1,226,382
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 6","Rosemère",16,64,33,58,0,7,1,179,389
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 7","Rosemère",24,106,83,60,2,8,1,284,467
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 8","Rosemère",26,101,49,51,0,6,6,239,420
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 9","Rosemère",25,116,52,49,0,1,1,244,445
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 10","Rosemère",19,74,74,52,0,12,4,235,418
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 11","Rosemère",31,134,72,54,0,7,2,300,471
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 12","Rosemère",35,105,40,38,0,4,1,223,442
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 13","Rosemère",19,70,19,28,0,2,1,139,263
