Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ian Allen,Lorne Gershuny,Mark Jeftovic,Peggy Nash,Terry Parker,Adam Phipps,Carol Royer,Arif Virani,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35081,"Parkdale--High Park/Parkdale--High Park"," 21","Toronto",40,0,0,118,1,11,0,134,0,304,552
35081,"Parkdale--High Park/Parkdale--High Park"," 22","Toronto",19,0,1,75,1,6,1,109,1,213,379
35081,"Parkdale--High Park/Parkdale--High Park"," 23","Toronto",27,0,0,105,0,11,2,98,0,243,449
35081,"Parkdale--High Park/Parkdale--High Park"," 24","Toronto",33,0,5,72,0,1,0,93,0,204,363
35081,"Parkdale--High Park/Parkdale--High Park"," 25","Toronto",25,0,0,53,0,3,0,76,1,158,281
35081,"Parkdale--High Park/Parkdale--High Park"," 26","Toronto",22,0,2,87,0,8,0,76,0,195,403
35081,"Parkdale--High Park/Parkdale--High Park"," 27","Toronto",18,0,3,64,0,4,0,93,0,182,361
35081,"Parkdale--High Park/Parkdale--High Park"," 28","York",55,0,3,116,1,7,1,132,5,320,482
35081,"Parkdale--High Park/Parkdale--High Park"," 29","York",39,0,2,91,1,4,1,125,4,267,438
35081,"Parkdale--High Park/Parkdale--High Park"," 30","York",51,0,1,99,0,9,0,108,0,268,408
35081,"Parkdale--High Park/Parkdale--High Park"," 31","York",50,0,2,71,0,3,0,95,0,221,391
35081,"Parkdale--High Park/Parkdale--High Park"," 32","York",29,0,5,77,1,4,0,113,3,232,417
35081,"Parkdale--High Park/Parkdale--High Park"," 33","Toronto",30,0,1,94,0,7,0,108,0,240,466
35081,"Parkdale--High Park/Parkdale--High Park"," 34","Toronto",19,2,3,117,0,6,0,110,1,258,467
35081,"Parkdale--High Park/Parkdale--High Park"," 35","Toronto",28,0,1,79,0,5,2,114,0,229,440
35081,"Parkdale--High Park/Parkdale--High Park"," 36","Toronto",22,0,2,60,0,7,0,108,1,200,378
35081,"Parkdale--High Park/Parkdale--High Park"," 37","Toronto",37,0,0,38,1,3,0,112,1,192,356
35081,"Parkdale--High Park/Parkdale--High Park"," 38","Toronto",43,0,4,56,0,13,0,107,0,223,369
35081,"Parkdale--High Park/Parkdale--High Park"," 39A","Toronto",Merged with No./Fusionné avec le n°43A,,,,,,,,,,61
35081,"Parkdale--High Park/Parkdale--High Park"," 39B","Toronto",44,1,2,74,0,6,1,137,0,265,348
35081,"Parkdale--High Park/Parkdale--High Park"," 40","Toronto",24,1,1,94,0,4,1,117,0,242,386
35081,"Parkdale--High Park/Parkdale--High Park"," 41","Toronto",81,0,3,93,0,6,0,176,1,360,694
35081,"Parkdale--High Park/Parkdale--High Park"," 42","Toronto",40,1,0,61,0,4,0,61,0,167,310
35081,"Parkdale--High Park/Parkdale--High Park"," 43A","Toronto",17,0,5,78,0,10,0,64,0,174,145
35081,"Parkdale--High Park/Parkdale--High Park"," 43B","Toronto",Merged with No./Fusionné avec le n°39B,,,,,,,,,,56
35081,"Parkdale--High Park/Parkdale--High Park"," 43C","Toronto",Merged with No./Fusionné avec le n°422,,,,,,,,,,142
35081,"Parkdale--High Park/Parkdale--High Park"," 44A","Toronto",Merged with No./Fusionné avec le n°43A,,,,,,,,,,134
35081,"Parkdale--High Park/Parkdale--High Park"," 44B","Toronto",Merged with No./Fusionné avec le n°408,,,,,,,,,,31
35081,"Parkdale--High Park/Parkdale--High Park"," 44C","Toronto",26,1,0,40,0,5,0,66,0,138,217
35081,"Parkdale--High Park/Parkdale--High Park"," 45","Toronto",34,0,2,135,1,9,1,104,1,287,466
35081,"Parkdale--High Park/Parkdale--High Park"," 46","Toronto",31,2,5,147,2,3,2,118,4,314,502
35081,"Parkdale--High Park/Parkdale--High Park"," 47","Toronto",33,0,1,111,1,11,0,114,0,271,489
