Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Bang-Gu Jiang,Elvin Kao,Bob Saroya,Colleen Zimmerman,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35056,"Markham--Unionville/Markham--Unionville"," 22","Markham",94,1,94,12,1,202,422
35056,"Markham--Unionville/Markham--Unionville"," 23","Markham",89,6,94,17,0,206,442
35056,"Markham--Unionville/Markham--Unionville"," 24","Markham",78,3,88,10,0,179,367
35056,"Markham--Unionville/Markham--Unionville"," 25","Markham",82,2,68,14,0,166,413
35056,"Markham--Unionville/Markham--Unionville"," 26","Markham",84,3,80,14,0,181,449
35056,"Markham--Unionville/Markham--Unionville"," 27","Markham",89,1,82,13,0,185,400
35056,"Markham--Unionville/Markham--Unionville"," 28","Markham",80,4,116,6,0,206,504
35056,"Markham--Unionville/Markham--Unionville"," 29","Markham",86,2,81,4,0,173,416
35056,"Markham--Unionville/Markham--Unionville"," 30","Markham",79,3,63,9,0,154,389
35056,"Markham--Unionville/Markham--Unionville"," 31A","Markham",43,1,68,6,0,118,328
35056,"Markham--Unionville/Markham--Unionville"," 31B","Markham",44,3,65,4,1,117,286
35056,"Markham--Unionville/Markham--Unionville"," 32","Markham",95,3,85,6,0,189,401
35056,"Markham--Unionville/Markham--Unionville"," 33","Markham",101,4,101,8,1,215,415
35056,"Markham--Unionville/Markham--Unionville"," 34","Markham",72,1,75,6,0,154,375
35056,"Markham--Unionville/Markham--Unionville"," 35","Markham",65,2,121,8,1,197,401
35056,"Markham--Unionville/Markham--Unionville"," 36","Markham",61,3,131,14,3,212,470
35056,"Markham--Unionville/Markham--Unionville"," 37","Markham",68,5,99,8,2,182,391
35056,"Markham--Unionville/Markham--Unionville"," 38","Markham",91,4,103,19,3,220,463
35056,"Markham--Unionville/Markham--Unionville"," 39","Markham",73,9,98,9,1,190,457
35056,"Markham--Unionville/Markham--Unionville"," 40A","Markham",54,2,72,6,1,135,353
35056,"Markham--Unionville/Markham--Unionville"," 40B","Markham",71,3,53,9,0,136,304
35056,"Markham--Unionville/Markham--Unionville"," 41","Markham",55,8,99,9,2,173,385
35056,"Markham--Unionville/Markham--Unionville"," 42","Markham",72,1,109,14,0,196,393
35056,"Markham--Unionville/Markham--Unionville"," 43","Markham",103,4,88,21,1,217,410
35056,"Markham--Unionville/Markham--Unionville"," 44","Markham",108,10,95,14,0,227,434
35056,"Markham--Unionville/Markham--Unionville"," 45","Markham",76,2,97,11,1,187,418
35056,"Markham--Unionville/Markham--Unionville"," 46","Markham",66,3,55,5,0,129,365
35056,"Markham--Unionville/Markham--Unionville"," 47","Markham",95,3,82,18,0,198,459
35056,"Markham--Unionville/Markham--Unionville"," 48","Markham",66,2,89,7,0,164,401
35056,"Markham--Unionville/Markham--Unionville"," 49","Markham",77,9,124,6,0,216,449
35056,"Markham--Unionville/Markham--Unionville"," 50","Markham",110,2,104,13,2,231,489
35056,"Markham--Unionville/Markham--Unionville"," 51","Markham",83,2,118,6,0,209,468
35056,"Markham--Unionville/Markham--Unionville"," 52","Markham",86,4,118,6,1,215,501
35056,"Markham--Unionville/Markham--Unionville"," 53","Markham",75,6,100,7,2,190,412
35056,"Markham--Unionville/Markham--Unionville"," 54","Markham",74,3,70,4,0,151,393
35056,"Markham--Unionville/Markham--Unionville"," 55","Markham",58,4,80,6,0,148,426
35056,"Markham--Unionville/Markham--Unionville"," 56","Markham",71,2,111,14,1,199,525
35056,"Markham--Unionville/Markham--Unionville"," 57A","Markham",79,3,101,3,1,187,443
35056,"Markham--Unionville/Markham--Unionville"," 57B","Markham",35,2,66,5,0,108,274
35056,"Markham--Unionville/Markham--Unionville"," 58A","Markham",113,10,126,14,2,265,515
35056,"Markham--Unionville/Markham--Unionville"," 58B","Markham",85,3,105,9,0,202,483
35056,"Markham--Unionville/Markham--Unionville"," 59A","Markham",93,10,125,14,1,243,543
35056,"Markham--Unionville/Markham--Unionville"," 59B","Markham",56,5,86,4,2,153,401
35056,"Markham--Unionville/Markham--Unionville"," 59C","Markham",88,4,114,10,0,216,538
35056,"Markham--Unionville/Markham--Unionville"," 60","Markham",80,7,139,8,3,237,508
35056,"Markham--Unionville/Markham--Unionville"," 61","Markham",90,11,97,6,1,205,357
35056,"Markham--Unionville/Markham--Unionville"," 62","Markham",90,6,106,9,2,213,493
35056,"Markham--Unionville/Markham--Unionville"," 63","Markham",73,8,103,10,0,194,454
35056,"Markham--Unionville/Markham--Unionville"," 64","Markham",97,3,145,10,0,255,465
35056,"Markham--Unionville/Markham--Unionville"," 65","Markham",66,6,92,12,1,177,306
35056,"Markham--Unionville/Markham--Unionville"," 66","Markham",100,5,97,11,0,213,508
35056,"Markham--Unionville/Markham--Unionville"," 67","Markham",92,2,113,13,0,220,449
35056,"Markham--Unionville/Markham--Unionville"," 68","Markham",110,2,88,5,0,205,444
35056,"Markham--Unionville/Markham--Unionville"," 69","Markham",88,3,101,14,3,209,417
35056,"Markham--Unionville/Markham--Unionville"," 70","Markham",113,7,89,12,2,223,484
35056,"Markham--Unionville/Markham--Unionville"," 71","Markham",93,6,81,10,1,191,447
35056,"Markham--Unionville/Markham--Unionville"," 72","Markham",81,10,90,8,2,191,480
35056,"Markham--Unionville/Markham--Unionville"," 73","Markham",37,3,62,6,0,108,339
35056,"Markham--Unionville/Markham--Unionville"," 74","Markham",28,3,59,2,1,93,330
35056,"Markham--Unionville/Markham--Unionville"," 75","Markham",56,4,104,5,0,169,452
35056,"Markham--Unionville/Markham--Unionville"," 76","Markham",78,2,77,20,1,178,402
35056,"Markham--Unionville/Markham--Unionville"," 77","Markham",75,3,68,10,0,156,365
35056,"Markham--Unionville/Markham--Unionville"," 78","Markham",88,3,72,12,0,175,372
35056,"Markham--Unionville/Markham--Unionville"," 79","Markham",94,1,88,11,2,196,372
35056,"Markham--Unionville/Markham--Unionville"," 80","Markham",68,3,42,11,0,124,294
35056,"Markham--Unionville/Markham--Unionville"," 81","Markham",100,5,80,10,1,196,467
35056,"Markham--Unionville/Markham--Unionville"," 82A","Markham",37,2,79,3,0,121,339
35056,"Markham--Unionville/Markham--Unionville"," 82B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501,,,,,,27
35056,"Markham--Unionville/Markham--Unionville"," 83","Markham",87,7,76,5,3,178,350
35056,"Markham--Unionville/Markham--Unionville"," 84","Markham",61,4,58,4,1,128,346
35056,"Markham--Unionville/Markham--Unionville"," 85","Markham",79,8,95,9,3,194,430
35056,"Markham--Unionville/Markham--Unionville"," 86","Markham",88,4,58,12,1,163,365
35056,"Markham--Unionville/Markham--Unionville"," 87","Markham",74,4,101,6,0,185,424
35056,"Markham--Unionville/Markham--Unionville"," 88","Markham",79,3,86,10,1,179,376
35056,"Markham--Unionville/Markham--Unionville"," 89","Markham",94,6,109,11,1,221,452
35056,"Markham--Unionville/Markham--Unionville"," 90","Markham",71,4,81,6,6,168,386
35056,"Markham--Unionville/Markham--Unionville"," 91","Markham",60,3,85,5,0,153,403
35056,"Markham--Unionville/Markham--Unionville"," 92","Markham",85,4,88,9,1,187,417
35056,"Markham--Unionville/Markham--Unionville"," 93","Markham",71,3,56,8,0,138,277
35056,"Markham--Unionville/Markham--Unionville"," 94","Markham",38,2,34,2,0,76,271
35056,"Markham--Unionville/Markham--Unionville"," 95","Markham",83,2,101,17,0,203,372
35056,"Markham--Unionville/Markham--Unionville"," 96","Markham",57,6,61,8,0,132,432
35056,"Markham--Unionville/Markham--Unionville"," 97","Markham",95,8,124,12,0,239,435
35056,"Markham--Unionville/Markham--Unionville"," 98","Markham",85,6,92,11,0,194,358
35056,"Markham--Unionville/Markham--Unionville"," 99","Markham",75,0,121,7,1,204,430
35056,"Markham--Unionville/Markham--Unionville"," 100","Markham",60,6,105,8,0,179,418
35056,"Markham--Unionville/Markham--Unionville"," 101","Markham",65,1,85,5,0,156,409
35056,"Markham--Unionville/Markham--Unionville"," 102","Markham",72,2,125,1,2,202,358
35056,"Markham--Unionville/Markham--Unionville"," 103","Markham",56,2,70,3,1,132,264
35056,"Markham--Unionville/Markham--Unionville"," 104","Markham",66,8,124,11,2,211,389
35056,"Markham--Unionville/Markham--Unionville"," 105","Markham",104,9,106,7,0,226,417
35056,"Markham--Unionville/Markham--Unionville"," 106","Markham",79,2,126,13,0,220,416
35056,"Markham--Unionville/Markham--Unionville"," 107","Markham",50,2,62,12,0,126,264
35056,"Markham--Unionville/Markham--Unionville"," 108","Markham",103,7,131,10,2,253,505
35056,"Markham--Unionville/Markham--Unionville"," 109","Markham",100,4,99,9,1,213,440
35056,"Markham--Unionville/Markham--Unionville"," 110","Markham",49,7,80,7,2,145,293
35056,"Markham--Unionville/Markham--Unionville"," 111","Markham",67,2,93,11,0,173,422
35056,"Markham--Unionville/Markham--Unionville"," 112","Markham",54,2,87,1,1,145,376
35056,"Markham--Unionville/Markham--Unionville"," 113","Markham",75,2,68,6,2,153,350
35056,"Markham--Unionville/Markham--Unionville"," 114","Markham",92,4,78,4,1,179,436
35056,"Markham--Unionville/Markham--Unionville"," 115","Markham",72,4,83,5,2,166,405
35056,"Markham--Unionville/Markham--Unionville"," 116","Markham",66,2,72,13,1,154,364
35056,"Markham--Unionville/Markham--Unionville"," 117","Markham",61,2,96,4,1,164,337
35056,"Markham--Unionville/Markham--Unionville"," 118","Markham",87,7,96,4,1,195,384
35056,"Markham--Unionville/Markham--Unionville"," 119","Markham",77,2,60,8,0,147,384
35056,"Markham--Unionville/Markham--Unionville"," 120","Markham",81,5,74,6,0,166,339
35056,"Markham--Unionville/Markham--Unionville"," 121","Markham",36,0,60,7,1,104,267
35056,"Markham--Unionville/Markham--Unionville"," 122","Markham",47,2,94,4,2,149,361
35056,"Markham--Unionville/Markham--Unionville"," 123","Markham",66,6,112,6,4,194,447
35056,"Markham--Unionville/Markham--Unionville"," 124","Markham",105,0,81,4,2,192,483
35056,"Markham--Unionville/Markham--Unionville"," 125","Markham",74,4,85,5,1,169,441
35056,"Markham--Unionville/Markham--Unionville"," 126","Markham",77,3,69,3,1,153,355
35056,"Markham--Unionville/Markham--Unionville"," 127","Markham",58,4,74,5,1,142,345
35056,"Markham--Unionville/Markham--Unionville"," 128","Markham",61,6,83,6,2,158,345
35056,"Markham--Unionville/Markham--Unionville"," 129","Markham",60,2,134,11,2,209,554
35056,"Markham--Unionville/Markham--Unionville"," 130","Markham",62,6,106,11,0,185,416
35056,"Markham--Unionville/Markham--Unionville"," 131","Markham",78,4,91,11,0,184,392
35056,"Markham--Unionville/Markham--Unionville"," 132","Markham",63,1,122,7,1,194,413
35056,"Markham--Unionville/Markham--Unionville"," 133","Markham",91,6,118,9,3,227,489
35056,"Markham--Unionville/Markham--Unionville"," 134","Markham",59,3,107,8,0,177,440
35056,"Markham--Unionville/Markham--Unionville"," 135A","Markham",74,1,131,12,0,218,536
35056,"Markham--Unionville/Markham--Unionville"," 135B","Markham",74,0,112,10,0,196,467
35056,"Markham--Unionville/Markham--Unionville"," 136","Markham",54,2,103,8,0,167,386
35056,"Markham--Unionville/Markham--Unionville"," 137","Markham",60,5,145,14,1,225,472
35056,"Markham--Unionville/Markham--Unionville"," 138","Markham",67,1,123,14,0,205,422
35056,"Markham--Unionville/Markham--Unionville"," 139","Markham",63,2,98,8,3,174,388
35056,"Markham--Unionville/Markham--Unionville"," 140","Markham",42,1,54,3,0,100,292
35056,"Markham--Unionville/Markham--Unionville"," 141","Markham",94,8,115,10,1,228,464
35056,"Markham--Unionville/Markham--Unionville"," 142","Markham",56,1,86,13,0,156,386
35056,"Markham--Unionville/Markham--Unionville"," 143","Markham",79,6,131,4,0,220,514
35056,"Markham--Unionville/Markham--Unionville"," 144","Markham",62,3,57,4,2,128,353
35056,"Markham--Unionville/Markham--Unionville"," 145","Markham",65,3,106,5,1,180,426
35056,"Markham--Unionville/Markham--Unionville"," 146","Markham",52,3,61,9,1,126,345
35056,"Markham--Unionville/Markham--Unionville"," 147","Markham",54,4,86,4,0,148,369
35056,"Markham--Unionville/Markham--Unionville"," 148","Markham",106,2,75,18,1,202,529
35056,"Markham--Unionville/Markham--Unionville"," 149","Markham",83,5,68,13,1,170,414
35056,"Markham--Unionville/Markham--Unionville"," 150","Markham",61,4,76,20,0,161,383
35056,"Markham--Unionville/Markham--Unionville"," 151","Markham",48,4,85,9,0,146,376
35056,"Markham--Unionville/Markham--Unionville"," 152","Markham",94,1,87,2,0,184,382
35056,"Markham--Unionville/Markham--Unionville"," 153","Markham",91,5,99,6,0,201,400
35056,"Markham--Unionville/Markham--Unionville"," 154","Markham",78,4,99,6,2,189,370
35056,"Markham--Unionville/Markham--Unionville"," 155","Markham",61,3,94,6,2,166,359
35056,"Markham--Unionville/Markham--Unionville"," 156","Markham",52,2,123,6,3,186,428
35056,"Markham--Unionville/Markham--Unionville"," 157","Markham",74,0,92,4,2,172,394
35056,"Markham--Unionville/Markham--Unionville"," 158","Markham",71,1,96,6,1,175,440
35056,"Markham--Unionville/Markham--Unionville"," 159","Markham",60,1,72,11,0,144,305
35056,"Markham--Unionville/Markham--Unionville"," 160","Markham",73,1,64,3,2,143,313
35056,"Markham--Unionville/Markham--Unionville"," 161","Markham",79,6,122,6,2,215,412
35056,"Markham--Unionville/Markham--Unionville"," 162","Markham",86,5,105,11,1,208,432
35056,"Markham--Unionville/Markham--Unionville"," 163","Markham",94,5,115,11,0,225,398
35056,"Markham--Unionville/Markham--Unionville"," 164","Markham",96,8,88,12,0,204,403
35056,"Markham--Unionville/Markham--Unionville"," 165","Markham",79,1,75,6,1,162,388
35056,"Markham--Unionville/Markham--Unionville"," 166","Markham",92,10,110,7,1,220,504
35056,"Markham--Unionville/Markham--Unionville"," 167","Markham",74,5,82,6,2,169,411
35056,"Markham--Unionville/Markham--Unionville"," 168","Markham",67,1,88,7,1,164,403
35056,"Markham--Unionville/Markham--Unionville"," 169","Markham",41,6,82,7,0,136,442
35056,"Markham--Unionville/Markham--Unionville"," 170","Markham",50,5,78,8,0,141,483
35056,"Markham--Unionville/Markham--Unionville"," 171","Markham",99,12,93,9,1,214,505
35056,"Markham--Unionville/Markham--Unionville"," 172","Markham",78,5,76,7,1,167,382
35056,"Markham--Unionville/Markham--Unionville"," 173","Markham",83,7,84,7,3,184,435
35056,"Markham--Unionville/Markham--Unionville"," 174","Markham",44,5,69,7,0,125,363
35056,"Markham--Unionville/Markham--Unionville"," 175","Markham",100,3,63,5,1,172,393
35056,"Markham--Unionville/Markham--Unionville"," 176","Markham",79,3,96,10,0,188,431
35056,"Markham--Unionville/Markham--Unionville"," 177","Markham",70,5,64,4,0,143,265
35056,"Markham--Unionville/Markham--Unionville"," 178","Markham",107,3,101,8,0,219,441
35056,"Markham--Unionville/Markham--Unionville"," 179","Markham",40,5,51,3,0,99,424
35056,"Markham--Unionville/Markham--Unionville"," 180","Markham",85,5,70,7,1,168,224
35056,"Markham--Unionville/Markham--Unionville"," 400","Markham",Void/Supprimé,,,,,,
35056,"Markham--Unionville/Markham--Unionville"," 401","Markham",131,11,122,13,2,279,390
35056,"Markham--Unionville/Markham--Unionville"," 402","Markham",30,1,39,4,0,74,165
35056,"Markham--Unionville/Markham--Unionville"," 403","Markham",40,0,34,6,1,81,163
35056,"Markham--Unionville/Markham--Unionville"," 404","Markham",29,0,26,15,0,70,130
35056,"Markham--Unionville/Markham--Unionville"," 405","Markham",74,4,37,5,0,120,199
35056,"Markham--Unionville/Markham--Unionville"," 406","Markham",37,1,34,5,1,78,129
