Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Chris Albinati,Kimberley Love,David McLaren,Larry Miller,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 1","Tobermory",8,88,11,64,0,171,307
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 2","St. Edmunds",6,58,11,71,0,146,283
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 3","St. Edmunds",6,75,23,64,0,168,303
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 4","Miller Lake West",5,74,21,77,0,177,285
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 5","Miller Lake West",1,49,21,85,0,156,266
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 6","Barrow Bay",9,69,12,74,0,164,297
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 7","Lion's Head",2,57,13,83,0,155,299
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 8","Barrow Bay",7,76,8,76,0,167,327
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 9","Pike Bay",5,47,18,91,0,161,326
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 10","Stokes Bay",1,52,15,48,0,116,314
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 11","Pike Bay",2,57,7,65,0,131,300
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 12","South Bruce Peninsula",0,78,176,4,2,260,464
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 13","South Bruce Peninsula",3,72,17,101,0,193,402
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 14","South Bruce Peninsula",5,87,23,98,0,213,382
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 15","South Bruce Peninsula",4,66,14,87,0,171,382
