Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Thomas Barré,Pierre Chénier,Philippe Cloutier,Sadia Groguhé,Mario Leclerc,Matthew Iakov Liberman,Sherry Romanado,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 1","Longueuil",21,1,96,57,8,1,45,3,232,422
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 2","Longueuil",16,2,57,39,8,2,47,4,175,443
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 3","Longueuil",13,1,66,25,7,2,44,3,161,399
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 4","Longueuil",11,2,43,36,2,2,35,2,133,380
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 5","Longueuil",29,0,59,52,10,0,83,1,234,470
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 6","Longueuil",19,0,71,53,7,1,64,4,219,476
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 7","Longueuil",17,1,57,52,5,0,63,5,200,439
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 8","Longueuil",24,4,97,49,8,3,80,8,273,489
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 9","Longueuil",10,2,62,34,3,1,57,8,177,439
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 10","Longueuil",4,1,43,29,3,0,43,7,130,339
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 11","Longueuil",12,0,64,45,8,1,52,6,188,440
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 12","Longueuil",16,0,40,27,6,1,20,5,115,318
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 13","Longueuil",9,0,45,29,3,2,36,3,127,321
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 14","Longueuil",8,1,27,38,3,1,48,6,132,384
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 15","Longueuil",6,0,70,30,9,1,43,3,162,408
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 16","Longueuil",12,1,32,51,5,2,41,1,145,371
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 17","Longueuil",13,0,47,30,3,0,41,2,136,329
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 18","Longueuil",6,1,66,35,2,2,48,4,164,432
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 19","Longueuil",20,0,68,35,1,2,40,0,166,405
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 20","Longueuil",11,0,71,29,2,1,40,1,155,386
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 21","Longueuil",10,0,38,43,3,0,34,5,133,338
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 22","Longueuil",8,0,28,22,2,0,35,3,98,336
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 23","Longueuil",7,2,57,39,2,0,50,1,158,461
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 24","Longueuil",14,1,76,42,4,0,39,0,176,428
