Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Paul Calandra,Gregory Hines,Myles O'Brien,Jane Philpott,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35054,"Markham--Stouffville/Markham--Stouffville"," 1A","Whitchurch-Stouffville",Merged with No./Fusionné avec le n°5,,,,,,27
35054,"Markham--Stouffville/Markham--Stouffville"," 1B","Whitchurch-Stouffville",150,7,6,109,0,272,469
35054,"Markham--Stouffville/Markham--Stouffville"," 2A","Whitchurch-Stouffville",127,6,6,89,1,229,359
35054,"Markham--Stouffville/Markham--Stouffville"," 2B","Whitchurch-Stouffville",Merged with No./Fusionné avec le n°5,,,,,,7
35054,"Markham--Stouffville/Markham--Stouffville"," 3","Whitchurch-Stouffville",169,6,3,139,0,317,497
35054,"Markham--Stouffville/Markham--Stouffville"," 4","Whitchurch-Stouffville",96,13,8,84,1,202,384
35054,"Markham--Stouffville/Markham--Stouffville"," 5","Whitchurch-Stouffville",145,14,8,57,0,224,440
35054,"Markham--Stouffville/Markham--Stouffville"," 6A","Whitchurch-Stouffville",114,6,1,124,0,245,316
35054,"Markham--Stouffville/Markham--Stouffville"," 6B","Whitchurch-Stouffville",Merged with No./Fusionné avec le n°12,,,,,,144
35054,"Markham--Stouffville/Markham--Stouffville"," 7A","Whitchurch-Stouffville",Merged with No./Fusionné avec le n°6A,,,,,,68
35054,"Markham--Stouffville/Markham--Stouffville"," 7B","Whitchurch-Stouffville",134,8,3,80,0,225,410
35054,"Markham--Stouffville/Markham--Stouffville"," 8","Whitchurch-Stouffville",123,16,4,69,3,215,506
35054,"Markham--Stouffville/Markham--Stouffville"," 9","Whitchurch-Stouffville",138,23,14,109,0,284,475
35054,"Markham--Stouffville/Markham--Stouffville"," 10","Whitchurch-Stouffville",75,17,21,82,1,196,373
35054,"Markham--Stouffville/Markham--Stouffville"," 11","Whitchurch-Stouffville",109,13,12,90,0,224,395
35054,"Markham--Stouffville/Markham--Stouffville"," 12","Whitchurch-Stouffville",120,14,9,118,0,261,387
35054,"Markham--Stouffville/Markham--Stouffville"," 13","Whitchurch-Stouffville",133,21,6,124,1,285,543
35054,"Markham--Stouffville/Markham--Stouffville"," 14","Whitchurch-Stouffville",83,7,3,94,0,187,350
35054,"Markham--Stouffville/Markham--Stouffville"," 15","Whitchurch-Stouffville",97,10,8,61,0,176,349
35054,"Markham--Stouffville/Markham--Stouffville"," 16","Whitchurch-Stouffville",61,1,2,32,0,96,208
35054,"Markham--Stouffville/Markham--Stouffville"," 17","Whitchurch-Stouffville",129,5,5,72,6,217,494
35054,"Markham--Stouffville/Markham--Stouffville"," 18","Whitchurch-Stouffville",106,19,6,96,0,227,397
35054,"Markham--Stouffville/Markham--Stouffville"," 19","Whitchurch-Stouffville",129,16,1,126,0,272,456
35054,"Markham--Stouffville/Markham--Stouffville"," 20","Whitchurch-Stouffville",96,23,0,119,3,241,436
35054,"Markham--Stouffville/Markham--Stouffville"," 21","Whitchurch-Stouffville",70,11,6,43,0,130,276
35054,"Markham--Stouffville/Markham--Stouffville"," 22","Whitchurch-Stouffville",142,15,6,93,1,257,480
35054,"Markham--Stouffville/Markham--Stouffville"," 23","Whitchurch-Stouffville",122,3,7,101,1,234,506
35054,"Markham--Stouffville/Markham--Stouffville"," 24","Whitchurch-Stouffville",118,10,4,86,1,219,401
35054,"Markham--Stouffville/Markham--Stouffville"," 25","Whitchurch-Stouffville",107,13,5,75,0,200,484
35054,"Markham--Stouffville/Markham--Stouffville"," 26","Whitchurch-Stouffville",131,11,9,84,0,235,523
35054,"Markham--Stouffville/Markham--Stouffville"," 27","Whitchurch-Stouffville",116,7,6,92,1,222,482
35054,"Markham--Stouffville/Markham--Stouffville"," 28A","Whitchurch-Stouffville",101,14,5,111,0,231,439
35054,"Markham--Stouffville/Markham--Stouffville"," 28B","Whitchurch-Stouffville",90,10,3,88,0,191,381
35054,"Markham--Stouffville/Markham--Stouffville"," 29A","Whitchurch-Stouffville",107,11,4,70,2,194,311
35054,"Markham--Stouffville/Markham--Stouffville"," 29B","Whitchurch-Stouffville",68,12,4,64,1,149,291
35054,"Markham--Stouffville/Markham--Stouffville"," 30","Whitchurch-Stouffville",129,19,8,108,1,265,412
35054,"Markham--Stouffville/Markham--Stouffville"," 31","Whitchurch-Stouffville",119,19,1,106,0,245,415
35054,"Markham--Stouffville/Markham--Stouffville"," 32","Whitchurch-Stouffville",80,12,3,98,0,193,411
35054,"Markham--Stouffville/Markham--Stouffville"," 33","Whitchurch-Stouffville",102,13,4,106,1,226,370
35054,"Markham--Stouffville/Markham--Stouffville"," 34","Whitchurch-Stouffville",131,9,8,88,0,236,470
35054,"Markham--Stouffville/Markham--Stouffville"," 35","Whitchurch-Stouffville",92,9,9,81,1,192,372
35054,"Markham--Stouffville/Markham--Stouffville"," 36","Whitchurch-Stouffville",97,16,10,104,1,228,439
35054,"Markham--Stouffville/Markham--Stouffville"," 37","Whitchurch-Stouffville",95,12,1,78,0,186,358
35054,"Markham--Stouffville/Markham--Stouffville"," 38","Whitchurch-Stouffville",94,15,16,85,0,210,391
35054,"Markham--Stouffville/Markham--Stouffville"," 39","Whitchurch-Stouffville",112,11,1,99,2,225,407
