Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Cynthia Marie Block,Claire Card,Valerie Harvey,Eric Matthew Schalm,Brad Trost,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47011,"Saskatoon--University/Saskatoon--University"," 1","Saskatoon",44,37,1,0,107,0,189,377
47011,"Saskatoon--University/Saskatoon--University"," 2","Saskatoon",49,37,5,0,124,0,215,433
47011,"Saskatoon--University/Saskatoon--University"," 3","Saskatoon",68,53,5,0,112,0,238,413
47011,"Saskatoon--University/Saskatoon--University"," 4","Saskatoon",64,39,0,1,126,0,230,415
47011,"Saskatoon--University/Saskatoon--University"," 5","Saskatoon",67,80,1,0,108,1,257,431
47011,"Saskatoon--University/Saskatoon--University"," 6","Saskatoon",64,50,6,1,121,0,242,411
47011,"Saskatoon--University/Saskatoon--University"," 7","Saskatoon",66,43,2,0,121,0,232,391
47011,"Saskatoon--University/Saskatoon--University"," 8","Saskatoon",39,49,6,0,79,1,174,370
47011,"Saskatoon--University/Saskatoon--University"," 9","Saskatoon",67,74,2,0,76,0,219,391
47011,"Saskatoon--University/Saskatoon--University"," 10","Saskatoon",54,42,4,1,99,0,200,364
47011,"Saskatoon--University/Saskatoon--University"," 11","Saskatoon",76,63,1,0,94,0,234,446
47011,"Saskatoon--University/Saskatoon--University"," 12","Saskatoon",54,49,2,1,115,0,221,378
47011,"Saskatoon--University/Saskatoon--University"," 13","Saskatoon",43,60,6,2,75,0,186,341
47011,"Saskatoon--University/Saskatoon--University"," 14","Saskatoon",58,47,6,0,89,1,201,397
47011,"Saskatoon--University/Saskatoon--University"," 15","Saskatoon",71,62,2,0,112,0,247,412
47011,"Saskatoon--University/Saskatoon--University"," 16","Saskatoon",39,45,3,1,90,0,178,342
47011,"Saskatoon--University/Saskatoon--University"," 17","Saskatoon",57,46,3,1,110,0,217,392
47011,"Saskatoon--University/Saskatoon--University"," 18","Saskatoon",60,52,7,1,128,0,248,407
47011,"Saskatoon--University/Saskatoon--University"," 19","Saskatoon",62,56,2,0,110,2,232,417
47011,"Saskatoon--University/Saskatoon--University"," 20","Saskatoon",54,71,2,0,88,0,215,436
47011,"Saskatoon--University/Saskatoon--University"," 21","Saskatoon",73,59,5,2,84,0,223,419
47011,"Saskatoon--University/Saskatoon--University"," 22","Saskatoon",65,62,1,1,77,0,206,410
47011,"Saskatoon--University/Saskatoon--University"," 23","Saskatoon",49,58,1,0,61,1,170,352
47011,"Saskatoon--University/Saskatoon--University"," 24","Saskatoon",77,74,4,1,121,0,277,449
47011,"Saskatoon--University/Saskatoon--University"," 25","Saskatoon",63,54,0,1,90,0,208,335
47011,"Saskatoon--University/Saskatoon--University"," 26","Saskatoon",69,60,2,0,111,0,242,446
47011,"Saskatoon--University/Saskatoon--University"," 27","Saskatoon",51,53,5,1,84,0,194,328
47011,"Saskatoon--University/Saskatoon--University"," 28","Saskatoon",81,53,0,0,91,0,225,332
47011,"Saskatoon--University/Saskatoon--University"," 29","Saskatoon",59,48,2,1,79,0,189,336
47011,"Saskatoon--University/Saskatoon--University"," 30","Saskatoon",77,79,3,0,92,1,252,428
47011,"Saskatoon--University/Saskatoon--University"," 31","Saskatoon",80,51,7,0,205,6,349,431
47011,"Saskatoon--University/Saskatoon--University"," 32","Saskatoon",46,42,3,0,113,1,205,374
47011,"Saskatoon--University/Saskatoon--University"," 33","Saskatoon",67,65,2,0,106,0,240,459
47011,"Saskatoon--University/Saskatoon--University"," 34","Saskatoon",58,69,3,0,91,0,221,436
47011,"Saskatoon--University/Saskatoon--University"," 35","Saskatoon",66,57,8,0,95,0,226,354
47011,"Saskatoon--University/Saskatoon--University"," 36","Saskatoon",64,47,3,0,64,0,178,327
47011,"Saskatoon--University/Saskatoon--University"," 37","Saskatoon",92,79,4,1,109,3,288,457
47011,"Saskatoon--University/Saskatoon--University"," 38","Saskatoon",74,46,6,0,105,0,231,363
47011,"Saskatoon--University/Saskatoon--University"," 39","Saskatoon",70,60,3,0,77,1,211,357
47011,"Saskatoon--University/Saskatoon--University"," 40","Saskatoon",50,70,3,1,82,0,206,380
47011,"Saskatoon--University/Saskatoon--University"," 41","Saskatoon",53,67,3,1,73,1,198,334
47011,"Saskatoon--University/Saskatoon--University"," 42","Saskatoon",67,74,4,1,83,0,229,416
47011,"Saskatoon--University/Saskatoon--University"," 43","Saskatoon",49,62,2,0,69,0,182,363
47011,"Saskatoon--University/Saskatoon--University"," 44","Saskatoon",65,88,5,0,49,0,207,379
47011,"Saskatoon--University/Saskatoon--University"," 45","Saskatoon",55,83,3,0,69,0,210,397
