Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Geoffrey Capp,Rachael Harder,Solly Krygier-Paine,Kas MacMillan,Cheryl Meheden,Mike Pyne,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48026,"Lethbridge/Lethbridge"," 1","Barons",4,133,3,7,22,32,0,201,395
48026,"Lethbridge/Lethbridge"," 2","Iron Springs",1,20,0,5,4,6,0,36,195
48026,"Lethbridge/Lethbridge"," 3","Turin",3,75,0,4,5,4,0,91,246
48026,"Lethbridge/Lethbridge"," 4","Iron Springs",11,168,0,2,9,9,1,200,325
48026,"Lethbridge/Lethbridge"," 5","Keho",33,211,0,2,1,9,0,256,364
48026,"Lethbridge/Lethbridge"," 6","Picture Butte",7,142,0,5,19,17,0,190,359
48026,"Lethbridge/Lethbridge"," 7","Picture Butte",3,71,0,6,13,18,0,111,248
48026,"Lethbridge/Lethbridge"," 8","Picture Butte",4,109,0,3,3,15,1,135,254
48026,"Lethbridge/Lethbridge"," 9A","Nobleford",8,141,0,4,19,21,1,194,294
48026,"Lethbridge/Lethbridge"," 9B","Nobleford",7,145,0,7,20,15,1,195,316
48026,"Lethbridge/Lethbridge"," 10","Nobleford",8,137,0,6,18,12,0,181,360
48026,"Lethbridge/Lethbridge"," 11","Monarch",31,244,1,9,13,20,0,318,468
48026,"Lethbridge/Lethbridge"," 12","Shaughnessy",7,103,0,2,3,5,0,120,190
48026,"Lethbridge/Lethbridge"," 13","Shaughnessy",13,152,1,9,15,31,0,221,436
48026,"Lethbridge/Lethbridge"," 14","Diamond City",19,149,2,6,11,16,0,203,358
48026,"Lethbridge/Lethbridge"," 15A","Picture Butte",7,92,0,3,12,17,1,132,278
48026,"Lethbridge/Lethbridge"," 15B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°191B,,,,,,,,8
48026,"Lethbridge/Lethbridge"," 15C","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°191B,,,,,,,,24
48026,"Lethbridge/Lethbridge"," 15D","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°191B,,,,,,,,17
48026,"Lethbridge/Lethbridge"," 16","Coalhurst",11,115,0,8,25,14,0,173,293
48026,"Lethbridge/Lethbridge"," 17","Coalhurst",3,104,1,13,25,30,1,177,371
48026,"Lethbridge/Lethbridge"," 18","Coalhurst",1,84,2,14,21,22,0,144,276
48026,"Lethbridge/Lethbridge"," 19","Coalhurst",4,196,1,12,45,52,0,310,554
48026,"Lethbridge/Lethbridge"," 20","Coalhurst",3,121,0,7,24,27,2,184,339
48026,"Lethbridge/Lethbridge"," 21","Coalhurst",6,224,0,19,24,34,0,307,513
48026,"Lethbridge/Lethbridge"," 22","Diamond City",2,121,0,3,10,11,0,147,204
48026,"Lethbridge/Lethbridge"," 23","Broxburn",2,180,1,1,12,8,0,204,340
48026,"Lethbridge/Lethbridge"," 24A","Lethbridge",1,107,0,6,33,32,0,179,316
48026,"Lethbridge/Lethbridge"," 24B","Lethbridge",3,81,0,8,37,42,0,171,316
48026,"Lethbridge/Lethbridge"," 25A","Lethbridge",0,95,1,2,29,21,1,149,332
48026,"Lethbridge/Lethbridge"," 25B","Lethbridge",2,92,0,1,25,24,0,144,324
48026,"Lethbridge/Lethbridge"," 26A","Lethbridge",4,131,0,4,35,46,1,221,412
48026,"Lethbridge/Lethbridge"," 26B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°154B,,,,,,,,63
48026,"Lethbridge/Lethbridge"," 27","Lethbridge",0,138,2,8,51,43,2,244,440
48026,"Lethbridge/Lethbridge"," 28","Lethbridge",0,164,3,2,46,67,0,282,484
48026,"Lethbridge/Lethbridge"," 29","Lethbridge",1,160,0,8,48,51,0,268,478
48026,"Lethbridge/Lethbridge"," 30","Lethbridge",3,139,0,4,38,31,0,215,418
48026,"Lethbridge/Lethbridge"," 31","Lethbridge",1,121,0,2,29,27,1,181,331
48026,"Lethbridge/Lethbridge"," 32","Lethbridge",2,143,2,1,25,45,2,220,408
48026,"Lethbridge/Lethbridge"," 33","Lethbridge",2,132,0,5,25,46,0,210,437
48026,"Lethbridge/Lethbridge"," 34","Lethbridge",0,145,0,1,41,28,0,215,442
48026,"Lethbridge/Lethbridge"," 35","Lethbridge",1,57,0,2,32,35,0,127,294
48026,"Lethbridge/Lethbridge"," 36","Lethbridge",0,116,0,2,39,42,1,200,367
48026,"Lethbridge/Lethbridge"," 37","Lethbridge",0,87,0,7,52,47,0,193,376
48026,"Lethbridge/Lethbridge"," 38","Lethbridge",2,116,0,3,38,54,0,213,376
48026,"Lethbridge/Lethbridge"," 39","Lethbridge",3,104,1,7,33,47,1,196,408
48026,"Lethbridge/Lethbridge"," 40","Lethbridge",4,109,0,0,46,30,1,190,411
48026,"Lethbridge/Lethbridge"," 41","Lethbridge",1,58,0,3,39,31,0,132,402
48026,"Lethbridge/Lethbridge"," 42","Lethbridge",2,112,1,4,44,32,4,199,385
48026,"Lethbridge/Lethbridge"," 43","Lethbridge",4,106,1,8,43,45,1,208,430
48026,"Lethbridge/Lethbridge"," 44","Lethbridge",0,75,2,2,36,50,0,165,364
48026,"Lethbridge/Lethbridge"," 45","Lethbridge",2,87,2,8,56,42,3,200,406
48026,"Lethbridge/Lethbridge"," 46","Lethbridge",3,108,1,9,39,45,4,209,437
48026,"Lethbridge/Lethbridge"," 47","Lethbridge",5,98,2,4,34,39,0,182,389
48026,"Lethbridge/Lethbridge"," 48","Lethbridge",6,82,0,5,29,37,1,160,376
48026,"Lethbridge/Lethbridge"," 49","Lethbridge",5,108,0,4,17,45,0,179,367
48026,"Lethbridge/Lethbridge"," 50","Lethbridge",3,97,1,12,29,37,1,180,355
48026,"Lethbridge/Lethbridge"," 51","Lethbridge",5,105,0,1,25,34,0,170,348
48026,"Lethbridge/Lethbridge"," 52","Lethbridge",4,123,1,3,27,39,0,197,433
48026,"Lethbridge/Lethbridge"," 53","Lethbridge",0,111,0,6,34,55,0,206,415
48026,"Lethbridge/Lethbridge"," 54","Lethbridge",3,123,3,5,37,45,0,216,431
48026,"Lethbridge/Lethbridge"," 55","Lethbridge",2,92,0,4,42,38,1,179,363
48026,"Lethbridge/Lethbridge"," 56","Lethbridge",0,88,1,6,32,29,0,156,364
48026,"Lethbridge/Lethbridge"," 57","Lethbridge",1,52,1,4,50,53,1,162,376
48026,"Lethbridge/Lethbridge"," 58","Lethbridge",1,94,3,5,49,58,3,213,434
48026,"Lethbridge/Lethbridge"," 59","Lethbridge",1,106,0,6,42,36,1,192,386
48026,"Lethbridge/Lethbridge"," 60","Lethbridge",6,86,1,7,43,36,0,179,393
48026,"Lethbridge/Lethbridge"," 61","Lethbridge",2,103,1,6,48,36,0,196,404
48026,"Lethbridge/Lethbridge"," 62","Lethbridge",4,84,1,8,50,43,3,193,382
48026,"Lethbridge/Lethbridge"," 63","Lethbridge",1,82,1,3,50,35,0,172,374
48026,"Lethbridge/Lethbridge"," 64","Lethbridge",2,81,1,3,66,53,0,206,428
48026,"Lethbridge/Lethbridge"," 65","Lethbridge",5,69,1,10,70,29,0,184,419
48026,"Lethbridge/Lethbridge"," 66","Lethbridge",0,84,0,3,44,39,0,170,363
48026,"Lethbridge/Lethbridge"," 67","Lethbridge",0,114,2,2,36,55,0,209,352
48026,"Lethbridge/Lethbridge"," 68A","Lethbridge",1,129,2,1,37,42,0,212,370
48026,"Lethbridge/Lethbridge"," 68B","Lethbridge",1,114,1,0,25,50,0,191,333
48026,"Lethbridge/Lethbridge"," 69","Lethbridge",6,89,1,6,70,68,0,240,507
48026,"Lethbridge/Lethbridge"," 70","Lethbridge",2,97,2,4,52,49,2,208,442
48026,"Lethbridge/Lethbridge"," 71","Lethbridge",0,124,0,5,51,34,0,214,387
48026,"Lethbridge/Lethbridge"," 72","Lethbridge",1,112,0,0,33,33,1,180,322
48026,"Lethbridge/Lethbridge"," 73","Lethbridge",0,156,1,4,55,56,0,272,473
48026,"Lethbridge/Lethbridge"," 74","Lethbridge",2,121,1,13,51,58,0,246,474
48026,"Lethbridge/Lethbridge"," 75","Lethbridge",0,91,1,5,52,42,2,193,443
48026,"Lethbridge/Lethbridge"," 76","Lethbridge",1,123,0,8,59,58,1,250,502
48026,"Lethbridge/Lethbridge"," 77","Lethbridge",3,125,1,5,39,47,2,222,401
48026,"Lethbridge/Lethbridge"," 78","Lethbridge",1,124,0,3,41,34,0,203,343
48026,"Lethbridge/Lethbridge"," 79","Lethbridge",2,150,0,7,61,60,0,280,458
48026,"Lethbridge/Lethbridge"," 80","Lethbridge",1,160,0,7,45,54,0,267,430
48026,"Lethbridge/Lethbridge"," 81","Lethbridge",0,125,1,1,61,43,0,231,417
48026,"Lethbridge/Lethbridge"," 82","Lethbridge",0,124,1,3,53,57,0,238,420
48026,"Lethbridge/Lethbridge"," 83","Lethbridge",0,136,0,2,36,37,0,211,415
48026,"Lethbridge/Lethbridge"," 84","Lethbridge",1,65,2,5,39,38,0,150,375
48026,"Lethbridge/Lethbridge"," 85","Lethbridge",4,57,0,5,42,43,0,151,407
48026,"Lethbridge/Lethbridge"," 86","Lethbridge",0,62,0,8,53,42,0,165,385
48026,"Lethbridge/Lethbridge"," 87","Lethbridge",3,74,3,6,108,63,3,260,465
48026,"Lethbridge/Lethbridge"," 88","Lethbridge",2,73,2,5,103,38,0,223,429
48026,"Lethbridge/Lethbridge"," 89","Lethbridge",2,59,0,5,81,38,1,186,407
48026,"Lethbridge/Lethbridge"," 90","Lethbridge",1,78,0,9,82,38,1,209,467
48026,"Lethbridge/Lethbridge"," 91","Lethbridge",1,44,0,6,63,31,2,147,346
48026,"Lethbridge/Lethbridge"," 92","Lethbridge",0,65,0,4,61,43,0,173,397
48026,"Lethbridge/Lethbridge"," 93","Lethbridge",0,85,0,12,67,47,0,211,407
48026,"Lethbridge/Lethbridge"," 94","Lethbridge",1,77,1,8,51,39,0,177,377
48026,"Lethbridge/Lethbridge"," 95","Lethbridge",0,106,2,5,56,32,0,201,380
48026,"Lethbridge/Lethbridge"," 96","Lethbridge",2,47,4,3,42,54,0,152,356
48026,"Lethbridge/Lethbridge"," 97","Lethbridge",4,88,1,5,62,46,1,207,412
48026,"Lethbridge/Lethbridge"," 98","Lethbridge",0,75,1,7,44,52,0,179,396
48026,"Lethbridge/Lethbridge"," 99","Lethbridge",4,100,2,10,52,47,2,217,434
48026,"Lethbridge/Lethbridge"," 100","Lethbridge",1,69,0,4,45,37,0,156,422
48026,"Lethbridge/Lethbridge"," 101","Lethbridge",2,127,0,9,45,48,0,231,445
48026,"Lethbridge/Lethbridge"," 102","Lethbridge",3,133,2,8,56,54,0,256,473
48026,"Lethbridge/Lethbridge"," 103","Lethbridge",1,109,1,11,85,46,0,253,449
48026,"Lethbridge/Lethbridge"," 104","Lethbridge",2,105,3,6,53,45,0,214,405
48026,"Lethbridge/Lethbridge"," 105","Lethbridge",1,95,0,3,42,65,0,206,390
48026,"Lethbridge/Lethbridge"," 106","Lethbridge",0,107,1,12,42,42,0,204,369
48026,"Lethbridge/Lethbridge"," 107","Lethbridge",2,117,0,8,58,39,1,225,376
48026,"Lethbridge/Lethbridge"," 108","Lethbridge",3,129,1,7,37,41,0,218,372
48026,"Lethbridge/Lethbridge"," 109","Lethbridge",3,83,1,7,62,40,0,196,393
48026,"Lethbridge/Lethbridge"," 110","Lethbridge",3,111,0,9,42,45,0,210,407
48026,"Lethbridge/Lethbridge"," 111","Lethbridge",3,122,0,9,45,43,0,222,426
48026,"Lethbridge/Lethbridge"," 112","Lethbridge",0,109,2,5,63,45,0,224,392
48026,"Lethbridge/Lethbridge"," 113","Lethbridge",3,112,0,5,35,32,1,188,359
48026,"Lethbridge/Lethbridge"," 114","Lethbridge",1,114,1,8,49,34,1,208,375
48026,"Lethbridge/Lethbridge"," 115","Lethbridge",2,108,1,6,55,48,0,220,396
48026,"Lethbridge/Lethbridge"," 116","Lethbridge",3,76,0,15,76,47,0,217,449
48026,"Lethbridge/Lethbridge"," 117","Lethbridge",1,104,1,16,87,47,2,258,432
48026,"Lethbridge/Lethbridge"," 118","Lethbridge",1,53,2,7,67,45,0,175,405
48026,"Lethbridge/Lethbridge"," 119","Lethbridge",0,173,5,12,76,129,0,395,492
48026,"Lethbridge/Lethbridge"," 120","Lethbridge",3,103,2,5,71,48,2,234,499
48026,"Lethbridge/Lethbridge"," 121","Lethbridge",0,105,2,13,99,58,1,278,479
48026,"Lethbridge/Lethbridge"," 122A","Lethbridge",0,61,1,3,37,39,1,142,264
48026,"Lethbridge/Lethbridge"," 122B","Lethbridge",3,77,2,2,27,31,0,142,244
48026,"Lethbridge/Lethbridge"," 123","Lethbridge",4,127,1,10,63,58,1,264,441
48026,"Lethbridge/Lethbridge"," 124A","Lethbridge",2,70,1,4,29,45,1,152,260
48026,"Lethbridge/Lethbridge"," 124B","Lethbridge",0,63,1,2,51,26,0,143,254
48026,"Lethbridge/Lethbridge"," 125","Lethbridge",0,78,2,7,54,46,1,188,405
48026,"Lethbridge/Lethbridge"," 126","Lethbridge",6,106,1,4,75,63,1,256,496
48026,"Lethbridge/Lethbridge"," 127A","Lethbridge",3,68,0,9,39,23,0,142,241
48026,"Lethbridge/Lethbridge"," 127B","Lethbridge",1,69,0,8,41,21,0,140,276
48026,"Lethbridge/Lethbridge"," 128","Lethbridge",2,100,1,10,62,44,2,221,432
48026,"Lethbridge/Lethbridge"," 129","Lethbridge",3,108,0,6,69,47,0,233,450
48026,"Lethbridge/Lethbridge"," 130","Lethbridge",0,152,2,12,45,47,1,259,441
48026,"Lethbridge/Lethbridge"," 131","Lethbridge",3,125,2,9,75,47,1,262,493
48026,"Lethbridge/Lethbridge"," 132","Lethbridge",3,116,2,5,57,70,0,253,457
48026,"Lethbridge/Lethbridge"," 133","Lethbridge",1,138,1,8,66,56,0,270,425
48026,"Lethbridge/Lethbridge"," 134","Lethbridge",3,152,0,5,76,71,0,307,505
48026,"Lethbridge/Lethbridge"," 135A","Lethbridge",0,147,0,5,22,40,0,214,349
48026,"Lethbridge/Lethbridge"," 135B","Lethbridge",0,116,0,3,40,36,1,196,354
48026,"Lethbridge/Lethbridge"," 136","Lethbridge",0,116,1,3,37,46,0,203,352
48026,"Lethbridge/Lethbridge"," 137","Lethbridge",1,174,0,3,55,58,0,291,463
48026,"Lethbridge/Lethbridge"," 138","Lethbridge",1,147,0,1,43,36,0,228,384
48026,"Lethbridge/Lethbridge"," 139","Lethbridge",1,179,0,3,34,49,0,266,448
48026,"Lethbridge/Lethbridge"," 140A","Lethbridge",0,82,1,4,28,33,0,148,301
48026,"Lethbridge/Lethbridge"," 140B","Lethbridge",0,84,0,0,13,21,0,118,269
48026,"Lethbridge/Lethbridge"," 141A","Lethbridge",0,101,2,10,40,47,1,201,349
48026,"Lethbridge/Lethbridge"," 141B","Lethbridge",0,88,0,8,42,39,0,177,310
48026,"Lethbridge/Lethbridge"," 142","Lethbridge",2,103,0,5,61,44,0,215,405
48026,"Lethbridge/Lethbridge"," 143","Lethbridge",1,119,1,8,28,41,0,198,391
48026,"Lethbridge/Lethbridge"," 144","Lethbridge",2,105,1,2,63,55,1,229,432
48026,"Lethbridge/Lethbridge"," 145","Lethbridge",0,120,1,5,69,38,1,234,417
48026,"Lethbridge/Lethbridge"," 146","Lethbridge",2,70,1,8,57,47,0,185,401
48026,"Lethbridge/Lethbridge"," 147","Lethbridge",2,81,0,6,30,34,1,154,338
48026,"Lethbridge/Lethbridge"," 148","Lethbridge",3,110,1,9,44,53,1,221,423
48026,"Lethbridge/Lethbridge"," 149","Lethbridge",0,174,1,6,67,67,0,315,501
48026,"Lethbridge/Lethbridge"," 150","Lethbridge",1,126,0,4,46,48,1,226,383
