Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Naval Bajaj,Raj Grewal,Harbaljit Singh Kahlon,Kyle Lacroix,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35009,"Brampton East/Brampton-Est"," 1","Brampton",103,165,42,6,3,319,391
35009,"Brampton East/Brampton-Est"," 2","Brampton",62,88,15,3,3,171,439
35009,"Brampton East/Brampton-Est"," 3","Brampton",51,92,17,6,1,167,423
35009,"Brampton East/Brampton-Est"," 4","Brampton",57,100,23,3,1,184,397
35009,"Brampton East/Brampton-Est"," 5","Brampton",62,60,26,0,0,148,395
35009,"Brampton East/Brampton-Est"," 6A","Brampton",39,105,34,1,1,180,410
35009,"Brampton East/Brampton-Est"," 6B","Brampton",52,88,28,2,0,170,396
35009,"Brampton East/Brampton-Est"," 7A","Brampton",48,77,38,0,0,163,405
35009,"Brampton East/Brampton-Est"," 7B","Brampton",51,77,37,0,2,167,418
35009,"Brampton East/Brampton-Est"," 7C","Brampton",49,93,30,1,2,175,381
35009,"Brampton East/Brampton-Est"," 8A","Brampton",22,57,16,1,2,98,263
35009,"Brampton East/Brampton-Est"," 8B","Brampton",30,74,18,0,1,123,271
35009,"Brampton East/Brampton-Est"," 9A","Brampton",42,93,48,0,0,183,334
35009,"Brampton East/Brampton-Est"," 9B","Brampton",58,59,25,0,0,142,276
35009,"Brampton East/Brampton-Est"," 10A","Brampton",29,107,55,0,1,192,367
35009,"Brampton East/Brampton-Est"," 10B","Brampton",38,77,43,1,4,163,334
35009,"Brampton East/Brampton-Est"," 11A","Brampton",43,52,23,1,0,119,293
35009,"Brampton East/Brampton-Est"," 11B","Brampton",31,39,12,1,0,83,253
35009,"Brampton East/Brampton-Est"," 12A","Brampton",11,37,23,0,0,71,240
35009,"Brampton East/Brampton-Est"," 12B","Brampton",27,32,32,0,0,91,263
35009,"Brampton East/Brampton-Est"," 13","Brampton",35,106,35,2,2,180,473
35009,"Brampton East/Brampton-Est"," 14","Brampton",46,80,55,1,4,186,491
35009,"Brampton East/Brampton-Est"," 15A","Brampton",19,41,52,2,1,115,291
35009,"Brampton East/Brampton-Est"," 15B","Brampton",22,56,13,1,1,93,249
35009,"Brampton East/Brampton-Est"," 16","Brampton",29,49,37,1,0,116,298
35009,"Brampton East/Brampton-Est"," 17A","Brampton",19,68,19,1,0,107,272
35009,"Brampton East/Brampton-Est"," 17B","Brampton",24,50,24,2,2,102,272
35009,"Brampton East/Brampton-Est"," 18","Brampton",44,106,25,3,3,181,399
35009,"Brampton East/Brampton-Est"," 19","Brampton",71,107,42,0,1,221,504
35009,"Brampton East/Brampton-Est"," 20A","Brampton",45,72,26,1,0,144,296
35009,"Brampton East/Brampton-Est"," 20B","Brampton",59,42,22,2,0,125,270
35009,"Brampton East/Brampton-Est"," 21","Brampton",74,120,51,5,1,251,547
35009,"Brampton East/Brampton-Est"," 22","Brampton",39,126,34,0,2,201,528
35009,"Brampton East/Brampton-Est"," 23","Brampton",33,95,43,2,0,173,482
35009,"Brampton East/Brampton-Est"," 24","Brampton",44,115,33,3,1,196,445
35009,"Brampton East/Brampton-Est"," 25","Brampton",33,95,50,1,1,180,444
35009,"Brampton East/Brampton-Est"," 26A","Brampton",29,57,17,0,0,103,254
35009,"Brampton East/Brampton-Est"," 26B","Brampton",29,57,17,0,0,103,251
35009,"Brampton East/Brampton-Est"," 27A","Brampton",37,67,41,0,2,147,333
35009,"Brampton East/Brampton-Est"," 27B","Brampton",27,77,28,0,2,134,322
35009,"Brampton East/Brampton-Est"," 28A","Brampton",34,93,32,5,1,165,403
35009,"Brampton East/Brampton-Est"," 28B","Brampton",50,113,31,0,1,195,417
35009,"Brampton East/Brampton-Est"," 29","Brampton",33,77,56,6,0,172,482
35009,"Brampton East/Brampton-Est"," 30","Brampton",55,40,20,2,4,121,417
35009,"Brampton East/Brampton-Est"," 31","Brampton",47,117,37,0,2,203,527
35009,"Brampton East/Brampton-Est"," 32","Brampton",34,131,53,7,2,227,485
35009,"Brampton East/Brampton-Est"," 33","Brampton",42,153,62,3,3,263,575
35009,"Brampton East/Brampton-Est"," 34","Brampton",60,148,53,4,1,266,494
35009,"Brampton East/Brampton-Est"," 35","Brampton",53,95,64,0,0,212,431
35009,"Brampton East/Brampton-Est"," 36A","Brampton",16,56,23,1,0,96,255
35009,"Brampton East/Brampton-Est"," 36B","Brampton",23,57,20,0,0,100,271
35009,"Brampton East/Brampton-Est"," 37","Brampton",30,103,56,2,0,191,433
35009,"Brampton East/Brampton-Est"," 38","Brampton",42,87,47,4,1,181,418
35009,"Brampton East/Brampton-Est"," 39","Brampton",33,91,43,31,0,198,438
35009,"Brampton East/Brampton-Est"," 40","Brampton",40,120,51,5,0,216,549
35009,"Brampton East/Brampton-Est"," 41A","Brampton",29,54,28,0,0,111,242
35009,"Brampton East/Brampton-Est"," 41B","Brampton",23,66,26,2,0,117,258
35009,"Brampton East/Brampton-Est"," 42","Brampton",86,120,35,2,3,246,594
35009,"Brampton East/Brampton-Est"," 43","Brampton",21,65,54,1,1,142,357
35009,"Brampton East/Brampton-Est"," 44","Brampton",43,94,30,2,2,171,397
35009,"Brampton East/Brampton-Est"," 45A","Brampton",54,65,28,2,0,149,381
35009,"Brampton East/Brampton-Est"," 45B","Brampton",45,61,19,4,0,129,339
35009,"Brampton East/Brampton-Est"," 46","Brampton",44,120,28,2,0,194,501
35009,"Brampton East/Brampton-Est"," 47A","Brampton",45,54,21,1,0,121,257
35009,"Brampton East/Brampton-Est"," 47B","Brampton",21,60,27,1,1,110,240
35009,"Brampton East/Brampton-Est"," 48","Brampton",44,112,44,4,1,205,438
35009,"Brampton East/Brampton-Est"," 49","Brampton",46,137,42,4,1,230,490
35009,"Brampton East/Brampton-Est"," 50","Brampton",74,109,30,7,0,220,499
35009,"Brampton East/Brampton-Est"," 51","Brampton",66,128,15,0,2,211,383
35009,"Brampton East/Brampton-Est"," 52","Brampton",62,106,53,6,2,229,551
35009,"Brampton East/Brampton-Est"," 53","Brampton",55,130,32,3,0,220,454
35009,"Brampton East/Brampton-Est"," 54","Brampton",45,142,46,4,1,238,499
35009,"Brampton East/Brampton-Est"," 55","Brampton",55,112,51,5,0,223,462
35009,"Brampton East/Brampton-Est"," 56","Brampton",51,138,61,1,5,256,511
35009,"Brampton East/Brampton-Est"," 57","Brampton",45,125,53,5,3,231,428
35009,"Brampton East/Brampton-Est"," 58","Brampton",44,114,41,4,0,203,463
35009,"Brampton East/Brampton-Est"," 59","Brampton",44,125,37,4,0,210,489
35009,"Brampton East/Brampton-Est"," 60","Brampton",38,136,28,1,0,203,405
35009,"Brampton East/Brampton-Est"," 61","Brampton",60,117,39,1,3,220,476
35009,"Brampton East/Brampton-Est"," 62","Brampton",37,180,56,0,1,274,484
35009,"Brampton East/Brampton-Est"," 63","Brampton",34,130,52,3,1,220,485
35009,"Brampton East/Brampton-Est"," 64","Brampton",28,99,22,2,1,152,463
35009,"Brampton East/Brampton-Est"," 65","Brampton",43,131,30,2,5,211,493
35009,"Brampton East/Brampton-Est"," 66","Brampton",59,120,35,3,1,218,487
35009,"Brampton East/Brampton-Est"," 67A","Brampton",29,54,17,0,1,101,286
35009,"Brampton East/Brampton-Est"," 67B","Brampton",33,71,36,1,5,146,303
35009,"Brampton East/Brampton-Est"," 68","Brampton",64,111,66,5,3,249,462
35009,"Brampton East/Brampton-Est"," 69","Brampton",47,121,63,0,1,232,436
35009,"Brampton East/Brampton-Est"," 70","Brampton",57,131,40,5,1,234,418
35009,"Brampton East/Brampton-Est"," 71","Brampton",53,150,29,3,2,237,570
35009,"Brampton East/Brampton-Est"," 72","Brampton",35,114,45,0,0,194,406
35009,"Brampton East/Brampton-Est"," 73","Brampton",56,99,36,1,0,192,491
35009,"Brampton East/Brampton-Est"," 74","Brampton",79,126,36,6,2,249,428
35009,"Brampton East/Brampton-Est"," 75","Brampton",69,122,22,3,0,216,387
35009,"Brampton East/Brampton-Est"," 76","Brampton",77,154,46,1,2,280,496
35009,"Brampton East/Brampton-Est"," 77","Brampton",79,145,21,3,0,248,426
35009,"Brampton East/Brampton-Est"," 78","Brampton",73,147,48,0,4,272,463
35009,"Brampton East/Brampton-Est"," 79","Brampton",49,150,26,4,3,232,415
35009,"Brampton East/Brampton-Est"," 80","Brampton",59,152,49,1,1,262,443
35009,"Brampton East/Brampton-Est"," 81","Brampton",45,153,64,4,1,267,480
35009,"Brampton East/Brampton-Est"," 82","Brampton",53,121,43,1,0,218,397
35009,"Brampton East/Brampton-Est"," 83","Brampton",55,97,56,5,1,214,444
35009,"Brampton East/Brampton-Est"," 84","Brampton",43,128,33,5,1,210,462
35009,"Brampton East/Brampton-Est"," 85","Brampton",36,80,40,3,1,160,402
35009,"Brampton East/Brampton-Est"," 86","Brampton",44,125,40,3,1,213,438
35009,"Brampton East/Brampton-Est"," 87","Brampton",51,117,75,2,0,245,505
35009,"Brampton East/Brampton-Est"," 88","Brampton",30,74,18,0,1,123,515
35009,"Brampton East/Brampton-Est"," 89","Brampton",34,141,37,3,0,215,375
35009,"Brampton East/Brampton-Est"," 90","Brampton",43,154,51,4,2,254,489
35009,"Brampton East/Brampton-Est"," 91","Brampton",62,138,29,4,4,237,475
35009,"Brampton East/Brampton-Est"," 92","Brampton",74,147,34,1,7,263,456
35009,"Brampton East/Brampton-Est"," 93","Brampton",46,103,38,2,0,189,317
35009,"Brampton East/Brampton-Est"," 94","Brampton",50,146,40,2,1,239,497
35009,"Brampton East/Brampton-Est"," 95","Brampton",23,107,41,1,6,178,360
35009,"Brampton East/Brampton-Est"," 96","Brampton",55,142,45,5,1,248,463
35009,"Brampton East/Brampton-Est"," 97","Brampton",49,85,50,2,0,186,382
35009,"Brampton East/Brampton-Est"," 98","Brampton",39,92,44,1,0,176,407
35009,"Brampton East/Brampton-Est"," 99","Brampton",30,114,28,0,0,172,338
35009,"Brampton East/Brampton-Est"," 100A","Brampton",31,89,33,0,4,157,321
35009,"Brampton East/Brampton-Est"," 100B","Brampton",38,80,22,3,0,143,299
35009,"Brampton East/Brampton-Est"," 101","Brampton",50,136,33,5,4,228,458
35009,"Brampton East/Brampton-Est"," 102","Brampton",43,151,47,0,3,244,457
35009,"Brampton East/Brampton-Est"," 103","Brampton",35,127,46,2,1,211,492
35009,"Brampton East/Brampton-Est"," 104","Brampton",40,128,36,3,1,208,421
35009,"Brampton East/Brampton-Est"," 105","Brampton",26,194,46,4,1,271,474
35009,"Brampton East/Brampton-Est"," 106","Brampton",40,121,62,1,0,224,413
35009,"Brampton East/Brampton-Est"," 107A","Brampton",12,67,27,0,11,117,284
35009,"Brampton East/Brampton-Est"," 107B","Brampton",15,65,37,1,3,121,285
35009,"Brampton East/Brampton-Est"," 108","Brampton",11,131,52,2,0,196,433
35009,"Brampton East/Brampton-Est"," 109","Brampton",44,128,60,0,0,232,462
35009,"Brampton East/Brampton-Est"," 110","Brampton",20,96,38,4,0,158,345
35009,"Brampton East/Brampton-Est"," 111","Brampton",28,92,49,2,0,171,375
35009,"Brampton East/Brampton-Est"," 112","Brampton",37,134,53,5,0,229,501
35009,"Brampton East/Brampton-Est"," 113","Brampton",54,132,39,1,0,226,473
35009,"Brampton East/Brampton-Est"," 114","Brampton",56,128,56,4,1,245,505
35009,"Brampton East/Brampton-Est"," 115","Brampton",53,140,39,9,2,243,543
35009,"Brampton East/Brampton-Est"," 116","Brampton",75,133,47,3,0,258,550
35009,"Brampton East/Brampton-Est"," 117","Brampton",66,132,38,4,1,241,481
35009,"Brampton East/Brampton-Est"," 118","Brampton",60,118,42,2,1,223,472
35009,"Brampton East/Brampton-Est"," 119","Brampton",33,120,49,4,0,206,450
