Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Randall Garrison,Frances Litman,Shari Lukens,David Merner,Tyson Strandlund,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 1","Willis Point",67,66,60,64,1,1,259,410
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 2","Saanich",51,68,75,51,0,0,245,403
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 3","Prospect Lake",70,68,60,64,0,0,262,437
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 4","Prospect Lake",63,59,47,68,0,1,238,425
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 5","Elk Lake",101,62,52,53,0,0,268,460
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 6","Beaver Lake",63,80,67,54,0,0,264,429
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 7","Prospect Lake",61,79,54,63,1,0,258,446
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 8","Beaver Lake",72,78,64,80,0,0,294,483
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 9","Saanich",77,80,74,94,0,0,325,550
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 10","Saanich",84,55,54,100,0,0,293,468
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 11A","Saanich",50,65,28,59,1,0,203,338
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 11B","Saanich",17,41,87,57,0,0,202,248
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 12","Saanich",53,39,67,71,0,0,230,412
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 13","Saanich",74,60,64,73,0,0,271,443
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 14","Saanich",77,59,58,104,1,0,299,453
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 15","Saanich",45,46,61,66,0,0,218,356
