Political affiliation/Appartenance politique,N.L. Percentage of Valid Votes/Pourcentage des votes valides T.-N.-L.,P.E.I. Percentage of Valid Votes/Pourcentage des votes valides Î.-P.-É.,N.S. Percentage of Valid Votes/Pourcentage des votes valides N.-É.,N.B. Percentage of Valid Votes/Pourcentage des votes valides N.-B.,Que. Percentage of Valid Votes/Pourcentage des votes valides Qc,Ont. Percentage of Valid Votes/Pourcentage des votes valides Ont.,Man. Percentage of Valid Votes/Pourcentage des votes valides Man.,Sask. Percentage of Valid Votes/Pourcentage des votes valides Sask.,Alta. Percentage of Valid Votes/Pourcentage des votes valides Alb.,B.C. Percentage of Valid Votes/Pourcentage des votes valides C.-B.,Y.T. Percentage of Valid Votes/Pourcentage des votes valides Yn,N.W.T. Percentage of Valid Votes/Pourcentage des votes valides T.N.-O.,Nun. Percentage of Valid Votes/Pourcentage des votes valides Nt,Total
"Alliance of the North/Alliance du Nord",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animal Alliance Environment Voters Party of Canada/Animal Alliance Environment Voters Party of Canada",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bloc Québécois/Bloc Québécois",0,0,0,0,19.4,0,0,0,0,0,0,0,0,4.7
"Canada Party/Parti Canada",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Canadian Action Party/Parti action canadienne",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Christian Heritage Party of Canada/Parti de l'Héritage Chrétien du Canada",0,.3,0,0,0,.1,.3,0,.1,.1,0,0,0,.1
"Communist Party of Canada/Parti communiste du Canada",.1,0,0,0,0,0,0,0,0,.1,0,0,0,0
"Conservative Party of Canada/Parti conservateur du Canada",10.3,19.3,17.9,25.4,16.7,35.1,37.4,48.5,59.6,29.9,24.3,18.3,24.8,31.9
"Democratic Advancement Party of Canada/Parti pour l'Avancement de la Démocratie au Canada",0,0,0,0,0,0,0,0,.1,0,0,0,0,0
"Forces et Démocratie/Forces et Démocratie",0,0,0,0,.2,0,0,0,0,0,0,0,0,0
"Green Party of Canada/Le Parti Vert du Canada",1.1,6,3.4,4.7,2.2,2.8,3.2,2.1,2.5,8.2,2.6,2.8,1.5,3.4
"Liberal Party of Canada/Parti libéral du Canada",64.5,58.3,62,51.6,35.7,44.8,44.7,23.9,24.5,35.1,53.7,48.3,47.1,39.5
"Libertarian Party of Canada/Parti Libertarien du Canada",0,0,0,0,.1,.2,.2,.1,.5,.3,0,0,0,.2
"Marijuana Party/Parti Marijuana",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Marxist-Leninist Party of Canada/Parti Marxiste-Léniniste du Canada",0,0,0,0,.1,0,0,0,0,.1,0,0,0,.1
"New Democratic Party/Nouveau Parti démocratique",21.1,16,16.3,18.4,25.4,16.6,13.6,25.1,11.6,26,19.4,30.5,26.6,19.7
"Party for Accountability, Competency and Transparency/Parti pour la Responsabilisation, la Compétence et la Transparence",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pirate Party of Canada/Parti Pirate du Canada",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Progressive Canadian Party/Parti Progressiste Canadien",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rhinoceros Party/Parti Rhinocéros",0,0,0,0,.1,0,0,.1,0,0,0,0,0,0
"Seniors Party of Canada/Parti des aînés du Canada",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"The Bridge Party of Canada/Parti pour nouer des liens entre Canadiens",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"United Party of Canada/Parti Uni du Canada",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Independent/Indépendant",0,0,.3,.1,.1,.2,.6,.2,.9,.1,0,0,0,.2
"No Affiliation/Aucune appartenance",2.9,0,0,0,0,0,0,0,0,0,0,0,0,.1
