Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Élise Gauthier,Denis Lemieux,Dany Morin,Caroline Ste-Marie,Dany St-Gelais,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 50","Saguenay",41,54,47,19,8,2,171,293
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 51","Saguenay",24,38,75,13,5,3,158,412
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 52","Saguenay",39,45,63,19,6,2,174,411
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 53","Saguenay",30,37,63,24,3,3,160,350
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 54","Saguenay",47,59,63,32,4,3,208,399
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 55","Saguenay",50,45,47,17,8,5,172,352
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 56","Saguenay",28,61,29,23,2,1,144,407
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 57","Saguenay",47,68,77,18,10,0,220,354
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 58","Saguenay",29,64,71,41,1,3,209,371
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 59","Saguenay",47,75,57,25,2,2,208,329
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 60","Saguenay",38,65,57,23,8,4,195,332
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 61","Saguenay",40,69,52,18,3,8,190,374
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 62","Saguenay",46,53,61,38,6,8,212,339
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 63","Saguenay",32,67,72,31,3,3,208,366
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 64","Saguenay",54,73,72,34,3,4,240,415
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 65","Saguenay",35,53,53,15,6,0,162,299
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 66","Saguenay",17,73,39,31,2,1,163,285
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 67","Saguenay",71,122,90,41,2,2,328,477
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 68","Saguenay",39,69,56,35,7,6,212,331
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 69","Saguenay",51,81,62,23,9,4,230,369
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 70","Saguenay",52,81,42,31,3,3,212,419
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 71","Saguenay",45,73,55,25,3,3,204,451
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 72","Saguenay",43,86,74,28,0,3,234,447
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 73","Saguenay",46,70,48,29,5,3,201,338
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 74","Saguenay",37,77,32,24,8,1,179,318
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 75","Saguenay",34,54,38,21,3,1,151,255
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 76","Saguenay",45,68,55,24,0,3,195,437
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 77","Saguenay",58,99,67,30,6,1,261,405
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 78","Saguenay",43,78,71,29,4,2,227,378
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 79","Saguenay",34,63,39,26,3,2,167,333
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 80","Saguenay",19,46,71,22,3,6,167,309
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 81","Saguenay",33,98,34,31,4,5,205,373
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 82","Saguenay",79,145,91,69,4,3,391,711
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 83","Saguenay",31,60,26,15,1,0,133,309
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 84","Saguenay",13,57,55,27,1,2,155,251
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 85","Saguenay",57,89,49,47,1,1,244,390
