Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Gisèle Dallaire,Sabin Gaudreault,Denis Lebel,Laurence Requilé,Sabin Simard,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 1A","Sainte-Élisabeth-de-Proulx",15,19,15,0,14,1,64,136
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 1B","Saint-Ludger-de-Milot",Merged with No./Fusionné avec le n°23,,,,,,,13
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 2","Saint-Thomas-Didyme",37,41,62,0,41,1,182,316
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 3","Saint-Thomas-Didyme",32,24,65,3,23,2,149,266
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 4","Saint-Stanislas",47,37,51,4,38,2,179,303
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 5A","Girardville",Merged with No./Fusionné avec le n°158,,,,,,,233
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 5B","Notre-Dame-de-Lorette",23,21,20,1,25,0,90,164
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 6","Saint-Eugène-d'Argentenay",66,42,67,1,38,2,216,408
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 7","Dolbeau-Mistassini",36,42,58,4,36,4,180,424
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 8","Dolbeau-Mistassini",29,33,39,4,36,2,143,418
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 9","Dolbeau-Mistassini",47,24,47,4,38,2,162,405
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 10","Dolbeau-Mistassini",51,32,72,2,33,1,191,426
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 11","Dolbeau-Mistassini",42,29,57,0,23,1,152,396
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 12","Dolbeau-Mistassini",38,30,46,0,30,1,145,388
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 13","Dolbeau-Mistassini",40,17,72,0,26,7,162,395
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 14","Dolbeau-Mistassini",32,23,54,0,31,6,146,338
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 15","Dolbeau-Mistassini",26,25,52,0,34,3,140,387
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 16","Dolbeau-Mistassini",24,31,40,0,31,1,127,341
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 17","Dolbeau-Mistassini",39,21,68,0,43,3,174,382
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 18","Sainte-Jeanne-d'Arc",51,38,43,2,35,2,171,305
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 19","Sainte-Jeanne-d'Arc",37,21,67,1,30,1,157,315
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 20","Sainte-Jeanne-d'Arc",18,25,63,0,31,3,140,289
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 21A","Saint-Augustin",Merged with No./Fusionné avec le n°24,,,,,,,15
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 21B","Saint-Augustin",35,18,53,2,23,3,134,276
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 22","Saint-Ludger-de-Milot",47,38,57,2,33,1,178,309
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 23","Saint-Ludger-de-Milot",36,41,37,1,32,3,150,267
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 24","Saint-Augustin",38,24,23,2,25,2,114,203
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 25","Péribonka",20,39,40,2,20,4,125,198
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 26","Sainte-Monique",52,50,42,2,36,1,183,369
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 27","Sainte-Monique",57,37,58,2,33,1,188,318
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 28","L'Ascension-de-Notre-Seigneur",53,40,37,3,41,2,176,404
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 29","L'Ascension",55,59,49,1,41,2,207,405
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 30A","L'Ascension",67,34,28,1,32,4,166,364
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 30B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500,,,,,,,27
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 31","L'Ascension",59,41,43,4,26,3,176,377
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 32","Alma",59,64,42,3,32,0,200,348
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 33","Alma",75,45,52,3,34,2,211,357
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 34","Alma",87,44,57,1,40,5,234,391
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 35A","Alma",56,45,50,2,66,2,221,381
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 35B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500,,,,,,,11
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 36","Alma",56,37,41,3,44,6,187,364
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 37","Alma",72,44,53,2,30,6,207,347
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 38","Alma",95,48,36,3,36,5,223,416
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 39","Alma",66,45,32,2,42,2,189,390
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 40","Alma",58,76,62,2,35,8,241,410
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 41","Alma",105,51,51,4,48,2,261,467
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 42","Alma",71,42,39,3,42,12,209,405
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 43","Alma",63,49,22,1,40,2,177,378
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 44A","Alma",47,24,25,2,23,4,125,286
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 44B","Alma",Merged with No./Fusionné avec le n°400,,,,,,,90
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 45","Alma",103,44,75,1,51,6,280,513
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 46","Alma",43,40,31,1,30,3,148,375
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 47","Alma",40,43,22,3,25,2,135,377
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 48","Alma",75,42,48,41,5,4,215,381
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 49","Alma",65,39,63,3,36,2,208,348
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 50","Alma",72,55,71,1,39,2,240,446
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 51","Alma",107,59,44,3,44,4,261,440
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 52","Alma",102,49,70,4,48,0,273,425
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 53","Saint-Henri-de-Taillon",55,45,40,8,38,5,191,328
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 54","Saint-Henri-de-Taillon",61,25,44,2,40,1,173,279
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 55","Saint-Gédéon",79,51,65,2,46,5,248,377
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 56","Saint-Gédéon",65,41,53,7,34,3,203,335
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 57","Saint-Gédéon",83,55,66,2,45,5,256,365
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 58","Saint-Gédéon",75,60,51,2,31,0,219,349
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 59","Saint-Gédéon",60,31,31,4,25,1,152,255
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 60","Alma",113,59,51,2,49,3,277,514
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 61","Alma",115,76,41,6,45,3,286,530
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 62","Alma",118,68,65,3,48,6,308,503
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 63","Alma",111,47,64,3,53,7,285,483
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 64A","Alma",93,42,32,3,37,2,209,418
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 64B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°511,,,,,,,16
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 65","Alma",47,36,18,1,41,10,153,414
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 66","Alma",77,47,23,5,40,7,199,434
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 67","Alma",27,39,30,2,24,2,124,268
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 68","Alma",66,35,24,0,33,1,159,358
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 69","Alma",46,36,33,7,30,4,156,344
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 70","Alma",80,49,42,7,40,1,219,362
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 71A","Alma",57,38,32,3,34,5,169,331
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 71B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°512,,,,,,,28
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 72","Alma",37,61,28,2,33,2,163,442
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 73","Alma",64,32,32,2,32,2,164,363
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 74","Alma",90,53,32,3,38,3,219,442
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 75","Alma",66,42,27,1,38,2,176,411
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 76","Alma",70,33,25,6,16,2,152,378
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 77","Alma",77,62,41,0,36,2,218,448
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 78","Alma",51,43,30,3,32,4,163,368
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 79","Alma",99,33,47,1,34,0,214,355
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 80A","Alma",43,22,30,1,16,3,115,260
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 80B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501,,,,,,,140
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 81","Alma",53,37,41,2,47,4,184,423
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 82","Alma",70,37,30,4,39,2,182,372
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 83","Alma",82,58,78,5,56,7,286,466
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 84","Alma",98,58,57,2,42,4,261,462
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 85","Alma",101,49,66,3,66,6,291,502
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 86","Alma",77,38,63,1,38,8,225,433
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 87","Alma",59,33,56,1,47,5,201,362
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 88","Alma",87,51,56,4,46,2,246,409
