Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Carolynn Ioannoni,Rob Nicholson,Ron Planche,Steven Soos,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35067,"Niagara Falls/Niagara Falls"," 1","Niagara-on-the-Lake",24,70,64,4,0,162,361
35067,"Niagara Falls/Niagara Falls"," 2","Niagara-on-the-Lake",34,89,84,1,0,208,398
35067,"Niagara Falls/Niagara Falls"," 3","Niagara-on-the-Lake",49,102,124,5,2,282,556
35067,"Niagara Falls/Niagara Falls"," 4","Niagara-on-the-Lake",26,104,109,9,0,248,529
35067,"Niagara Falls/Niagara Falls"," 5","Niagara-on-the-Lake",24,88,100,4,2,218,464
35067,"Niagara Falls/Niagara Falls"," 6","Niagara-on-the-Lake",28,92,95,5,0,220,446
35067,"Niagara Falls/Niagara Falls"," 7","Niagara-on-the-Lake",28,110,96,3,1,238,476
35067,"Niagara Falls/Niagara Falls"," 8","Niagara-on-the-Lake",17,121,137,5,1,281,593
35067,"Niagara Falls/Niagara Falls"," 9","Niagara-on-the-Lake",20,113,62,7,0,202,391
35067,"Niagara Falls/Niagara Falls"," 10","Niagara-on-the-Lake",22,94,66,3,0,185,359
35067,"Niagara Falls/Niagara Falls"," 11","Niagara-on-the-Lake",16,110,66,5,1,198,355
35067,"Niagara Falls/Niagara Falls"," 12","Niagara-on-the-Lake",27,81,81,6,0,195,356
35067,"Niagara Falls/Niagara Falls"," 13","Niagara-on-the-Lake",25,105,74,5,0,209,399
35067,"Niagara Falls/Niagara Falls"," 14","Niagara-on-the-Lake",17,108,107,7,0,239,504
35067,"Niagara Falls/Niagara Falls"," 15A","Niagara-on-the-Lake",21,120,72,5,1,219,383
35067,"Niagara Falls/Niagara Falls"," 15B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501,,,,,,65
35067,"Niagara Falls/Niagara Falls"," 15C","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501,,,,,,22
35067,"Niagara Falls/Niagara Falls"," 15D","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501,,,,,,56
35067,"Niagara Falls/Niagara Falls"," 16","Niagara-on-the-Lake",39,137,87,9,1,273,469
35067,"Niagara Falls/Niagara Falls"," 17","Niagara-on-the-Lake",22,105,95,11,1,234,467
35067,"Niagara Falls/Niagara Falls"," 18","Niagara-on-the-Lake",25,134,72,3,1,235,488
35067,"Niagara Falls/Niagara Falls"," 19","Niagara-on-the-Lake",38,174,102,9,2,325,554
35067,"Niagara Falls/Niagara Falls"," 20","Niagara-on-the-Lake",24,130,54,3,1,212,388
35067,"Niagara Falls/Niagara Falls"," 21","Niagara-on-the-Lake",30,111,67,11,4,223,417
35067,"Niagara Falls/Niagara Falls"," 22","Niagara-on-the-Lake",35,106,79,10,1,231,419
35067,"Niagara Falls/Niagara Falls"," 23","Niagara-on-the-Lake",33,125,106,4,1,269,426
35067,"Niagara Falls/Niagara Falls"," 24","Niagara-on-the-Lake",22,151,97,4,1,275,571
35067,"Niagara Falls/Niagara Falls"," 25","Niagara-on-the-Lake",32,151,86,5,3,277,415
35067,"Niagara Falls/Niagara Falls"," 26","Niagara-on-the-Lake",27,199,138,3,1,368,654
35067,"Niagara Falls/Niagara Falls"," 27A","Niagara-on-the-Lake",21,104,86,4,0,215,367
35067,"Niagara Falls/Niagara Falls"," 27B","Niagara-on-the-Lake",15,99,57,7,1,179,336
35067,"Niagara Falls/Niagara Falls"," 28","Niagara-on-the-Lake",25,94,53,3,0,175,350
35067,"Niagara Falls/Niagara Falls"," 29A","Niagara-on-the-Lake",25,99,105,13,1,243,401
35067,"Niagara Falls/Niagara Falls"," 29B","Niagara-on-the-Lake",39,74,82,3,3,201,350
35067,"Niagara Falls/Niagara Falls"," 30","Niagara Falls",40,89,76,7,0,212,400
35067,"Niagara Falls/Niagara Falls"," 31","Niagara Falls",46,87,101,2,0,236,444
35067,"Niagara Falls/Niagara Falls"," 32","Niagara Falls",42,96,60,2,0,200,450
35067,"Niagara Falls/Niagara Falls"," 33","Niagara Falls",43,85,73,3,0,204,432
35067,"Niagara Falls/Niagara Falls"," 34","Niagara Falls",26,58,48,7,2,141,288
35067,"Niagara Falls/Niagara Falls"," 35","Niagara Falls",13,103,60,1,0,177,380
35067,"Niagara Falls/Niagara Falls"," 36","Niagara Falls",24,164,67,1,3,259,466
35067,"Niagara Falls/Niagara Falls"," 37","Niagara Falls",30,68,63,0,0,161,344
35067,"Niagara Falls/Niagara Falls"," 38","Niagara Falls",18,180,89,3,1,291,506
35067,"Niagara Falls/Niagara Falls"," 39","Niagara Falls",27,104,65,2,0,198,370
35067,"Niagara Falls/Niagara Falls"," 40","Niagara Falls",44,148,79,0,4,275,518
