Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Réjean Bellemare,Johnathan Cloutier,Adriana Dudas,Yoland Gilbert,Jonathan Lefebvre,Monique Pauzé,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24060,"Repentigny/Repentigny"," 1A","L'Assomption",38,4,38,1,15,64,4,164,297
24060,"Repentigny/Repentigny"," 1B","L'Assomption",31,3,43,2,22,69,2,172,315
24060,"Repentigny/Repentigny"," 2","L'Assomption",49,3,53,5,32,116,6,264,461
24060,"Repentigny/Repentigny"," 3","L'Assomption",30,6,77,6,34,95,6,254,508
24060,"Repentigny/Repentigny"," 4","L'Assomption",66,13,85,3,26,99,5,297,479
24060,"Repentigny/Repentigny"," 5","L'Assomption",61,11,55,9,17,92,4,249,445
24060,"Repentigny/Repentigny"," 6","L'Assomption",52,2,47,5,31,91,7,235,445
24060,"Repentigny/Repentigny"," 7","L'Assomption",47,5,49,4,27,95,8,235,425
24060,"Repentigny/Repentigny"," 8","L'Assomption",90,4,74,5,30,113,6,322,498
24060,"Repentigny/Repentigny"," 9","L'Assomption",68,14,77,9,21,119,5,313,507
24060,"Repentigny/Repentigny"," 10","L'Assomption",49,2,61,9,19,102,7,249,446
24060,"Repentigny/Repentigny"," 11","L'Assomption",62,6,62,5,28,95,12,270,454
24060,"Repentigny/Repentigny"," 12","L'Assomption",46,6,49,5,20,93,6,225,430
24060,"Repentigny/Repentigny"," 13","L'Assomption",58,5,52,3,16,109,4,247,406
24060,"Repentigny/Repentigny"," 14","L'Assomption",56,3,46,7,34,99,4,249,460
24060,"Repentigny/Repentigny"," 15","L'Assomption",47,3,54,11,23,71,6,215,386
24060,"Repentigny/Repentigny"," 16","L'Assomption",46,3,61,5,16,84,7,222,390
24060,"Repentigny/Repentigny"," 17","L'Assomption",50,7,60,6,19,80,3,225,385
24060,"Repentigny/Repentigny"," 18","L'Assomption",52,5,56,4,20,62,3,202,378
24060,"Repentigny/Repentigny"," 19","L'Assomption",39,0,48,4,15,75,3,184,344
24060,"Repentigny/Repentigny"," 20","L'Assomption",49,2,53,5,9,65,2,185,316
24060,"Repentigny/Repentigny"," 21","L'Assomption",50,8,67,6,18,72,5,226,447
24060,"Repentigny/Repentigny"," 22","L'Assomption",59,10,49,3,25,99,3,248,435
24060,"Repentigny/Repentigny"," 23","L'Assomption",36,2,68,3,12,60,1,182,354
24060,"Repentigny/Repentigny"," 24","L'Assomption",69,8,68,5,24,73,5,252,408
24060,"Repentigny/Repentigny"," 25","L'Assomption",35,13,32,0,22,76,6,184,323
24060,"Repentigny/Repentigny"," 26","L'Assomption",33,2,49,1,17,97,5,204,426
24060,"Repentigny/Repentigny"," 27","L'Assomption",31,2,50,7,27,72,1,190,374
