Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Joël Charest,Kédina Fleury-Samson,Jean-François Fortin,Rémi Massé,Éric Normand,André Savoie,Sherri Springle,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 1","Les Méchins",12,28,8,26,0,16,0,2,92,304
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 2","Les Méchins",12,20,6,33,1,4,1,1,78,318
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 3","Les Méchins",15,34,15,27,0,6,1,0,98,313
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 4","Grosses-Roches",17,45,19,43,2,10,1,1,138,333
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 5","Sainte-Félicité",30,43,15,94,3,7,3,1,196,443
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 6","Sainte-Félicité",30,47,20,79,0,16,1,1,194,449
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 7","Saint-Jean-de-Cherbourg",9,16,6,28,1,2,0,0,62,145
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 8","Saint-Adelme",25,41,25,73,1,9,1,3,178,398
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 9","Matane",15,45,20,76,3,6,1,2,168,362
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 10","Matane",21,36,21,66,0,6,0,2,152,381
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 11","Matane",22,42,27,82,1,4,1,1,180,410
