Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kevin Brandt,Rob Ferguson,Marc Laferriere,Phil McColeman,Danielle Takacs,The Engineer Turmel,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35013,"Brantford--Brant/Brantford--Brant"," 63","Brantford",3,1,67,97,96,0,1,265,466
35013,"Brantford--Brant/Brantford--Brant"," 64","Brantford",8,3,63,91,80,0,0,245,468
35013,"Brantford--Brant/Brantford--Brant"," 65","Brantford",0,3,39,59,78,1,0,180,374
35013,"Brantford--Brant/Brantford--Brant"," 66","Brantford",4,0,71,45,50,0,0,170,376
35013,"Brantford--Brant/Brantford--Brant"," 67","Brantford",3,0,63,77,68,0,0,211,368
35013,"Brantford--Brant/Brantford--Brant"," 68","Brantford",0,0,38,144,96,1,0,279,441
35013,"Brantford--Brant/Brantford--Brant"," 69","Brantford",4,3,52,97,82,1,0,239,426
35013,"Brantford--Brant/Brantford--Brant"," 70","Brantford",4,0,37,131,75,1,1,249,474
35013,"Brantford--Brant/Brantford--Brant"," 71","Brantford",7,0,34,97,77,0,0,215,417
35013,"Brantford--Brant/Brantford--Brant"," 72","Brantford",5,1,68,105,77,0,0,256,464
35013,"Brantford--Brant/Brantford--Brant"," 73","Brantford",5,4,67,96,68,0,0,240,441
35013,"Brantford--Brant/Brantford--Brant"," 74","Brantford",1,0,12,35,30,0,0,78,164
35013,"Brantford--Brant/Brantford--Brant"," 75","Brantford",4,2,33,87,52,1,0,179,292
35013,"Brantford--Brant/Brantford--Brant"," 76","Brantford",4,1,34,121,73,0,2,235,406
35013,"Brantford--Brant/Brantford--Brant"," 77","Brantford",9,0,67,109,71,4,0,260,420
35013,"Brantford--Brant/Brantford--Brant"," 78","Brantford",3,0,50,113,81,1,0,248,396
35013,"Brantford--Brant/Brantford--Brant"," 79","Brantford",6,1,44,97,74,1,0,223,370
35013,"Brantford--Brant/Brantford--Brant"," 80","Brantford",4,2,49,93,50,0,1,199,352
35013,"Brantford--Brant/Brantford--Brant"," 81","Brantford",6,0,53,89,56,2,1,207,337
35013,"Brantford--Brant/Brantford--Brant"," 82","Brantford",11,3,51,98,64,1,1,229,378
35013,"Brantford--Brant/Brantford--Brant"," 83","Brantford",8,3,45,95,74,2,2,229,512
35013,"Brantford--Brant/Brantford--Brant"," 84","Brantford",3,3,36,85,45,1,1,174,332
35013,"Brantford--Brant/Brantford--Brant"," 85","Brantford",1,1,24,78,47,0,0,151,308
35013,"Brantford--Brant/Brantford--Brant"," 86","Brantford",4,1,60,67,47,0,1,180,354
35013,"Brantford--Brant/Brantford--Brant"," 87","Brantford",3,0,53,80,83,1,0,220,436
35013,"Brantford--Brant/Brantford--Brant"," 88","Brantford",5,1,37,77,68,0,1,189,373
35013,"Brantford--Brant/Brantford--Brant"," 89","Brantford",2,1,35,79,51,1,1,170,342
35013,"Brantford--Brant/Brantford--Brant"," 90","Brantford",0,1,42,87,67,0,1,198,361
35013,"Brantford--Brant/Brantford--Brant"," 91","Brantford",7,3,73,119,98,1,0,301,658
