Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Rachel Bendayan,Amara Diallo,Roger Galland Barou,Rodolphe Husny,Tom Mulcair,Francis Pouliot,Adrien Welsh,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24054,"Outremont/Outremont"," 1","Montréal",46,10,35,4,92,2,2,2,193,492
24054,"Outremont/Outremont"," 2","Montréal",23,17,25,4,85,0,0,2,156,352
24054,"Outremont/Outremont"," 3","Montréal",40,7,41,3,133,0,1,2,227,403
24054,"Outremont/Outremont"," 4","Montréal",51,5,36,8,89,2,0,0,191,418
24054,"Outremont/Outremont"," 5","Montréal",34,7,12,4,60,2,1,1,121,272
24054,"Outremont/Outremont"," 6","Montréal",56,6,25,10,112,1,0,3,213,431
24054,"Outremont/Outremont"," 7","Montréal",39,6,22,4,58,0,0,0,129,359
24054,"Outremont/Outremont"," 8","Montréal",58,11,22,2,96,2,1,1,193,375
24054,"Outremont/Outremont"," 9","Montréal",38,11,17,3,62,1,0,4,136,364
24054,"Outremont/Outremont"," 10","Montréal",41,22,31,4,116,2,2,3,221,419
24054,"Outremont/Outremont"," 11","Montréal",58,16,29,10,116,1,0,0,230,452
24054,"Outremont/Outremont"," 12","Montréal",63,10,36,4,120,1,1,1,236,427
24054,"Outremont/Outremont"," 13","Montréal",64,14,41,15,94,4,0,3,235,369
24054,"Outremont/Outremont"," 14","Montréal",82,18,35,8,119,3,0,5,270,458
24054,"Outremont/Outremont"," 15","Montréal",93,9,14,5,92,6,0,3,222,476
24054,"Outremont/Outremont"," 16","Montréal",39,9,14,4,44,0,0,4,114,347
24054,"Outremont/Outremont"," 17","Montréal",60,8,25,4,89,2,0,3,191,376
24054,"Outremont/Outremont"," 18","Montréal",51,8,39,9,103,2,1,0,213,423
24054,"Outremont/Outremont"," 19","Montréal",70,6,35,11,89,6,0,2,219,471
24054,"Outremont/Outremont"," 20","Montréal",57,7,20,2,109,6,1,3,205,396
24054,"Outremont/Outremont"," 21","Montréal",56,11,37,6,80,1,1,3,195,368
24054,"Outremont/Outremont"," 22","Montréal",64,6,15,5,101,1,1,2,195,414
24054,"Outremont/Outremont"," 23","Montréal",57,13,22,3,83,3,0,2,183,396
24054,"Outremont/Outremont"," 24","Montréal",78,12,28,2,123,2,0,4,249,480
24054,"Outremont/Outremont"," 25","Montréal",58,11,12,10,85,1,3,3,183,427
24054,"Outremont/Outremont"," 26","Montréal",59,7,15,7,63,5,1,1,158,389
24054,"Outremont/Outremont"," 27","Montréal",67,12,16,4,86,1,2,0,188,362
24054,"Outremont/Outremont"," 28","Montréal",97,8,12,3,93,1,0,4,218,465
24054,"Outremont/Outremont"," 29","Montréal",55,11,15,7,69,0,0,1,158,424
24054,"Outremont/Outremont"," 30","Montréal",51,7,4,8,87,2,2,0,161,343
24054,"Outremont/Outremont"," 31","Montréal",88,13,11,7,115,1,1,1,237,436
24054,"Outremont/Outremont"," 32","Montréal",72,13,8,8,94,0,0,3,198,363
24054,"Outremont/Outremont"," 33","Montréal",62,12,12,5,81,2,1,1,176,328
24054,"Outremont/Outremont"," 34","Montréal",72,14,11,7,141,1,0,3,249,504
24054,"Outremont/Outremont"," 35","Montréal",65,18,19,4,124,1,1,3,235,455
24054,"Outremont/Outremont"," 36","Montréal",110,17,24,18,114,0,0,1,284,668
24054,"Outremont/Outremont"," 37","Montréal",67,14,26,7,122,0,0,2,238,455
24054,"Outremont/Outremont"," 38","Montréal",73,6,20,12,102,1,2,2,218,436
24054,"Outremont/Outremont"," 39","Montréal",71,10,17,7,147,1,3,1,257,476
24054,"Outremont/Outremont"," 40","Montréal",60,7,22,7,128,2,2,0,228,384
24054,"Outremont/Outremont"," 41","Montréal",51,10,12,5,115,0,2,2,197,445
24054,"Outremont/Outremont"," 42","Montréal",80,13,9,10,132,0,0,0,244,439
24054,"Outremont/Outremont"," 43","Montréal",82,8,10,3,116,1,1,0,221,480
24054,"Outremont/Outremont"," 44","Montréal",89,7,13,13,106,1,0,0,229,471
24054,"Outremont/Outremont"," 45","Montréal",53,5,8,14,61,0,0,0,141,328
24054,"Outremont/Outremont"," 46","Montréal",54,7,4,13,48,0,0,1,127,308
24054,"Outremont/Outremont"," 47","Montréal",89,11,12,13,106,4,1,0,236,465
24054,"Outremont/Outremont"," 48","Montréal",62,14,12,13,106,0,2,0,209,456
24054,"Outremont/Outremont"," 49","Montréal",60,12,14,4,150,0,2,2,244,454
