Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Thomas Cheney,Louis De Jaeger,Alexander Johnson,Seonaigh MacPherson,Dorothy-Jean O'Donnell,Mark Strahl,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59006,"Chilliwack--Hope/Chilliwack--Hope"," 1","Hope",15,58,3,37,1,83,1,198,386
59006,"Chilliwack--Hope/Chilliwack--Hope"," 2","Hope",13,45,0,38,0,62,1,159,335
59006,"Chilliwack--Hope/Chilliwack--Hope"," 3","Hope",10,51,2,27,1,71,1,163,357
59006,"Chilliwack--Hope/Chilliwack--Hope"," 4","Hope",20,68,1,49,1,60,1,200,464
59006,"Chilliwack--Hope/Chilliwack--Hope"," 5","Aywawwis 15",4,84,1,52,0,116,0,257,482
59006,"Chilliwack--Hope/Chilliwack--Hope"," 6","Kawkawa Lake 16",10,69,1,73,2,96,2,253,487
59006,"Chilliwack--Hope/Chilliwack--Hope"," 7","Hope",12,83,2,50,1,109,1,258,481
59006,"Chilliwack--Hope/Chilliwack--Hope"," 8","Hope",9,56,2,38,2,47,0,154,350
59006,"Chilliwack--Hope/Chilliwack--Hope"," 9","Hope",15,48,1,41,0,47,0,152,382
59006,"Chilliwack--Hope/Chilliwack--Hope"," 10","Ruby Creek",17,23,1,51,0,39,1,132,344
59006,"Chilliwack--Hope/Chilliwack--Hope"," 11","Laidlaw",10,59,2,37,1,65,0,174,375
59006,"Chilliwack--Hope/Chilliwack--Hope"," 12","Hope",8,71,2,65,0,85,0,231,406
59006,"Chilliwack--Hope/Chilliwack--Hope"," 13","Laidlaw",9,75,3,56,0,60,1,204,374
59006,"Chilliwack--Hope/Chilliwack--Hope"," 14","Silver Creek",16,47,1,36,1,42,1,144,332
59006,"Chilliwack--Hope/Chilliwack--Hope"," 15","Popkum 1",10,70,0,52,0,125,2,259,423
59006,"Chilliwack--Hope/Chilliwack--Hope"," 16","Popkum 1",10,85,5,34,0,164,1,299,490
59006,"Chilliwack--Hope/Chilliwack--Hope"," 17","Popkum 1",6,44,5,23,0,113,0,191,295
59006,"Chilliwack--Hope/Chilliwack--Hope"," 18","Chilliwack",6,34,1,22,0,182,0,245,373
59006,"Chilliwack--Hope/Chilliwack--Hope"," 19","Chilliwack",8,56,3,18,0,193,0,278,409
59006,"Chilliwack--Hope/Chilliwack--Hope"," 20","Chilliwack",8,60,1,21,0,118,0,208,337
59006,"Chilliwack--Hope/Chilliwack--Hope"," 21","Chilliwack",8,70,2,41,0,106,0,227,373
59006,"Chilliwack--Hope/Chilliwack--Hope"," 22","Chilliwack",7,81,0,22,0,107,0,217,396
59006,"Chilliwack--Hope/Chilliwack--Hope"," 23","Chilliwack",10,96,0,23,1,129,0,259,464
59006,"Chilliwack--Hope/Chilliwack--Hope"," 24","Chilliwack",9,66,3,19,0,150,0,247,416
59006,"Chilliwack--Hope/Chilliwack--Hope"," 25","Chilliwack",13,80,2,36,1,127,0,259,471
59006,"Chilliwack--Hope/Chilliwack--Hope"," 26","Chilliwack",9,91,2,57,0,105,1,265,479
59006,"Chilliwack--Hope/Chilliwack--Hope"," 27","Chilliwack",12,78,1,48,0,101,0,240,465
59006,"Chilliwack--Hope/Chilliwack--Hope"," 28","Chilliwack",10,101,1,55,0,103,0,270,446
59006,"Chilliwack--Hope/Chilliwack--Hope"," 29","Chilliwack",10,70,0,42,0,81,0,203,356
59006,"Chilliwack--Hope/Chilliwack--Hope"," 30","Chilliwack",12,95,7,70,0,65,0,249,456
59006,"Chilliwack--Hope/Chilliwack--Hope"," 31","Chilliwack",10,71,0,22,0,101,0,204,362
59006,"Chilliwack--Hope/Chilliwack--Hope"," 32","Chilliwack",7,103,0,35,2,148,0,295,524
59006,"Chilliwack--Hope/Chilliwack--Hope"," 33","Chilliwack",7,67,0,17,0,84,0,175,337
59006,"Chilliwack--Hope/Chilliwack--Hope"," 34","Skway 5",12,79,1,58,0,62,1,213,467
59006,"Chilliwack--Hope/Chilliwack--Hope"," 35","Kwawkwawapilt 6",4,43,2,32,1,75,2,159,288
59006,"Chilliwack--Hope/Chilliwack--Hope"," 36","Chilliwack",8,74,1,44,1,69,0,197,388
59006,"Chilliwack--Hope/Chilliwack--Hope"," 37","Chilliwack",14,98,2,61,0,69,1,245,432
59006,"Chilliwack--Hope/Chilliwack--Hope"," 38","Chilliwack",8,90,5,45,0,45,0,193,364
59006,"Chilliwack--Hope/Chilliwack--Hope"," 39","Chilliwack",14,118,1,36,0,68,0,237,419
59006,"Chilliwack--Hope/Chilliwack--Hope"," 40","Chilliwack",17,68,2,43,0,59,0,189,398
59006,"Chilliwack--Hope/Chilliwack--Hope"," 41","Chilliwack",14,67,1,41,0,52,0,175,447
59006,"Chilliwack--Hope/Chilliwack--Hope"," 42","Chilliwack",22,88,1,47,1,69,0,228,442
59006,"Chilliwack--Hope/Chilliwack--Hope"," 43","Chilliwack",9,65,2,36,1,70,0,183,349
59006,"Chilliwack--Hope/Chilliwack--Hope"," 44A","Chilliwack",16,84,3,46,1,58,0,208,405
59006,"Chilliwack--Hope/Chilliwack--Hope"," 44B","Mobile poll/Bureau itinérant",5,32,1,12,0,57,2,109,96
59006,"Chilliwack--Hope/Chilliwack--Hope"," 45","Chilliwack",15,87,1,38,2,70,0,213,420
59006,"Chilliwack--Hope/Chilliwack--Hope"," 46","Chilliwack",11,91,4,29,2,41,2,180,457
59006,"Chilliwack--Hope/Chilliwack--Hope"," 47","Chilliwack",19,77,2,37,0,55,7,197,443
59006,"Chilliwack--Hope/Chilliwack--Hope"," 48","Chilliwack",Merged with No./Fusionné avec le n°53B,,,,,,,,28
