Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Max Boudreau,Diane Lebouthillier,Jim Morrison,Jean-Pierre Pigeon,Nicolas Roussy,Philip Toone,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 1","Cloridorme",3,79,2,15,28,33,1,161,332
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 2","Cloridorme",0,44,0,5,15,27,0,91,272
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 3","Gaspé",4,29,1,12,45,45,2,138,403
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 4","Gaspé",0,28,0,3,39,44,0,114,358
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 5","Gaspé",1,49,5,12,37,45,0,149,449
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 6","Gaspé",1,47,1,4,39,56,0,148,479
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 7","Gaspé",0,48,1,12,38,35,0,134,499
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 8","Gaspé",0,30,0,6,36,40,1,113,505
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 9","Gaspé",1,35,1,3,48,44,0,132,472
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 10","Gaspé",2,15,0,3,16,23,1,60,217
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 11","Gaspé",2,53,0,9,47,77,3,191,450
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 12","Gaspé",2,39,2,4,38,52,0,137,294
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 13","Gaspé",0,24,3,1,43,60,1,132,255
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 14","Gaspé",2,74,3,11,43,82,2,217,502
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 15","Gaspé",2,97,3,12,60,103,6,283,544
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 16","Gaspé",3,51,0,9,15,53,0,131,326
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 17","Cloridorme",0,31,1,4,29,16,0,81,156
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 18","Grande-Vallée",0,37,1,16,31,22,3,110,271
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 19","Grande-Vallée",0,45,1,7,34,32,0,119,288
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 20","Grande-Vallée",0,60,2,12,56,33,5,168,386
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 21","Sainte-Madeleine-de-la-Rivière-Madeleine",1,54,1,11,28,30,0,125,292
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 22","Saint-Maxime-du-Mont-Louis",2,65,0,3,14,5,2,91,347
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 23","Saint-Maxime-du-Mont-Louis",1,38,0,5,37,16,1,98,345
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 24","Saint-Maxime-du-Mont-Louis",1,52,4,2,27,18,1,105,310
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 25","Mont-Saint-Pierre",0,47,1,5,22,9,3,87,162
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 26","Rivière-à-Claude",0,29,1,4,13,12,1,60,114
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 27","Marsoui",2,63,0,3,51,13,0,132,238
