Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Rudy Brunell Solomonovici,Ethan Buchman,Matthew Chisholm,Marco Mendicino,Joe Oliver,Andrew Thomson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 1","North York",0,0,5,110,104,11,0,230,505
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 2","North York",4,0,5,68,82,7,1,167,410
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 3","North York",0,0,3,76,51,24,1,155,424
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 4","North York",0,0,3,69,66,15,0,153,349
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 5","North York",0,2,4,119,102,9,0,236,471
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 6","North York",0,1,1,119,155,10,0,286,492
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 7","North York",1,0,2,124,145,7,1,280,466
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 8","North York",1,0,1,80,114,4,1,201,391
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 9","North York",0,0,3,75,101,8,3,190,434
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 10","North York",0,1,3,88,122,7,0,221,470
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 11","Toronto",1,1,5,117,73,15,4,216,417
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 12","Toronto",0,2,6,96,60,8,1,173,325
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 13","Toronto",0,0,0,108,86,8,0,202,400
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 14","Toronto",0,0,2,87,71,5,2,167,371
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 15","Toronto",1,1,6,139,71,18,0,236,429
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 16","Toronto",0,0,3,148,75,14,1,241,432
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 17","Toronto",0,1,1,117,75,5,0,199,420
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 18","Toronto",0,1,0,146,81,7,0,235,385
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 19","Toronto",0,0,5,115,76,7,1,204,390
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 20","Toronto",0,0,3,104,73,4,0,184,376
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 21","Toronto",1,1,1,149,101,15,0,268,458
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 22","Toronto",0,0,3,134,64,19,1,221,360
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 23","Toronto",2,3,3,159,102,12,1,282,504
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 24","Toronto",0,1,2,134,77,2,0,216,345
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 25","Toronto",0,0,2,120,76,4,0,202,455
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 26","Toronto",0,1,0,133,69,17,0,220,468
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 27","North York",0,0,2,123,64,4,0,193,413
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 28","Toronto",0,2,6,110,35,13,1,167,356
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 29","Toronto",0,1,1,85,83,6,0,176,307
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 30","Toronto",0,1,9,150,79,17,1,257,496
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 31","Toronto",0,1,7,126,66,17,0,217,468
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 32","Toronto",0,0,3,148,82,5,0,238,474
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 33","Toronto",0,0,2,121,83,8,1,215,381
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 34","North York",0,0,4,63,94,8,1,170,371
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 35","North York",0,2,4,88,100,5,0,199,391
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 36","North York",0,0,1,77,102,4,0,184,393
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 37","North York",1,0,0,115,77,20,1,214,442
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 38","North York",0,0,3,38,110,2,0,153,450
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 39","North York",0,0,1,23,96,5,0,125,491
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 40","North York",0,0,3,33,117,3,0,156,451
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 41","North York",0,1,86,94,8,1,0,190,461
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 42","North York",0,0,0,64,122,7,1,194,402
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 43","North York",0,0,0,55,132,5,0,192,442
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 44","North York",0,0,4,67,131,9,5,216,474
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 45","North York",0,2,3,77,92,8,0,182,405
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 46","North York",0,0,2,46,143,6,0,197,453
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 47","North York",0,2,6,77,154,16,0,255,365
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 48","North York",0,1,2,102,100,16,0,221,496
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 49","North York",0,1,2,91,48,14,1,157,369
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 50","North York",0,0,2,94,123,12,1,232,446
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 51","North York",1,2,3,64,73,6,4,153,431
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 52","North York",0,0,0,89,101,17,1,208,388
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 53","North York",0,0,1,84,112,14,8,219,404
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 54","North York",1,1,1,46,139,7,0,195,468
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 55","North York",0,0,0,55,157,8,2,222,431
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 56","North York",0,0,2,57,145,7,1,212,429
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 57","North York",0,2,1,79,143,10,0,235,507
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 58","North York",0,0,1,80,119,7,0,207,433
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 59","North York",0,0,0,50,121,9,0,180,440
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 60","North York",0,1,2,61,112,10,4,190,485
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 61","North York",2,1,3,95,102,5,0,208,509
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 62","North York",0,1,5,85,99,22,1,213,464
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 63","North York",0,0,1,51,128,4,1,185,431
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 64","North York",0,2,71,80,10,0,1,164,418
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 65A","North York",0,7,7,177,103,45,1,340,674
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 65B","North York",0,1,1,70,143,7,2,224,167
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 66","North York",0,0,0,22,104,7,1,134,411
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 67","North York",0,1,4,44,67,7,3,126,319
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 68","North York",0,1,2,33,62,5,0,103,311
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 69","North York",0,0,1,47,115,5,1,169,380
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 70","North York",0,0,0,31,91,5,3,130,347
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 71","Toronto",0,0,3,90,88,2,2,185,410
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 72","Toronto",0,0,2,62,112,2,0,178,395
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 73","Toronto",0,0,2,74,93,2,0,171,372
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 74","Toronto",0,0,0,97,99,5,0,201,392
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 75","Toronto",0,0,3,75,106,5,1,190,382
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 76","North York",1,0,3,25,125,3,1,158,386
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 77","North York",1,1,0,45,146,3,2,198,511
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 78","Toronto",1,0,10,103,84,10,0,208,358
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 79","Toronto",2,0,2,123,58,8,1,194,406
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 80","Toronto",0,0,1,102,90,9,0,202,364
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 81","Toronto",0,2,4,153,69,11,0,239,451
