Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Daniel Beals,Andy Brooke,Mark Gerretsen,Luke McAllister,Nathan Townend,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35044,"Kingston and the Islands/Kingston et les Îles"," 1","Kingston",19,56,114,0,10,0,199,376
35044,"Kingston and the Islands/Kingston et les Îles"," 2","Kingston",19,51,74,1,14,0,159,322
35044,"Kingston and the Islands/Kingston et les Îles"," 3","Howe Island",37,95,185,3,13,2,335,480
35044,"Kingston and the Islands/Kingston et les Îles"," 4","Kingston",35,69,126,1,14,0,245,537
35044,"Kingston and the Islands/Kingston et les Îles"," 5","Kingston",20,55,111,0,7,0,193,500
35044,"Kingston and the Islands/Kingston et les Îles"," 6","Kingston",48,99,140,0,12,0,299,506
35044,"Kingston and the Islands/Kingston et les Îles"," 7","Kingston",17,85,155,1,14,0,272,511
35044,"Kingston and the Islands/Kingston et les Îles"," 8","Kingston",22,63,138,0,10,3,236,380
35044,"Kingston and the Islands/Kingston et les Îles"," 9","Kingston",48,75,145,2,17,0,287,527
35044,"Kingston and the Islands/Kingston et les Îles"," 10","Kingston",36,62,152,0,10,0,260,440
35044,"Kingston and the Islands/Kingston et les Îles"," 11","Kingston",39,80,156,2,14,0,291,512
35044,"Kingston and the Islands/Kingston et les Îles"," 12","Kingston",24,26,66,1,2,0,119,307
35044,"Kingston and the Islands/Kingston et les Îles"," 13","Kingston",28,37,92,2,5,0,164,434
35044,"Kingston and the Islands/Kingston et les Îles"," 14","Kingston",33,31,108,3,4,0,179,423
35044,"Kingston and the Islands/Kingston et les Îles"," 15","Kingston",36,37,118,1,7,0,199,444
35044,"Kingston and the Islands/Kingston et les Îles"," 16","Kingston",48,42,77,0,6,1,174,448
35044,"Kingston and the Islands/Kingston et les Îles"," 16-1","Kingston",45,34,96,2,9,1,187,362
35044,"Kingston and the Islands/Kingston et les Îles"," 17","Kingston",24,27,80,2,2,0,135,368
35044,"Kingston and the Islands/Kingston et les Îles"," 18","Kingston",41,27,82,0,4,0,154,357
35044,"Kingston and the Islands/Kingston et les Îles"," 19","Kingston",37,27,84,2,5,1,156,382
35044,"Kingston and the Islands/Kingston et les Îles"," 20","Kingston",48,18,92,0,11,0,169,477
35044,"Kingston and the Islands/Kingston et les Îles"," 21","Kingston",47,27,94,1,6,1,176,486
35044,"Kingston and the Islands/Kingston et les Îles"," 22","Kingston",32,49,151,1,9,0,242,541
35044,"Kingston and the Islands/Kingston et les Îles"," 23","Kingston",46,26,106,0,8,1,187,472
35044,"Kingston and the Islands/Kingston et les Îles"," 24","Kingston",Void/Supprimé,,,,,,,
35044,"Kingston and the Islands/Kingston et les Îles"," 25","Kingston",39,35,108,3,7,0,192,382
35044,"Kingston and the Islands/Kingston et les Îles"," 26","Kingston",41,27,93,3,4,1,169,462
35044,"Kingston and the Islands/Kingston et les Îles"," 27","Kingston",58,34,111,2,7,0,212,424
35044,"Kingston and the Islands/Kingston et les Îles"," 28","Kingston",21,66,132,1,13,0,233,448
35044,"Kingston and the Islands/Kingston et les Îles"," 29","Kingston",26,55,136,3,6,1,227,419
35044,"Kingston and the Islands/Kingston et les Îles"," 30","Kingston",24,89,125,0,8,0,246,437
35044,"Kingston and the Islands/Kingston et les Îles"," 31","Kingston",32,77,121,2,11,1,244,437
35044,"Kingston and the Islands/Kingston et les Îles"," 32","Kingston",35,53,124,1,8,1,222,425
35044,"Kingston and the Islands/Kingston et les Îles"," 33","Kingston",53,75,221,3,6,1,359,603
35044,"Kingston and the Islands/Kingston et les Îles"," 34","Kingston",38,69,141,0,9,0,257,495
35044,"Kingston and the Islands/Kingston et les Îles"," 35","Kingston",15,59,122,1,12,0,209,432
35044,"Kingston and the Islands/Kingston et les Îles"," 36","Kingston",31,45,125,2,6,0,209,432
35044,"Kingston and the Islands/Kingston et les Îles"," 37","Kingston",35,47,95,0,3,1,181,414
35044,"Kingston and the Islands/Kingston et les Îles"," 38","Kingston",17,40,102,1,9,0,169,333
35044,"Kingston and the Islands/Kingston et les Îles"," 39","Kingston",30,67,95,2,7,0,201,403
35044,"Kingston and the Islands/Kingston et les Îles"," 40","Kingston",43,53,138,1,13,1,249,500
35044,"Kingston and the Islands/Kingston et les Îles"," 41","Kingston",24,50,138,0,7,2,221,402
35044,"Kingston and the Islands/Kingston et les Îles"," 42","Kingston",32,44,125,0,8,0,209,454
35044,"Kingston and the Islands/Kingston et les Îles"," 43","Kingston",45,92,181,1,8,0,327,654
35044,"Kingston and the Islands/Kingston et les Îles"," 44","Kingston",19,53,111,1,5,1,190,408
35044,"Kingston and the Islands/Kingston et les Îles"," 45","Kingston",13,45,102,0,10,0,170,377
35044,"Kingston and the Islands/Kingston et les Îles"," 46","Kingston",34,70,112,1,10,1,228,499
35044,"Kingston and the Islands/Kingston et les Îles"," 47","Kingston",26,26,89,0,4,0,145,315
35044,"Kingston and the Islands/Kingston et les Îles"," 48","Kingston",21,47,140,0,7,1,216,404
35044,"Kingston and the Islands/Kingston et les Îles"," 49","Kingston",26,47,84,0,2,0,159,365
35044,"Kingston and the Islands/Kingston et les Îles"," 50","Kingston",11,35,92,0,5,0,143,278
35044,"Kingston and the Islands/Kingston et les Îles"," 51","Kingston",22,40,86,0,3,0,151,301
35044,"Kingston and the Islands/Kingston et les Îles"," 52","Kingston",37,44,106,2,7,0,196,427
35044,"Kingston and the Islands/Kingston et les Îles"," 53","Kingston",26,75,148,0,12,0,261,477
35044,"Kingston and the Islands/Kingston et les Îles"," 54","Kingston",27,53,149,0,1,1,231,379
35044,"Kingston and the Islands/Kingston et les Îles"," 55","Kingston",19,33,104,0,6,0,162,309
35044,"Kingston and the Islands/Kingston et les Îles"," 56","Kingston",34,43,136,2,12,1,228,463
35044,"Kingston and the Islands/Kingston et les Îles"," 57","Kingston",30,29,96,1,9,1,166,344
35044,"Kingston and the Islands/Kingston et les Îles"," 58","Kingston",36,46,128,0,6,0,216,448
35044,"Kingston and the Islands/Kingston et les Îles"," 59","Kingston",43,74,143,1,6,1,268,557
35044,"Kingston and the Islands/Kingston et les Îles"," 60","Kingston",37,51,107,0,6,0,201,469
35044,"Kingston and the Islands/Kingston et les Îles"," 61","Kingston",36,37,118,2,4,2,199,357
35044,"Kingston and the Islands/Kingston et les Îles"," 62","Kingston",27,36,109,1,8,1,182,341
35044,"Kingston and the Islands/Kingston et les Îles"," 63","Kingston",26,23,70,0,7,0,126,350
35044,"Kingston and the Islands/Kingston et les Îles"," 64","Kingston",27,27,76,0,8,1,139,362
35044,"Kingston and the Islands/Kingston et les Îles"," 65","Kingston",44,28,95,1,8,2,178,361
35044,"Kingston and the Islands/Kingston et les Îles"," 66","Kingston",29,41,106,1,8,1,186,393
35044,"Kingston and the Islands/Kingston et les Îles"," 67","Kingston",23,44,112,0,3,1,183,352
35044,"Kingston and the Islands/Kingston et les Îles"," 68","Kingston",44,50,124,2,5,3,228,380
35044,"Kingston and the Islands/Kingston et les Îles"," 69","Kingston",19,33,35,0,5,1,93,279
35044,"Kingston and the Islands/Kingston et les Îles"," 70","Kingston",69,39,176,3,8,0,295,550
35044,"Kingston and the Islands/Kingston et les Îles"," 71","Kingston",36,27,107,0,6,0,176,392
35044,"Kingston and the Islands/Kingston et les Îles"," 72","Kingston",50,25,117,1,12,0,205,442
35044,"Kingston and the Islands/Kingston et les Îles"," 73","Kingston",69,28,110,1,16,0,224,456
35044,"Kingston and the Islands/Kingston et les Îles"," 74","Kingston",52,31,107,1,11,0,202,422
35044,"Kingston and the Islands/Kingston et les Îles"," 75","Kingston",63,48,118,3,13,0,245,500
35044,"Kingston and the Islands/Kingston et les Îles"," 76","Kingston",44,20,75,1,6,0,146,400
35044,"Kingston and the Islands/Kingston et les Îles"," 77","Kingston",37,31,60,2,7,0,137,322
35044,"Kingston and the Islands/Kingston et les Îles"," 78","Kingston",27,20,88,0,8,2,145,350
35044,"Kingston and the Islands/Kingston et les Îles"," 79","Kingston",22,78,100,1,13,2,216,382
