Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Martin Barker,Alastair Haythornthwaite,Fran Hunt-Jinnouchi,Luke Krayenhoff,Alistair MacGregor,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 168","Langford",27,2,33,40,52,0,154,289
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 169","Langford",50,1,42,49,96,0,238,451
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 170","Langford",34,2,58,64,80,0,238,433
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 171","Langford",23,0,43,63,57,0,186,398
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 172","Langford",43,1,32,66,64,0,206,396
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 173","Langford",31,0,28,69,92,0,220,427
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 174","Langford",40,1,47,88,77,0,253,433
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 175","Langford",25,0,55,59,83,2,224,473
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 176","Langford",41,0,54,79,88,1,263,531
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 177","Langford",50,1,42,78,91,0,262,514
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 178","Langford",38,1,64,66,70,0,239,456
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 179","Langford",49,1,46,75,78,0,249,493
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 180","Langford",59,0,38,72,66,0,235,462
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 181","Langford",24,1,50,75,81,0,231,520
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 182","Langford",25,1,49,67,61,2,205,454
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 183","Langford",30,1,55,87,106,1,280,602
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 184","Langford",30,0,28,61,62,0,181,403
