Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ryan Cleary,Marek Krol,Jackson McLean,Seamus O'Regan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 1","St. John's",94,10,7,92,0,203,512
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 2","St. John's",120,8,4,93,0,225,435
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 3","St. John's",68,4,4,105,4,185,420
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 4","St. John's",83,5,4,103,0,195,341
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 5","St. John's",73,4,3,90,0,170,336
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 6","St. John's",86,5,2,102,0,195,380
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 7","St. John's",95,9,2,98,2,206,406
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 8","St. John's",80,7,4,112,0,203,368
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 9","St. John's",109,6,4,134,2,255,441
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 10","St. John's",85,10,1,98,0,194,399
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 11","St. John's",93,4,2,103,1,203,429
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 12","St. John's",83,10,2,97,0,192,423
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 13","St. John's",80,7,3,64,3,157,357
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 14","St. John's",103,5,3,104,0,215,373
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 15","St. John's",77,11,3,77,0,168,395
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 16","St. John's",67,2,2,91,0,162,377
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 17","St. John's",91,10,0,71,0,172,367
