Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Harvey Edward Anstey,Brent Allan Bouteiller,Michael Chong,Anne Gajerski-Cauley,Don Trant,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 30","Centre Wellington",0,7,75,15,61,1,159,329
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 31","Centre Wellington",0,9,84,13,47,0,153,318
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 32","Centre Wellington",1,10,113,16,71,0,211,419
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 33","Centre Wellington",0,9,85,17,97,1,209,387
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 34","Centre Wellington",0,9,94,23,44,0,170,303
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 35","Centre Wellington",2,10,72,12,63,0,159,269
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 36","Centre Wellington",2,15,95,28,84,1,225,405
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 37","Centre Wellington",0,8,93,29,64,1,195,372
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 38","Centre Wellington",1,5,86,16,41,0,149,296
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 39","Centre Wellington",1,4,67,12,55,3,142,270
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 40","Centre Wellington",2,10,64,15,72,1,164,282
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 41","Centre Wellington",0,3,82,15,49,2,151,267
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 42","Centre Wellington",1,3,86,12,79,0,181,323
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 43","Centre Wellington",0,7,100,20,79,3,209,365
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 44","Centre Wellington",0,6,39,10,67,1,123,241
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 45","Centre Wellington",3,18,153,19,84,0,277,444
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 46","Centre Wellington",0,15,95,21,75,0,206,386
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 47","Centre Wellington",2,8,121,12,87,1,231,398
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 48","Centre Wellington",2,5,99,12,52,0,170,294
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 49","Centre Wellington",0,13,96,21,73,0,203,342
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 50","Centre Wellington",1,11,98,17,69,1,197,324
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 51","Centre Wellington",2,12,162,27,123,0,326,570
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 52","Centre Wellington",1,9,105,19,75,0,209,400
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 53","Centre Wellington",0,19,115,16,65,2,217,428
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 54","Centre Wellington",1,7,61,10,73,1,153,298
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 55","Centre Wellington",0,10,53,25,59,1,148,278
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 56","Centre Wellington",0,17,57,21,68,0,163,296
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 57","Centre Wellington",0,12,89,20,111,1,233,389
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 58","Centre Wellington",2,8,109,8,86,1,214,341
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 59","Centre Wellington",0,16,125,25,168,0,334,511
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 60A","Centre Wellington",1,9,68,10,70,1,159,345
