Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Richard Banigan,Jacob Kearey-Moreland,Liz Riley,Bruce Stanton,Peter Stubbins,Scott Whittaker,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35100,"Simcoe North/Simcoe-Nord"," 30","Ramara",16,2,80,60,4,2,0,164,310
35100,"Simcoe North/Simcoe-Nord"," 31","Ramara",14,2,51,137,7,2,2,215,399
35100,"Simcoe North/Simcoe-Nord"," 32","Ramara",9,2,54,72,3,1,0,141,256
35100,"Simcoe North/Simcoe-Nord"," 33","Ramara",14,1,60,102,1,2,1,181,322
35100,"Simcoe North/Simcoe-Nord"," 34","Ramara",15,2,67,132,3,1,0,220,383
35100,"Simcoe North/Simcoe-Nord"," 35","Ramara",4,1,61,96,1,0,0,163,259
35100,"Simcoe North/Simcoe-Nord"," 36","Ramara",9,0,56,103,4,0,0,172,250
35100,"Simcoe North/Simcoe-Nord"," 37","Oro-Medonte",9,1,47,65,10,0,0,132,313
35100,"Simcoe North/Simcoe-Nord"," 38A","Orillia",Merged with No./Fusionné avec le n°199,,,,,,,,104
35100,"Simcoe North/Simcoe-Nord"," 38B","Oro-Medonte",8,2,62,77,4,4,1,158,326
35100,"Simcoe North/Simcoe-Nord"," 39","Oro-Medonte",Merged with No./Fusionné avec le n°41,,,,,,,,302
35100,"Simcoe North/Simcoe-Nord"," 40","Oro-Medonte",12,0,68,131,12,2,0,225,378
35100,"Simcoe North/Simcoe-Nord"," 41","Oro-Medonte",27,3,126,198,13,0,0,367,306
35100,"Simcoe North/Simcoe-Nord"," 42","Oro-Medonte",16,0,78,85,11,1,0,191,305
35100,"Simcoe North/Simcoe-Nord"," 43","Oro-Medonte",16,1,63,92,8,2,0,182,327
35100,"Simcoe North/Simcoe-Nord"," 44","Severn",9,0,46,60,4,5,0,124,260
35100,"Simcoe North/Simcoe-Nord"," 45","Orillia",27,6,65,63,4,0,0,165,416
