Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Claude Chalhoub,Karine Desjardins,Matthew Dubé,Yves Lessard,Michael Maher,Fodé Kerfalla Yansané,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24011,"Beloeil--Chambly/Beloeil--Chambly"," 1","Beloeil",19,61,66,71,0,4,2,223,444
24011,"Beloeil--Chambly/Beloeil--Chambly"," 2","Beloeil",13,50,72,107,0,8,4,254,372
24011,"Beloeil--Chambly/Beloeil--Chambly"," 3A","Beloeil",23,73,77,40,2,5,9,229,454
24011,"Beloeil--Chambly/Beloeil--Chambly"," 3B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°502,,,,,,,,127
24011,"Beloeil--Chambly/Beloeil--Chambly"," 4","Beloeil",32,101,93,85,3,6,2,322,504
24011,"Beloeil--Chambly/Beloeil--Chambly"," 5","Beloeil",36,55,85,82,0,5,5,268,424
24011,"Beloeil--Chambly/Beloeil--Chambly"," 6","Beloeil",15,79,59,60,0,7,2,222,377
24011,"Beloeil--Chambly/Beloeil--Chambly"," 7","Beloeil",16,72,91,88,0,2,4,273,427
24011,"Beloeil--Chambly/Beloeil--Chambly"," 8","Beloeil",34,77,94,70,2,5,1,283,461
24011,"Beloeil--Chambly/Beloeil--Chambly"," 9","Beloeil",18,67,71,75,0,2,4,237,410
24011,"Beloeil--Chambly/Beloeil--Chambly"," 10","Beloeil",18,47,78,86,2,5,5,241,410
24011,"Beloeil--Chambly/Beloeil--Chambly"," 11","Mont-Saint-Hilaire",21,48,42,35,0,1,1,148,295
24011,"Beloeil--Chambly/Beloeil--Chambly"," 12","Mont-Saint-Hilaire",22,59,46,44,0,1,1,173,316
24011,"Beloeil--Chambly/Beloeil--Chambly"," 13","Mont-Saint-Hilaire",40,72,44,42,0,3,3,204,299
24011,"Beloeil--Chambly/Beloeil--Chambly"," 14","Mont-Saint-Hilaire",17,93,74,88,2,3,2,279,428
24011,"Beloeil--Chambly/Beloeil--Chambly"," 15","Mont-Saint-Hilaire",13,98,72,61,2,5,3,254,490
24011,"Beloeil--Chambly/Beloeil--Chambly"," 16","Mont-Saint-Hilaire",21,94,70,60,1,3,1,250,428
24011,"Beloeil--Chambly/Beloeil--Chambly"," 17","Mont-Saint-Hilaire",24,51,93,68,1,5,3,245,430
24011,"Beloeil--Chambly/Beloeil--Chambly"," 18","Mont-Saint-Hilaire",17,72,71,73,0,9,3,245,454
24011,"Beloeil--Chambly/Beloeil--Chambly"," 19","Mont-Saint-Hilaire",24,80,67,61,0,6,2,240,423
24011,"Beloeil--Chambly/Beloeil--Chambly"," 20","Mont-Saint-Hilaire",28,66,71,82,1,7,5,260,465
24011,"Beloeil--Chambly/Beloeil--Chambly"," 21","Mont-Saint-Hilaire",18,95,68,77,0,9,5,272,472
24011,"Beloeil--Chambly/Beloeil--Chambly"," 22A","Mont-Saint-Hilaire",11,46,54,62,0,3,1,177,283
24011,"Beloeil--Chambly/Beloeil--Chambly"," 22B","Mont-Saint-Hilaire",9,50,61,57,0,5,0,182,320
24011,"Beloeil--Chambly/Beloeil--Chambly"," 23","Mont-Saint-Hilaire",8,36,29,18,2,0,2,95,262
24011,"Beloeil--Chambly/Beloeil--Chambly"," 24","Mont-Saint-Hilaire",16,51,73,57,0,5,1,203,394
24011,"Beloeil--Chambly/Beloeil--Chambly"," 25","Mont-Saint-Hilaire",20,50,86,74,3,5,6,244,429
24011,"Beloeil--Chambly/Beloeil--Chambly"," 26","Mont-Saint-Hilaire",19,75,82,62,1,6,5,250,427
24011,"Beloeil--Chambly/Beloeil--Chambly"," 27","Mont-Saint-Hilaire",18,95,68,77,0,9,5,272,353
24011,"Beloeil--Chambly/Beloeil--Chambly"," 28","Mont-Saint-Hilaire",6,41,43,34,0,2,0,126,301
24011,"Beloeil--Chambly/Beloeil--Chambly"," 29","Mont-Saint-Hilaire",13,48,44,42,1,2,2,152,385
24011,"Beloeil--Chambly/Beloeil--Chambly"," 30","Mont-Saint-Hilaire",17,74,61,82,0,6,0,240,436
24011,"Beloeil--Chambly/Beloeil--Chambly"," 31","Mont-Saint-Hilaire",16,73,70,65,0,8,7,239,390
24011,"Beloeil--Chambly/Beloeil--Chambly"," 32","Mont-Saint-Hilaire",16,73,69,42,1,5,2,208,395
24011,"Beloeil--Chambly/Beloeil--Chambly"," 33","Mont-Saint-Hilaire",16,38,67,56,0,4,4,185,356
24011,"Beloeil--Chambly/Beloeil--Chambly"," 34","Mont-Saint-Hilaire",47,96,84,51,1,8,1,288,456
24011,"Beloeil--Chambly/Beloeil--Chambly"," 35","Mont-Saint-Hilaire",34,67,47,39,0,6,2,195,335
24011,"Beloeil--Chambly/Beloeil--Chambly"," 36","Mont-Saint-Hilaire",19,74,63,35,1,6,0,198,362
24011,"Beloeil--Chambly/Beloeil--Chambly"," 37","Mont-Saint-Hilaire",18,99,105,43,1,5,0,271,417
24011,"Beloeil--Chambly/Beloeil--Chambly"," 38","Mont-Saint-Hilaire",11,79,84,70,0,5,1,250,396
24011,"Beloeil--Chambly/Beloeil--Chambly"," 39","Mont-Saint-Hilaire",11,53,62,70,0,7,2,205,370
24011,"Beloeil--Chambly/Beloeil--Chambly"," 40","Mont-Saint-Hilaire",19,53,51,57,0,2,2,184,350
24011,"Beloeil--Chambly/Beloeil--Chambly"," 41","Mont-Saint-Hilaire",16,57,44,45,1,4,1,168,293
