Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,François Catellier,Erin Selby,Dan Vandal,Glenn Zaretski,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 1","Winnipeg",36,18,215,10,1,280,491
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 2","Winnipeg",31,27,169,5,0,232,425
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 3","Winnipeg",38,24,179,11,1,253,476
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 4","Winnipeg",35,20,135,4,1,195,375
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 5A","Winnipeg",29,7,166,4,2,208,312
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 5B","Winnipeg",18,10,97,2,0,127,150
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 6A","Winnipeg",14,3,84,0,0,101,208
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 6B","Winnipeg",13,22,86,3,2,126,268
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 7","Winnipeg",10,13,50,1,0,74,149
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 8","Winnipeg",24,14,162,11,1,212,427
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 9","Winnipeg",24,16,118,4,0,162,346
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 10","Winnipeg",16,17,107,11,1,152,337
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 11","Winnipeg",21,17,121,4,0,163,330
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 12","Winnipeg",28,18,124,3,0,173,345
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 13","Winnipeg",49,32,118,9,0,208,439
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 14","Winnipeg",25,22,134,6,1,188,321
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 15","Winnipeg",35,29,142,10,2,218,331
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 16","Winnipeg",34,27,155,8,2,226,450
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 17","Winnipeg",53,28,135,13,2,231,456
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 18","Winnipeg",40,27,157,9,2,235,396
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 19","Winnipeg",50,16,186,6,2,260,433
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 20","Winnipeg",27,18,139,5,2,191,335
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 21","Winnipeg",33,24,173,3,0,233,352
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 22","Winnipeg",21,16,101,5,2,145,316
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 23","Winnipeg",33,20,147,7,0,207,329
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 24","Winnipeg",10,13,97,14,1,135,302
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 25","Winnipeg",46,35,154,10,0,245,373
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 26","Winnipeg",15,14,62,3,0,94,170
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 27","Winnipeg",55,32,186,12,0,285,423
