Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Francis Bedard,Doni Berberi,Antoine Bujold,Alupa Clarke,Raymond Côté,Dalila Elhak,Bladimir Laborit,Claude Moreau,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24008,"Beauport--Limoilou/Beauport--Limoilou"," 1","Québec",0,19,39,69,44,1,1,1,2,176,372
24008,"Beauport--Limoilou/Beauport--Limoilou"," 2","Québec",0,29,50,91,32,2,0,0,5,209,438
24008,"Beauport--Limoilou/Beauport--Limoilou"," 3","Québec",1,27,61,92,28,2,0,0,3,214,415
24008,"Beauport--Limoilou/Beauport--Limoilou"," 4","Québec",3,28,35,67,36,6,0,1,6,182,472
24008,"Beauport--Limoilou/Beauport--Limoilou"," 5","Québec",0,21,48,64,26,4,1,1,2,167,368
24008,"Beauport--Limoilou/Beauport--Limoilou"," 6","Québec",0,23,57,77,41,2,1,0,8,209,406
24008,"Beauport--Limoilou/Beauport--Limoilou"," 7","Québec",0,25,56,110,50,4,0,1,3,249,458
24008,"Beauport--Limoilou/Beauport--Limoilou"," 8","Québec",0,12,56,121,40,1,0,0,6,236,444
24008,"Beauport--Limoilou/Beauport--Limoilou"," 9","Québec",0,23,51,76,34,5,0,1,5,195,386
24008,"Beauport--Limoilou/Beauport--Limoilou"," 10","Québec",0,20,67,65,45,2,0,1,6,206,369
24008,"Beauport--Limoilou/Beauport--Limoilou"," 11","Québec",2,24,39,68,40,3,0,0,3,179,365
24008,"Beauport--Limoilou/Beauport--Limoilou"," 12","Québec",1,26,45,102,37,4,0,0,7,222,402
24008,"Beauport--Limoilou/Beauport--Limoilou"," 13","Québec",3,33,42,62,34,1,0,2,3,180,371
24008,"Beauport--Limoilou/Beauport--Limoilou"," 14","Québec",0,17,36,94,29,4,0,0,5,185,384
24008,"Beauport--Limoilou/Beauport--Limoilou"," 15","Québec",0,17,53,94,45,2,0,0,3,214,362
24008,"Beauport--Limoilou/Beauport--Limoilou"," 16","Québec",0,28,36,92,51,2,0,0,6,215,425
24008,"Beauport--Limoilou/Beauport--Limoilou"," 17","Québec",0,22,48,112,30,4,0,1,8,225,386
24008,"Beauport--Limoilou/Beauport--Limoilou"," 18","Québec",1,29,40,89,52,8,1,0,7,227,448
24008,"Beauport--Limoilou/Beauport--Limoilou"," 19","Québec",2,10,49,107,30,3,0,0,1,202,425
24008,"Beauport--Limoilou/Beauport--Limoilou"," 20","Québec",0,22,38,51,25,4,0,0,1,141,353
