Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Robert George McFadzean,Danielle Montgomery,Garry Parenteau,Shannon Stubbs,Duane Zaraska,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48025,"Lakeland/Lakeland"," 1","Breynat",1,4,14,144,9,2,174,277
48025,"Lakeland/Lakeland"," 2","Grassland",3,5,37,233,20,0,298,511
48025,"Lakeland/Lakeland"," 3","Amber Valley",2,6,18,97,10,0,133,473
48025,"Lakeland/Lakeland"," 4","Athabasca",3,13,21,154,22,1,214,443
48025,"Lakeland/Lakeland"," 5","Grosmont",5,10,28,255,27,0,325,516
48025,"Lakeland/Lakeland"," 6","Baptiste Lake",3,4,18,136,10,0,171,345
48025,"Lakeland/Lakeland"," 7","Baptiste Lake",2,9,11,146,11,1,180,414
48025,"Lakeland/Lakeland"," 8","Athabasca",0,1,17,66,17,0,101,242
48025,"Lakeland/Lakeland"," 9","Athabasca",3,8,21,79,18,1,130,309
48025,"Lakeland/Lakeland"," 10","Athabasca",3,6,31,82,27,0,149,377
48025,"Lakeland/Lakeland"," 11","Athabasca",1,10,28,124,31,0,194,388
48025,"Lakeland/Lakeland"," 12","Athabasca",0,11,26,117,13,0,167,399
48025,"Lakeland/Lakeland"," 13","Athabasca",5,4,28,106,14,2,159,340
48025,"Lakeland/Lakeland"," 14","Athabasca",5,11,58,145,24,0,243,521
48025,"Lakeland/Lakeland"," 15","Athabasca",2,7,15,113,21,0,158,345
48025,"Lakeland/Lakeland"," 16","Athabasca",2,6,15,87,7,0,117,251
48025,"Lakeland/Lakeland"," 17","Athabasca",1,3,8,77,15,0,104,238
48025,"Lakeland/Lakeland"," 18","Colinton",1,6,24,133,14,0,178,352
48025,"Lakeland/Lakeland"," 19","Colinton",2,14,24,115,34,0,189,308
48025,"Lakeland/Lakeland"," 20","Mewatha Beach",1,6,39,292,18,0,356,601
48025,"Lakeland/Lakeland"," 21","Boyle",3,3,31,114,7,1,159,314
48025,"Lakeland/Lakeland"," 22","Boyle",2,7,29,118,14,1,171,342
48025,"Lakeland/Lakeland"," 23","Ellscott",2,3,16,165,24,0,210,423
48025,"Lakeland/Lakeland"," 24","Perryvale",0,7,28,164,18,1,218,376
48025,"Lakeland/Lakeland"," 25","Rochester",2,10,56,158,24,0,250,404
48025,"Lakeland/Lakeland"," 26","Thorhild",0,5,12,126,21,0,164,326
48025,"Lakeland/Lakeland"," 27","Thorhild",2,12,28,263,24,0,329,543
48025,"Lakeland/Lakeland"," 28","Thorhild",2,6,29,184,30,1,252,497
48025,"Lakeland/Lakeland"," 29","Alpen Siding",4,5,31,183,23,0,246,357
48025,"Lakeland/Lakeland"," 30","Buffalo Lake Metis Settlement",1,6,150,45,41,0,243,483
48025,"Lakeland/Lakeland"," 31","Hollow Lake",0,8,24,159,32,0,223,401
48025,"Lakeland/Lakeland"," 32","Warspite",1,5,9,95,18,0,128,270
48025,"Lakeland/Lakeland"," 33","Waskatenau",3,8,28,98,13,0,150,289
48025,"Lakeland/Lakeland"," 34","Edwand",1,6,18,165,17,1,208,323
48025,"Lakeland/Lakeland"," 35","Smoky Lake",2,6,38,82,20,0,148,244
48025,"Lakeland/Lakeland"," 36","Smoky Lake",0,2,12,90,12,0,116,240
48025,"Lakeland/Lakeland"," 37","Smoky Lake",2,5,24,76,20,1,128,259
48025,"Lakeland/Lakeland"," 38","Victoria Settlement",0,6,16,115,14,1,152,315
48025,"Lakeland/Lakeland"," 39","Kikino",2,6,89,54,56,4,211,510
48025,"Lakeland/Lakeland"," 40","Bellis",0,5,21,113,11,0,150,224
48025,"Lakeland/Lakeland"," 41","Vilna",2,2,21,100,17,1,143,287
48025,"Lakeland/Lakeland"," 42","Vilna",2,5,34,69,14,0,124,292
48025,"Lakeland/Lakeland"," 43","White Fish Lake 128",1,4,58,12,284,0,359,689
48025,"Lakeland/Lakeland"," 44","St. Lina",6,6,39,249,18,1,319,460
48025,"Lakeland/Lakeland"," 45","Glendon",0,11,39,302,12,1,365,506
48025,"Lakeland/Lakeland"," 46","Mallaig",2,2,39,229,11,0,283,380
48025,"Lakeland/Lakeland"," 47","Spedden",1,2,20,165,17,0,205,308
48025,"Lakeland/Lakeland"," 48","Ashmont",2,2,46,195,22,0,267,517
48025,"Lakeland/Lakeland"," 49","Saddle Lake 125",5,7,92,6,509,5,624,1225
48025,"Lakeland/Lakeland"," 50","Stry",1,0,9,92,14,0,116,210
48025,"Lakeland/Lakeland"," 51","Willingdon",4,3,25,190,36,0,258,455
48025,"Lakeland/Lakeland"," 52","Andrew",1,1,30,127,23,0,182,255
48025,"Lakeland/Lakeland"," 53","Andrew",3,8,20,102,22,0,155,259
48025,"Lakeland/Lakeland"," 54","Andrew",1,1,16,49,18,0,85,141
48025,"Lakeland/Lakeland"," 55","Wostok",1,5,12,103,9,0,130,216
48025,"Lakeland/Lakeland"," 56","Skaro",1,2,10,123,12,3,151,278
48025,"Lakeland/Lakeland"," 57","St. Michael",1,2,15,94,10,0,122,210
48025,"Lakeland/Lakeland"," 58","Radway",1,8,37,157,18,0,221,436
48025,"Lakeland/Lakeland"," 59","Egremont",0,5,14,97,14,1,131,381
48025,"Lakeland/Lakeland"," 60","Bruderheim",3,5,49,189,33,0,279,437
48025,"Lakeland/Lakeland"," 61","Bruderheim",7,14,60,198,27,0,306,594
48025,"Lakeland/Lakeland"," 62","Beaverhill",3,7,14,129,11,0,164,278
48025,"Lakeland/Lakeland"," 63","Lamont",4,1,42,190,35,0,272,435
48025,"Lakeland/Lakeland"," 64","Lamont",1,6,40,139,15,1,202,405
48025,"Lakeland/Lakeland"," 65","Lamont",4,7,31,155,32,1,230,455
48025,"Lakeland/Lakeland"," 66","Lamont",2,5,25,116,12,0,160,198
48025,"Lakeland/Lakeland"," 67","Chipman",2,10,57,151,31,1,252,453
48025,"Lakeland/Lakeland"," 68","Hilliard",2,7,31,151,32,0,223,347
48025,"Lakeland/Lakeland"," 69","Mundare",2,5,31,191,21,1,251,397
48025,"Lakeland/Lakeland"," 70","Mundare",3,6,54,221,20,2,306,443
48025,"Lakeland/Lakeland"," 71","Mundare",8,13,43,169,41,1,275,393
48025,"Lakeland/Lakeland"," 72","Warwick",1,5,39,183,36,0,264,526
48025,"Lakeland/Lakeland"," 73","Inland",1,5,46,184,18,0,254,452
48025,"Lakeland/Lakeland"," 74","Vegreville",4,3,35,142,29,0,213,444
48025,"Lakeland/Lakeland"," 75","Warwick",1,3,33,182,22,2,243,456
48025,"Lakeland/Lakeland"," 76","Inland",4,11,25,132,30,1,203,430
48025,"Lakeland/Lakeland"," 77","Inland",2,7,35,192,32,0,268,487
48025,"Lakeland/Lakeland"," 78","Hairy Hill",2,6,25,99,18,0,150,376
48025,"Lakeland/Lakeland"," 79","Two Hills",0,3,10,55,2,0,70,337
48025,"Lakeland/Lakeland"," 80","Two Hills",0,0,20,100,9,0,129,370
48025,"Lakeland/Lakeland"," 81","Two Hills",1,4,10,104,5,0,124,379
48025,"Lakeland/Lakeland"," 82","Two Hills",2,6,15,114,17,1,155,354
48025,"Lakeland/Lakeland"," 83","Brosseau",0,6,20,73,4,0,103,200
48025,"Lakeland/Lakeland"," 84","Owlseye",2,7,39,150,21,0,219,428
48025,"Lakeland/Lakeland"," 85","Owlseye",0,3,38,217,24,0,282,464
48025,"Lakeland/Lakeland"," 86","Owlseye",1,4,32,183,22,0,242,421
48025,"Lakeland/Lakeland"," 87","Saint-Paul",3,5,33,115,18,0,174,384
48025,"Lakeland/Lakeland"," 88","Owlseye",1,4,34,102,23,0,164,398
48025,"Lakeland/Lakeland"," 89","Saint-Paul",3,2,33,138,7,0,183,389
48025,"Lakeland/Lakeland"," 90","Saint-Paul",7,6,57,153,18,0,241,407
48025,"Lakeland/Lakeland"," 91","Saint-Paul",1,5,45,118,22,0,191,372
48025,"Lakeland/Lakeland"," 92","Saint-Paul",3,5,39,104,23,1,175,356
48025,"Lakeland/Lakeland"," 93","Saint-Paul",2,5,41,155,15,0,218,413
48025,"Lakeland/Lakeland"," 94","St. Edouard",2,2,35,195,19,0,253,405
48025,"Lakeland/Lakeland"," 95","Saint-Paul",3,9,28,169,17,1,227,419
48025,"Lakeland/Lakeland"," 96","Lafond",2,2,21,111,7,2,145,403
48025,"Lakeland/Lakeland"," 97","St. Vincent",2,1,53,149,14,0,219,346
48025,"Lakeland/Lakeland"," 98","Beacon Corner",0,3,13,159,9,1,185,316
48025,"Lakeland/Lakeland"," 99","Hoselaw",1,2,21,170,6,0,200,250
48025,"Lakeland/Lakeland"," 100","Bonnyville",0,0,14,108,4,0,126,197
48025,"Lakeland/Lakeland"," 101","Bonnyville Beach",3,3,30,332,14,1,383,591
48025,"Lakeland/Lakeland"," 102","Bonnyville",4,6,50,173,8,1,242,599
48025,"Lakeland/Lakeland"," 103","Bonnyville",6,8,45,189,19,1,268,458
