Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Susan Cadell,Julian Ichim,Slavko Miladinovic,Raj Saini,Nicholas Wendler,Stephen Woodworth,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35045,"Kitchener Centre/Kitchener-Centre"," 1","Kitchener",21,0,3,87,10,90,2,213,345
35045,"Kitchener Centre/Kitchener-Centre"," 2","Kitchener",20,1,1,103,1,78,0,204,422
35045,"Kitchener Centre/Kitchener-Centre"," 3","Kitchener",32,0,2,108,4,70,0,216,427
35045,"Kitchener Centre/Kitchener-Centre"," 4","Kitchener",21,0,1,88,3,55,0,168,306
35045,"Kitchener Centre/Kitchener-Centre"," 5","Kitchener",41,1,0,88,13,88,0,231,404
35045,"Kitchener Centre/Kitchener-Centre"," 6","Kitchener",34,0,2,117,5,83,3,244,455
35045,"Kitchener Centre/Kitchener-Centre"," 7","Kitchener",22,0,0,90,6,111,1,230,424
35045,"Kitchener Centre/Kitchener-Centre"," 8","Kitchener",24,0,3,96,3,91,2,219,380
35045,"Kitchener Centre/Kitchener-Centre"," 9","Kitchener",26,0,5,107,2,89,0,229,412
35045,"Kitchener Centre/Kitchener-Centre"," 10","Kitchener",23,2,3,109,6,108,0,251,423
35045,"Kitchener Centre/Kitchener-Centre"," 11","Kitchener",26,0,2,122,5,96,2,253,474
35045,"Kitchener Centre/Kitchener-Centre"," 12","Kitchener",39,1,3,128,5,116,1,293,549
35045,"Kitchener Centre/Kitchener-Centre"," 13","Kitchener",23,1,2,88,2,68,4,188,361
35045,"Kitchener Centre/Kitchener-Centre"," 14","Kitchener",25,1,3,52,11,37,0,129,359
35045,"Kitchener Centre/Kitchener-Centre"," 15","Kitchener",43,0,3,107,8,56,1,218,428
35045,"Kitchener Centre/Kitchener-Centre"," 16","Kitchener",29,1,7,90,7,84,4,222,423
35045,"Kitchener Centre/Kitchener-Centre"," 17","Kitchener",28,0,3,96,3,79,0,209,405
35045,"Kitchener Centre/Kitchener-Centre"," 18","Kitchener",23,0,4,79,11,58,3,178,361
35045,"Kitchener Centre/Kitchener-Centre"," 19","Kitchener",18,1,1,87,5,63,1,176,291
35045,"Kitchener Centre/Kitchener-Centre"," 20","Kitchener",31,3,1,73,9,52,1,170,343
35045,"Kitchener Centre/Kitchener-Centre"," 21","Kitchener",37,2,2,96,3,66,1,207,325
35045,"Kitchener Centre/Kitchener-Centre"," 22","Kitchener",45,1,4,101,3,82,1,237,477
35045,"Kitchener Centre/Kitchener-Centre"," 23","Kitchener",30,1,5,102,9,62,0,209,321
35045,"Kitchener Centre/Kitchener-Centre"," 24","Kitchener",28,1,0,82,7,47,0,165,359
35045,"Kitchener Centre/Kitchener-Centre"," 25","Kitchener",36,1,2,111,10,82,0,242,423
35045,"Kitchener Centre/Kitchener-Centre"," 26","Kitchener",50,0,0,117,12,86,0,265,426
35045,"Kitchener Centre/Kitchener-Centre"," 27","Kitchener",66,0,2,156,4,100,0,328,478
35045,"Kitchener Centre/Kitchener-Centre"," 28","Kitchener",38,0,1,89,5,85,1,219,436
35045,"Kitchener Centre/Kitchener-Centre"," 29","Kitchener",49,1,2,67,5,51,2,177,355
35045,"Kitchener Centre/Kitchener-Centre"," 30","Kitchener",42,0,1,119,9,47,0,218,398
35045,"Kitchener Centre/Kitchener-Centre"," 31","Kitchener",44,0,1,143,11,65,2,266,496
35045,"Kitchener Centre/Kitchener-Centre"," 32","Kitchener",50,0,4,118,11,37,0,220,440
35045,"Kitchener Centre/Kitchener-Centre"," 33","Kitchener",60,0,2,147,8,32,3,252,419
35045,"Kitchener Centre/Kitchener-Centre"," 34","Kitchener",45,0,2,107,3,31,0,188,367
35045,"Kitchener Centre/Kitchener-Centre"," 35","Kitchener",56,1,3,110,8,40,0,218,353
35045,"Kitchener Centre/Kitchener-Centre"," 36","Kitchener",46,0,2,67,7,54,2,178,399
35045,"Kitchener Centre/Kitchener-Centre"," 37","Kitchener",30,0,1,88,8,53,0,180,378
35045,"Kitchener Centre/Kitchener-Centre"," 38","Kitchener",56,0,3,109,12,55,0,235,406
35045,"Kitchener Centre/Kitchener-Centre"," 39","Kitchener",52,0,5,131,15,83,2,288,438
35045,"Kitchener Centre/Kitchener-Centre"," 40","Kitchener",51,0,3,112,6,52,0,224,406
35045,"Kitchener Centre/Kitchener-Centre"," 41","Kitchener",50,0,4,122,12,90,0,278,459
35045,"Kitchener Centre/Kitchener-Centre"," 42","Kitchener",35,1,1,109,10,63,0,219,437
35045,"Kitchener Centre/Kitchener-Centre"," 43","Kitchener",65,0,2,144,5,44,1,261,437
35045,"Kitchener Centre/Kitchener-Centre"," 44","Kitchener",45,0,2,99,9,40,0,195,346
35045,"Kitchener Centre/Kitchener-Centre"," 45","Kitchener",40,0,3,117,9,42,0,211,325
35045,"Kitchener Centre/Kitchener-Centre"," 46","Kitchener",41,1,3,141,8,55,1,250,438
35045,"Kitchener Centre/Kitchener-Centre"," 47","Kitchener",33,0,3,121,8,33,0,198,347
35045,"Kitchener Centre/Kitchener-Centre"," 48","Kitchener",42,1,5,127,5,46,1,227,347
35045,"Kitchener Centre/Kitchener-Centre"," 49","Kitchener",39,0,3,105,2,65,1,215,463
35045,"Kitchener Centre/Kitchener-Centre"," 50","Kitchener",44,1,0,103,5,44,0,197,384
35045,"Kitchener Centre/Kitchener-Centre"," 51","Kitchener",26,0,1,77,6,25,1,136,143
35045,"Kitchener Centre/Kitchener-Centre"," 52","Kitchener",Merged with No./Fusionné avec le n°51,,,,,,,,96
35045,"Kitchener Centre/Kitchener-Centre"," 53A","Kitchener",12,0,0,38,1,10,0,61,133
35045,"Kitchener Centre/Kitchener-Centre"," 53B","Kitchener",12,1,1,58,6,8,1,87,136
35045,"Kitchener Centre/Kitchener-Centre"," 54","Kitchener",23,0,3,87,2,27,2,144,324
35045,"Kitchener Centre/Kitchener-Centre"," 55","Kitchener",28,1,4,83,9,35,0,160,356
35045,"Kitchener Centre/Kitchener-Centre"," 56","Kitchener",40,2,3,111,10,54,3,223,451
35045,"Kitchener Centre/Kitchener-Centre"," 57","Kitchener",43,0,3,146,7,68,1,268,374
35045,"Kitchener Centre/Kitchener-Centre"," 58","Kitchener",40,0,1,140,5,67,0,253,350
35045,"Kitchener Centre/Kitchener-Centre"," 59","Kitchener",32,2,2,166,7,53,1,263,379
35045,"Kitchener Centre/Kitchener-Centre"," 60","Kitchener",42,0,4,147,10,37,1,241,412
