Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Abdul Abdi,Mark Brooks,Sam Heaton,Marlene Rivier,Rod Taylor,Anita Vandenbeld,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 163","Ottawa",78,11,0,17,2,165,0,273,496
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 164","Nepean",97,8,0,27,3,188,2,325,567
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 165","Nepean",87,3,0,13,5,119,0,227,414
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 166","Nepean",96,4,0,15,0,94,0,209,405
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 167","Nepean",62,6,0,25,1,144,1,239,426
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 168","Nepean",68,5,1,30,5,189,0,298,520
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 169","Nepean",56,8,3,18,4,131,1,221,368
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 170","Nepean",71,8,0,18,2,134,1,234,494
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 171","Nepean",42,8,1,9,3,93,1,157,260
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 172","Nepean",95,4,0,12,1,156,0,268,386
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 173","Nepean",78,12,2,19,0,125,1,237,366
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 174","Nepean",59,5,2,27,3,143,1,240,391
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 400","Ottawa",17,1,0,9,1,46,0,74,191
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 401","Ottawa",44,6,0,20,3,84,4,161,240
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 402","Ottawa",59,5,0,22,2,88,1,177,302
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 403","Ottawa",37,11,1,24,4,91,0,168,288
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 404","Ottawa",Void/Supprimé,,,,,,,,
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 405","Ottawa",86,7,0,17,7,114,1,232,316
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 406","Ottawa",61,6,0,27,4,105,0,203,289
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 407","Ottawa",64,12,0,23,1,70,1,171,235
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 408","Ottawa",98,11,1,41,4,135,2,292,268
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 409","Ottawa",75,1,0,15,2,91,0,184,240
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 410","Ottawa",99,4,0,20,6,86,1,216,268
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 411","Ottawa",66,5,1,29,2,90,0,193,251
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 412","Nepean",36,9,0,53,1,146,3,248,271
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 413","Ottawa",28,5,1,20,0,62,1,117,193
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 414","Ottawa",26,12,1,38,2,114,2,195,296
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 415","Ottawa",68,12,0,7,1,94,1,183,289
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 416","Ottawa",Merged with No./Fusionné avec le n°417,,,,,,,,213
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 417","Ottawa",120,15,0,39,3,186,2,365,294
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 418","Ottawa",36,4,1,18,0,58,0,117,215
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 419","Ottawa",39,6,1,23,2,80,1,152,258
