Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Devon Babstock,Terry Cormier,Gudie Hutchings,Wayne Ruth,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10005,"Long Range Mountains/Long Range Mountains"," 1","Straitsview",5,3,106,9,0,123,168
10005,"Long Range Mountains/Long Range Mountains"," 2","St. Lunaire-Griquet",3,1,48,4,0,56,122
10005,"Long Range Mountains/Long Range Mountains"," 3","St. Lunaire-Griquet",4,2,155,27,4,192,476
10005,"Long Range Mountains/Long Range Mountains"," 4","Raleigh",8,1,85,9,0,103,183
10005,"Long Range Mountains/Long Range Mountains"," 5","Ship Cove",2,0,30,6,0,38,60
10005,"Long Range Mountains/Long Range Mountains"," 6","St. Anthony Bight",8,0,66,5,0,79,175
10005,"Long Range Mountains/Long Range Mountains"," 7","St. Anthony",7,3,128,7,0,145,330
10005,"Long Range Mountains/Long Range Mountains"," 8","St. Anthony",13,0,140,14,0,167,325
10005,"Long Range Mountains/Long Range Mountains"," 9","St. Anthony",13,0,129,8,0,150,373
10005,"Long Range Mountains/Long Range Mountains"," 10","St. Anthony",14,3,188,23,1,229,493
10005,"Long Range Mountains/Long Range Mountains"," 11","St. Anthony",7,0,119,13,0,139,352
10005,"Long Range Mountains/Long Range Mountains"," 12","Goose Cove East",4,2,78,4,0,88,136
10005,"Long Range Mountains/Long Range Mountains"," 13","Main Brook",8,2,115,23,0,148,226
10005,"Long Range Mountains/Long Range Mountains"," 14","Cook's Harbour",2,2,96,11,0,111,175
10005,"Long Range Mountains/Long Range Mountains"," 15","Eddie's Cove/Green Island Brook",15,3,156,11,2,187,320
10005,"Long Range Mountains/Long Range Mountains"," 16","Sandy Cove/Green Island Cove",7,0,75,25,0,107,204
10005,"Long Range Mountains/Long Range Mountains"," 17A","Flower's Cove",8,3,190,18,1,220,435
10005,"Long Range Mountains/Long Range Mountains"," 17B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501,,,,,,2
10005,"Long Range Mountains/Long Range Mountains"," 17C","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501,,,,,,2
10005,"Long Range Mountains/Long Range Mountains"," 18","Anchor Point",12,1,134,6,0,153,301
10005,"Long Range Mountains/Long Range Mountains"," 19","St. Julien-Croque",1,0,32,2,0,35,56
10005,"Long Range Mountains/Long Range Mountains"," 20","Conche",9,1,81,2,0,93,167
10005,"Long Range Mountains/Long Range Mountains"," 21","Roddickton",4,3,134,34,0,175,385
10005,"Long Range Mountains/Long Range Mountains"," 22","Roddickton",11,2,112,39,0,164,356
10005,"Long Range Mountains/Long Range Mountains"," 23","Plum Point",13,3,120,29,1,166,255
10005,"Long Range Mountains/Long Range Mountains"," 24","Forresters Point",7,1,261,10,2,281,411
10005,"Long Range Mountains/Long Range Mountains"," 25","Bird Cove",7,0,74,10,0,91,166
10005,"Long Range Mountains/Long Range Mountains"," 26","Shoal Cove",9,2,88,13,0,112,201
10005,"Long Range Mountains/Long Range Mountains"," 27","Castors River",22,2,153,9,0,186,297
10005,"Long Range Mountains/Long Range Mountains"," 28","Englee",3,0,145,28,0,176,451
10005,"Long Range Mountains/Long Range Mountains"," 29","Port Saunders",21,1,197,44,0,263,548
10005,"Long Range Mountains/Long Range Mountains"," 30","Hawke's Bay",14,1,112,23,0,150,180
10005,"Long Range Mountains/Long Range Mountains"," 31","Port Saunders",0,0,29,6,0,35,62
10005,"Long Range Mountains/Long Range Mountains"," 32","River of Ponds",10,2,78,16,0,106,198
10005,"Long Range Mountains/Long Range Mountains"," 33","Jackson's Arm",15,1,93,13,0,122,253
10005,"Long Range Mountains/Long Range Mountains"," 34","Daniel's Harbour",25,3,132,23,1,184,338
10005,"Long Range Mountains/Long Range Mountains"," 35","Parson's Pond",18,2,135,19,0,174,417
10005,"Long Range Mountains/Long Range Mountains"," 36","Cow Head",13,3,49,11,0,76,132
10005,"Long Range Mountains/Long Range Mountains"," 37","Cow Head",19,3,96,26,0,144,243
10005,"Long Range Mountains/Long Range Mountains"," 38","St. Paul's",23,4,92,9,0,128,224
10005,"Long Range Mountains/Long Range Mountains"," 39A","Pollards Point",18,3,87,14,0,122,237
10005,"Long Range Mountains/Long Range Mountains"," 39B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°502,,,,,,1
10005,"Long Range Mountains/Long Range Mountains"," 40","Hampden",26,5,147,36,0,214,480
10005,"Long Range Mountains/Long Range Mountains"," 41","Sop's Arm",2,1,54,23,0,80,138
10005,"Long Range Mountains/Long Range Mountains"," 42","Rocky Harbour",26,8,161,20,0,215,365
10005,"Long Range Mountains/Long Range Mountains"," 43","Rocky Harbour",46,4,140,19,0,209,405
10005,"Long Range Mountains/Long Range Mountains"," 44","Norris Point",46,3,188,13,0,250,507
10005,"Long Range Mountains/Long Range Mountains"," 45","Norris Point",13,2,57,3,1,76,109
10005,"Long Range Mountains/Long Range Mountains"," 46","Wiltondale",17,4,71,6,0,98,140
10005,"Long Range Mountains/Long Range Mountains"," 47","Cormack",25,2,173,43,0,243,514
10005,"Long Range Mountains/Long Range Mountains"," 48","Reidville",16,6,141,37,0,200,402
10005,"Long Range Mountains/Long Range Mountains"," 49","Deer Lake",25,4,124,42,0,195,477
10005,"Long Range Mountains/Long Range Mountains"," 50","Deer Lake",27,2,176,44,0,249,474
10005,"Long Range Mountains/Long Range Mountains"," 51","Deer Lake",27,2,103,50,0,182,424
10005,"Long Range Mountains/Long Range Mountains"," 52","Deer Lake",24,2,109,29,1,165,388
10005,"Long Range Mountains/Long Range Mountains"," 53","Nicholsville",9,2,97,29,0,137,336
10005,"Long Range Mountains/Long Range Mountains"," 54","Deer Lake",15,2,114,64,0,195,414
10005,"Long Range Mountains/Long Range Mountains"," 55","Nicholsville",41,6,139,51,0,237,302
10005,"Long Range Mountains/Long Range Mountains"," 56","Deer Lake",41,2,95,17,0,155,461
10005,"Long Range Mountains/Long Range Mountains"," 57","Deer Lake",19,1,99,16,0,135,319
10005,"Long Range Mountains/Long Range Mountains"," 58","Deer Lake",19,2,103,26,1,151,323
10005,"Long Range Mountains/Long Range Mountains"," 59A","Deer Lake",Merged with No./Fusionné avec le n°57,,,,,,119
10005,"Long Range Mountains/Long Range Mountains"," 59B","Howley",30,0,105,24,1,160,293
10005,"Long Range Mountains/Long Range Mountains"," 60","Deer Lake",11,2,103,43,0,159,337
10005,"Long Range Mountains/Long Range Mountains"," 61","Humber Village--Little Rapids",26,11,158,31,0,226,342
10005,"Long Range Mountains/Long Range Mountains"," 62","Shoal Brook",16,3,79,25,0,123,217
10005,"Long Range Mountains/Long Range Mountains"," 63","Woody Point",17,5,89,19,1,131,243
10005,"Long Range Mountains/Long Range Mountains"," 64","Trout River",15,5,211,19,1,251,492
10005,"Long Range Mountains/Long Range Mountains"," 65","Cox's Cove",13,6,130,31,1,181,337
10005,"Long Range Mountains/Long Range Mountains"," 66","Cox's Cove",11,1,102,15,2,131,226
10005,"Long Range Mountains/Long Range Mountains"," 67","Irishtown",25,3,182,29,1,240,403
10005,"Long Range Mountains/Long Range Mountains"," 68","Irishtown",14,0,168,13,1,196,293
10005,"Long Range Mountains/Long Range Mountains"," 69","Corner Brook",31,14,143,18,2,208,373
10005,"Long Range Mountains/Long Range Mountains"," 70","Corner Brook",25,12,109,21,0,167,369
10005,"Long Range Mountains/Long Range Mountains"," 71","Corner Brook",25,3,130,11,0,169,369
10005,"Long Range Mountains/Long Range Mountains"," 72","Corner Brook",24,3,119,36,0,182,334
10005,"Long Range Mountains/Long Range Mountains"," 73","Steady Brook",23,10,152,36,1,222,328
10005,"Long Range Mountains/Long Range Mountains"," 74","Massey Drive",19,5,182,33,0,239,409
10005,"Long Range Mountains/Long Range Mountains"," 75","Massey Drive",27,5,159,12,0,203,386
10005,"Long Range Mountains/Long Range Mountains"," 76","Massey Drive",26,4,163,31,2,226,409
10005,"Long Range Mountains/Long Range Mountains"," 77","Pasadena",40,7,185,47,0,279,574
10005,"Long Range Mountains/Long Range Mountains"," 78","Pasadena",28,4,163,29,1,225,454
10005,"Long Range Mountains/Long Range Mountains"," 79","Pasadena",13,12,182,27,1,235,442
10005,"Long Range Mountains/Long Range Mountains"," 80","Pasadena",23,6,132,26,0,187,350
10005,"Long Range Mountains/Long Range Mountains"," 81","Pasadena",25,8,126,36,0,195,353
10005,"Long Range Mountains/Long Range Mountains"," 82","Pasadena",19,6,119,31,0,175,341
10005,"Long Range Mountains/Long Range Mountains"," 83","Pasadena",29,12,170,44,1,256,504
10005,"Long Range Mountains/Long Range Mountains"," 84","Corner Brook",27,7,169,15,0,218,377
10005,"Long Range Mountains/Long Range Mountains"," 85","Corner Brook",25,23,189,35,1,273,529
10005,"Long Range Mountains/Long Range Mountains"," 86","Corner Brook",21,4,132,27,0,184,355
10005,"Long Range Mountains/Long Range Mountains"," 87","Corner Brook",34,9,143,27,2,215,408
10005,"Long Range Mountains/Long Range Mountains"," 88","Corner Brook",15,4,72,13,0,104,207
10005,"Long Range Mountains/Long Range Mountains"," 89","Corner Brook",15,3,109,22,0,149,292
10005,"Long Range Mountains/Long Range Mountains"," 90","Corner Brook",31,20,156,27,0,234,432
10005,"Long Range Mountains/Long Range Mountains"," 91","Corner Brook",33,12,171,19,0,235,437
10005,"Long Range Mountains/Long Range Mountains"," 92","Corner Brook",34,23,192,31,0,280,530
10005,"Long Range Mountains/Long Range Mountains"," 93","Corner Brook",26,9,157,33,2,227,443
10005,"Long Range Mountains/Long Range Mountains"," 94A","Corner Brook",10,3,59,12,1,85,123
10005,"Long Range Mountains/Long Range Mountains"," 94B","Corner Brook",30,10,94,4,0,138,170
10005,"Long Range Mountains/Long Range Mountains"," 94C","Mobile poll/Bureau itinérant",9,2,30,11,1,53,113
10005,"Long Range Mountains/Long Range Mountains"," 95","Corner Brook",33,7,147,24,1,212,477
10005,"Long Range Mountains/Long Range Mountains"," 96","Corner Brook",40,6,184,16,0,246,473
10005,"Long Range Mountains/Long Range Mountains"," 97","Corner Brook",40,5,139,21,0,205,435
10005,"Long Range Mountains/Long Range Mountains"," 98","Corner Brook",35,9,138,23,1,206,412
10005,"Long Range Mountains/Long Range Mountains"," 99","Corner Brook",19,8,123,18,0,168,356
10005,"Long Range Mountains/Long Range Mountains"," 100","Corner Brook",31,8,164,23,0,226,398
10005,"Long Range Mountains/Long Range Mountains"," 101","Corner Brook",36,7,153,7,0,203,394
10005,"Long Range Mountains/Long Range Mountains"," 102","Corner Brook",28,7,176,24,0,235,469
10005,"Long Range Mountains/Long Range Mountains"," 103","Corner Brook",45,3,141,36,0,225,429
10005,"Long Range Mountains/Long Range Mountains"," 104","Corner Brook",28,6,142,17,0,193,388
10005,"Long Range Mountains/Long Range Mountains"," 105","Corner Brook",32,7,137,16,1,193,420
10005,"Long Range Mountains/Long Range Mountains"," 106","Corner Brook",20,4,189,27,1,241,386
10005,"Long Range Mountains/Long Range Mountains"," 107","Corner Brook",37,1,174,24,0,236,492
