Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dennis Fraser Bevington,Michael McLeod,John Moore,Floyd Roland,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
61001,"Northwest Territories/Territoires du Nord-Ouest"," 1","Sachs Harbour",9,31,2,7,0,49,72
61001,"Northwest Territories/Territoires du Nord-Ouest"," 2","Ulukhaktok",50,58,7,34,1,150,212
61001,"Northwest Territories/Territoires du Nord-Ouest"," 3","Inuvik",48,64,4,36,1,153,400
61001,"Northwest Territories/Territoires du Nord-Ouest"," 4","Tuktoyaktuk",59,142,6,96,4,307,584
61001,"Northwest Territories/Territoires du Nord-Ouest"," 5","Paulatuk",18,87,1,15,1,122,152
61001,"Northwest Territories/Territoires du Nord-Ouest"," 6","Aklavik",50,139,0,28,1,218,392
61001,"Northwest Territories/Territoires du Nord-Ouest"," 7","Inuvik",73,109,4,63,2,251,595
61001,"Northwest Territories/Territoires du Nord-Ouest"," 8A","Inuvik",32,65,4,35,0,136,360
61001,"Northwest Territories/Territoires du Nord-Ouest"," 8B","Inuvik",49,80,5,49,1,184,422
61001,"Northwest Territories/Territoires du Nord-Ouest"," 9","Inuvik",78,94,7,71,0,250,510
61001,"Northwest Territories/Territoires du Nord-Ouest"," 10","Fort McPherson",39,212,2,27,3,283,538
61001,"Northwest Territories/Territoires du Nord-Ouest"," 11","Tsiigehtchic",8,49,1,10,0,68,116
61001,"Northwest Territories/Territoires du Nord-Ouest"," 12","Fort Good Hope",64,134,12,14,1,225,349
61001,"Northwest Territories/Territoires du Nord-Ouest"," 13","Colville Lake",19,22,2,4,1,48,66
61001,"Northwest Territories/Territoires du Nord-Ouest"," 14","Norman Wells",70,107,8,82,1,268,545
61001,"Northwest Territories/Territoires du Nord-Ouest"," 15","Deline",50,170,4,17,1,242,383
61001,"Northwest Territories/Territoires du Nord-Ouest"," 16","Tulita",29,117,3,15,0,164,309
61001,"Northwest Territories/Territoires du Nord-Ouest"," 17","Wrigley",18,19,0,2,1,40,91
61001,"Northwest Territories/Territoires du Nord-Ouest"," 18","Nahanni Butte",3,40,0,0,0,43,58
61001,"Northwest Territories/Territoires du Nord-Ouest"," 19","Fort Simpson",39,73,4,8,0,124,230
61001,"Northwest Territories/Territoires du Nord-Ouest"," 20A","Fort Simpson",53,104,6,21,0,184,358
61001,"Northwest Territories/Territoires du Nord-Ouest"," 20B","Fort Simpson",45,118,3,24,1,191,363
61001,"Northwest Territories/Territoires du Nord-Ouest"," 21","Jean Marie River",7,12,0,0,0,19,42
61001,"Northwest Territories/Territoires du Nord-Ouest"," 22","Fort Liard",23,105,2,20,3,153,366
61001,"Northwest Territories/Territoires du Nord-Ouest"," 23","Trout Lake",9,21,3,3,0,36,56
61001,"Northwest Territories/Territoires du Nord-Ouest"," 24","Gameti",13,107,1,5,1,127,181
61001,"Northwest Territories/Territoires du Nord-Ouest"," 25","Wekweti",11,48,0,0,0,59,89
61001,"Northwest Territories/Territoires du Nord-Ouest"," 26","Wha Ti",19,151,5,5,0,180,316
61001,"Northwest Territories/Territoires du Nord-Ouest"," 27A","Behchoko",21,58,3,3,1,86,340
61001,"Northwest Territories/Territoires du Nord-Ouest"," 27B","Behchoko",15,44,1,4,1,65,270
61001,"Northwest Territories/Territoires du Nord-Ouest"," 28","Behchoko",45,239,3,9,4,300,382
61001,"Northwest Territories/Territoires du Nord-Ouest"," 29","Behchoko",31,218,8,15,2,274,331
61001,"Northwest Territories/Territoires du Nord-Ouest"," 30","Fort Providence",72,270,1,24,1,368,565
61001,"Northwest Territories/Territoires du Nord-Ouest"," 31A","Yellowknife",49,70,12,50,1,182,364
61001,"Northwest Territories/Territoires du Nord-Ouest"," 31B","Yellowknife",39,56,1,44,0,140,308
61001,"Northwest Territories/Territoires du Nord-Ouest"," 32","Yellowknife",65,72,10,55,1,203,444
61001,"Northwest Territories/Territoires du Nord-Ouest"," 33","Yellowknife",81,114,5,95,0,295,573
61001,"Northwest Territories/Territoires du Nord-Ouest"," 34A","Yellowknife",88,100,9,63,3,263,486
61001,"Northwest Territories/Territoires du Nord-Ouest"," 34B","Yellowknife",88,100,10,51,1,250,474
61001,"Northwest Territories/Territoires du Nord-Ouest"," 35","Yellowknife",55,114,8,44,0,221,459
61001,"Northwest Territories/Territoires du Nord-Ouest"," 36","Yellowknife",41,79,4,52,1,177,373
61001,"Northwest Territories/Territoires du Nord-Ouest"," 37","Yellowknife",17,51,5,36,0,109,277
61001,"Northwest Territories/Territoires du Nord-Ouest"," 38","Yellowknife",60,77,3,33,0,173,362
61001,"Northwest Territories/Territoires du Nord-Ouest"," 39","Yellowknife",81,105,4,44,0,234,531
61001,"Northwest Territories/Territoires du Nord-Ouest"," 40","Yellowknife",68,97,8,32,1,206,487
61001,"Northwest Territories/Territoires du Nord-Ouest"," 41","Yellowknife",75,125,5,68,1,274,511
61001,"Northwest Territories/Territoires du Nord-Ouest"," 42A","Yellowknife",52,71,3,20,0,146,309
61001,"Northwest Territories/Territoires du Nord-Ouest"," 42B","Yellowknife",48,49,1,28,1,127,322
61001,"Northwest Territories/Territoires du Nord-Ouest"," 43","Yellowknife",52,78,5,34,1,170,373
61001,"Northwest Territories/Territoires du Nord-Ouest"," 44","Yellowknife",52,94,8,50,3,207,406
61001,"Northwest Territories/Territoires du Nord-Ouest"," 45","Yellowknife",67,104,15,77,0,263,577
61001,"Northwest Territories/Territoires du Nord-Ouest"," 46","Yellowknife",129,112,10,35,0,286,640
61001,"Northwest Territories/Territoires du Nord-Ouest"," 47","Yellowknife",84,77,5,22,2,190,367
61001,"Northwest Territories/Territoires du Nord-Ouest"," 48","Yellowknife",58,75,4,23,1,161,400
61001,"Northwest Territories/Territoires du Nord-Ouest"," 49","Yellowknife",81,116,11,22,2,232,627
61001,"Northwest Territories/Territoires du Nord-Ouest"," 50","Yellowknife",73,107,9,41,1,231,562
61001,"Northwest Territories/Territoires du Nord-Ouest"," 51","Yellowknife",96,115,8,53,2,274,515
61001,"Northwest Territories/Territoires du Nord-Ouest"," 52","Yellowknife",72,75,8,18,1,174,474
61001,"Northwest Territories/Territoires du Nord-Ouest"," 53","Yellowknife",75,73,6,39,0,193,403
61001,"Northwest Territories/Territoires du Nord-Ouest"," 54","Yellowknife",91,80,8,28,0,207,438
61001,"Northwest Territories/Territoires du Nord-Ouest"," 55","Yellowknife",80,96,9,47,2,234,522
61001,"Northwest Territories/Territoires du Nord-Ouest"," 56","Yellowknife",32,65,4,28,2,131,385
61001,"Northwest Territories/Territoires du Nord-Ouest"," 57A","Yellowknife",71,75,8,18,1,173,284
61001,"Northwest Territories/Territoires du Nord-Ouest"," 57B","Yellowknife",59,45,1,21,0,126,269
61001,"Northwest Territories/Territoires du Nord-Ouest"," 58","Detah",32,60,6,1,1,100,148
61001,"Northwest Territories/Territoires du Nord-Ouest"," 59A","Yellowknife",52,67,5,32,0,156,376
61001,"Northwest Territories/Territoires du Nord-Ouest"," 59B","Yellowknife",68,108,15,42,0,233,361
61001,"Northwest Territories/Territoires du Nord-Ouest"," 60","Kakisa",10,11,1,0,0,22,24
61001,"Northwest Territories/Territoires du Nord-Ouest"," 61","Enterprise",12,20,1,2,0,35,80
61001,"Northwest Territories/Territoires du Nord-Ouest"," 62","Hay River",53,136,5,65,2,261,535
61001,"Northwest Territories/Territoires du Nord-Ouest"," 63A","Hay River",51,90,6,36,0,183,334
61001,"Northwest Territories/Territoires du Nord-Ouest"," 63B","Hay River",22,89,2,41,1,155,303
61001,"Northwest Territories/Territoires du Nord-Ouest"," 64","Hay River",41,96,6,44,1,188,434
61001,"Northwest Territories/Territoires du Nord-Ouest"," 65A","Hay River",34,72,4,30,0,140,336
61001,"Northwest Territories/Territoires du Nord-Ouest"," 65B","Hay River",34,65,14,40,1,154,317
61001,"Northwest Territories/Territoires du Nord-Ouest"," 66","Hay River",50,140,9,96,0,295,505
61001,"Northwest Territories/Territoires du Nord-Ouest"," 67","Hay River",21,65,3,5,0,94,184
61001,"Northwest Territories/Territoires du Nord-Ouest"," 68","Fort Resolution",37,156,0,12,0,205,331
61001,"Northwest Territories/Territoires du Nord-Ouest"," 69","Fort Smith",125,106,2,42,1,276,613
61001,"Northwest Territories/Territoires du Nord-Ouest"," 70","Fort Smith",82,72,4,22,0,180,330
61001,"Northwest Territories/Territoires du Nord-Ouest"," 71","Fort Smith",97,100,6,37,0,240,440
61001,"Northwest Territories/Territoires du Nord-Ouest"," 72","Fort Smith",131,94,5,32,2,264,528
61001,"Northwest Territories/Territoires du Nord-Ouest"," 73","Lutselk'e",50,71,1,4,1,127,221
61001,"Northwest Territories/Territoires du Nord-Ouest"," 600","Inuvik",103,74,11,77,1,266,
61001,"Northwest Territories/Territoires du Nord-Ouest"," 601","Norman Wells",21,32,3,24,0,80,
61001,"Northwest Territories/Territoires du Nord-Ouest"," 602","Fort Simpson",33,47,5,16,1,102,
61001,"Northwest Territories/Territoires du Nord-Ouest"," 603","Behchoko",6,83,2,12,0,103,
61001,"Northwest Territories/Territoires du Nord-Ouest"," 604","Yellowknife",288,375,19,235,2,919,
61001,"Northwest Territories/Territoires du Nord-Ouest"," 605","Yellowknife",380,340,27,133,0,880,
61001,"Northwest Territories/Territoires du Nord-Ouest"," 606","Hay River",84,130,13,119,3,349,
61001,"Northwest Territories/Territoires du Nord-Ouest"," 607","Fort Smith",125,87,3,49,3,267,
61001,"Northwest Territories/Territoires du Nord-Ouest",,"Group 1/Groupe 1",31,103,5,33,5,177,145
61001,"Northwest Territories/Territoires du Nord-Ouest",,"Group 2/Groupe 2",462,309,35,183,18,1007,
