Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Thana Boonlert,Joan Crockatt,Kent Hehr,Yogi Henderson,Jillian Ratti,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48004,"Calgary Centre/Calgary-Centre"," 1","Calgary",4,74,62,0,18,2,160,349
48004,"Calgary Centre/Calgary-Centre"," 2","Calgary",5,129,115,3,11,1,264,445
48004,"Calgary Centre/Calgary-Centre"," 3","Calgary",6,124,109,1,10,0,250,469
48004,"Calgary Centre/Calgary-Centre"," 4","Calgary",5,128,102,1,17,0,253,474
48004,"Calgary Centre/Calgary-Centre"," 5","Calgary",6,142,108,2,13,1,272,422
48004,"Calgary Centre/Calgary-Centre"," 6","Calgary",4,108,96,1,14,1,224,381
48004,"Calgary Centre/Calgary-Centre"," 7","Calgary",2,131,68,1,9,1,212,385
48004,"Calgary Centre/Calgary-Centre"," 8","Calgary",14,113,125,1,13,1,267,407
48004,"Calgary Centre/Calgary-Centre"," 9","Calgary",9,138,110,3,7,0,267,396
48004,"Calgary Centre/Calgary-Centre"," 10","Calgary",6,93,75,1,11,0,186,337
48004,"Calgary Centre/Calgary-Centre"," 11","Calgary",13,121,151,3,14,1,303,521
48004,"Calgary Centre/Calgary-Centre"," 12","Calgary",6,137,100,1,10,0,254,481
48004,"Calgary Centre/Calgary-Centre"," 13","Calgary",6,126,137,1,18,0,288,484
48004,"Calgary Centre/Calgary-Centre"," 14","Calgary",2,118,145,1,19,1,286,464
48004,"Calgary Centre/Calgary-Centre"," 15","Calgary",11,103,120,2,17,0,253,453
48004,"Calgary Centre/Calgary-Centre"," 16","Calgary",11,115,133,2,22,0,283,458
48004,"Calgary Centre/Calgary-Centre"," 17","Calgary",9,136,100,0,14,0,259,531
48004,"Calgary Centre/Calgary-Centre"," 18","Calgary",8,179,132,0,17,0,336,569
48004,"Calgary Centre/Calgary-Centre"," 19","Calgary",8,133,145,1,17,3,307,523
48004,"Calgary Centre/Calgary-Centre"," 20","Calgary",4,71,117,1,12,1,206,457
48004,"Calgary Centre/Calgary-Centre"," 21","Calgary",7,86,124,1,18,0,236,437
48004,"Calgary Centre/Calgary-Centre"," 22","Calgary",3,106,137,2,12,1,261,427
48004,"Calgary Centre/Calgary-Centre"," 23","Calgary",2,145,106,0,9,0,262,406
48004,"Calgary Centre/Calgary-Centre"," 24","Calgary",Merged with No./Fusionné avec le n°57,,,,,,,207
48004,"Calgary Centre/Calgary-Centre"," 25","Calgary",4,52,106,0,20,1,183,382
48004,"Calgary Centre/Calgary-Centre"," 26","Calgary",4,55,91,0,11,1,162,300
48004,"Calgary Centre/Calgary-Centre"," 27","Calgary",2,64,125,1,11,1,204,401
48004,"Calgary Centre/Calgary-Centre"," 28","Calgary",3,96,126,1,16,2,244,557
48004,"Calgary Centre/Calgary-Centre"," 29","Calgary",2,116,91,0,9,1,219,461
48004,"Calgary Centre/Calgary-Centre"," 30","Calgary",3,59,109,3,13,1,188,403
48004,"Calgary Centre/Calgary-Centre"," 31","Calgary",5,103,127,2,21,3,261,625
48004,"Calgary Centre/Calgary-Centre"," 32","Calgary",5,128,77,0,8,0,218,486
48004,"Calgary Centre/Calgary-Centre"," 33","Calgary",4,46,107,1,11,4,173,471
48004,"Calgary Centre/Calgary-Centre"," 34","Calgary",3,32,108,2,15,2,162,462
48004,"Calgary Centre/Calgary-Centre"," 35","Calgary",2,91,108,2,8,0,211,526
48004,"Calgary Centre/Calgary-Centre"," 36","Calgary",2,36,71,2,18,2,131,329
48004,"Calgary Centre/Calgary-Centre"," 37","Calgary",1,74,62,0,6,0,143,369
48004,"Calgary Centre/Calgary-Centre"," 38","Calgary",2,57,117,0,20,1,197,489
48004,"Calgary Centre/Calgary-Centre"," 39","Calgary",4,181,91,1,8,0,285,563
48004,"Calgary Centre/Calgary-Centre"," 40","Calgary",4,114,61,0,5,0,184,434
48004,"Calgary Centre/Calgary-Centre"," 41A","Calgary",8,75,62,0,16,1,162,369
48004,"Calgary Centre/Calgary-Centre"," 41B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°42B,,,,,,,81
48004,"Calgary Centre/Calgary-Centre"," 42A","Calgary",3,99,96,6,11,0,215,282
48004,"Calgary Centre/Calgary-Centre"," 42B","Mobile poll/Bureau itinérant",3,132,18,2,7,5,167,160
48004,"Calgary Centre/Calgary-Centre"," 43","Calgary",6,93,47,3,7,1,157,378
48004,"Calgary Centre/Calgary-Centre"," 44","Calgary",2,62,89,1,15,2,171,383
48004,"Calgary Centre/Calgary-Centre"," 45","Calgary",Merged with No./Fusionné avec le n°42A,,,,,,,242
48004,"Calgary Centre/Calgary-Centre"," 46","Calgary",2,123,99,0,5,2,231,404
48004,"Calgary Centre/Calgary-Centre"," 47","Calgary",4,47,91,2,19,0,163,362
48004,"Calgary Centre/Calgary-Centre"," 48","Calgary",5,68,67,0,6,0,146,348
48004,"Calgary Centre/Calgary-Centre"," 49","Calgary",5,77,131,3,13,0,229,433
48004,"Calgary Centre/Calgary-Centre"," 50","Calgary",8,136,184,3,22,4,357,747
48004,"Calgary Centre/Calgary-Centre"," 51","Calgary",2,100,146,0,12,1,261,474
48004,"Calgary Centre/Calgary-Centre"," 52","Calgary",7,103,154,1,21,2,288,537
48004,"Calgary Centre/Calgary-Centre"," 53","Calgary",3,159,116,1,8,1,288,523
48004,"Calgary Centre/Calgary-Centre"," 54","Calgary",4,83,134,3,18,0,242,493
48004,"Calgary Centre/Calgary-Centre"," 55","Calgary",10,71,134,0,15,0,230,466
48004,"Calgary Centre/Calgary-Centre"," 56","Calgary",10,73,162,1,21,0,267,471
