Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Harold Albrecht,Richard Hodgson,Bob Jonkman,Tim Louis,James Villeneuve,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 1","Floradale",79,1,6,34,9,0,129,327
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 2","Woolwich",68,1,0,26,7,3,105,296
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 3","Woolwich",107,2,3,72,14,0,198,380
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 4","Woolwich",95,0,14,76,11,0,196,380
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 5","Woolwich",72,2,3,58,18,0,153,315
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 6","Woolwich",83,3,5,55,25,1,172,297
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 7","Woolwich",84,1,5,49,22,0,161,280
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 8","Woolwich",87,2,6,69,15,3,182,296
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 9","Woolwich",108,0,5,73,15,1,202,310
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 10","Woolwich",86,4,7,71,20,0,188,371
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 11","Woolwich",99,2,10,73,25,0,209,407
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 12","Woolwich",81,5,4,75,9,0,174,318
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 13","Woolwich",125,1,3,75,6,0,210,361
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 14","Woolwich",102,3,4,67,12,0,188,299
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 15","Woolwich",69,1,7,85,22,1,185,302
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 16","Woolwich",97,2,6,50,18,0,173,294
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 17","Woolwich",65,0,3,60,16,0,144,264
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 18","Woolwich",69,0,3,43,5,0,120,265
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 19","Woolwich",73,1,6,47,21,0,148,299
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 20","Woolwich",91,3,4,54,14,0,166,308
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 21","Woolwich",79,4,2,50,13,0,148,277
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 22","Woolwich",88,3,4,38,6,0,139,229
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 23","Woolwich",63,1,1,46,4,0,115,207
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 24","Woolwich",75,0,7,71,19,0,172,348
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 25","Woolwich",88,1,11,93,20,1,214,378
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 26","Woolwich",62,1,7,41,5,1,117,385
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 27","West Montrose",96,2,2,45,10,1,156,312
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 28","West Montrose",103,4,4,69,12,0,192,328
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 29","Woolwich",79,0,4,53,5,0,141,273
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 30","Woolwich",97,4,3,61,12,0,177,287
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 31","Woolwich",47,2,3,50,22,0,124,252
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 32","Winterbourne",91,1,6,80,12,1,191,354
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 33","Winterbourne",83,2,3,95,17,2,202,358
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 34","Winterbourne",101,2,4,69,9,0,185,321
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 35","Bloomingdale",99,2,11,42,22,1,177,333
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 36","Maryhill",110,4,7,71,22,1,215,305
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 37","Maryhill",67,2,13,50,20,3,155,283
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 38","Maryhill",89,2,5,60,18,1,175,304
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 39A","Breslau",87,2,6,64,14,1,174,315
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 39B","Breslau",86,4,3,54,22,1,170,285
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 40","Breslau",77,1,4,75,13,0,170,294
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 41","Breslau",65,3,5,45,18,0,136,257
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 42","Breslau",70,6,3,61,15,1,156,283
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 43","Breslau",71,1,7,66,20,1,166,286
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 44","Breslau",93,3,6,62,10,2,176,269
