Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Laverne M. Lewycky,Inky Mark,Ray Piché,Robert Sopuck,Kate Storey,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 1","Barrows",11,2,29,5,0,0,47,103
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 2A","Pelican Rapids",70,3,47,1,7,0,128,252
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 2B","Pelican Rapids",51,3,26,3,10,2,95,267
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 3","Mafeking",15,7,50,45,1,0,118,205
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 4","Birch River",4,4,25,88,0,0,121,254
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 5","Birch River",12,3,57,36,4,0,112,263
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 6","Duck Bay",22,0,123,4,1,2,152,305
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 7","Cowan",9,0,16,45,4,0,74,102
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 8","Minitonas",5,7,26,108,2,0,148,266
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 9","Minitonas",17,17,26,81,4,2,147,246
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 10","Minitonas",10,15,40,131,4,0,200,293
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 11","Bowsman",6,12,41,123,9,0,191,324
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 12","Bowsman",12,13,28,60,1,1,115,236
