Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Gerard Creces,Ben Lobb,Jutta Splettstoesser,Allan Thompson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35040,"Huron--Bruce/Huron--Bruce"," 1","Saugeen Shores",26,56,6,124,0,212,363
35040,"Huron--Bruce/Huron--Bruce"," 2","Saugeen Shores",34,105,3,161,0,303,463
35040,"Huron--Bruce/Huron--Bruce"," 3","Saugeen Shores",39,70,6,140,1,256,422
35040,"Huron--Bruce/Huron--Bruce"," 4","Saugeen Shores",35,99,7,135,1,277,403
35040,"Huron--Bruce/Huron--Bruce"," 5","Saugeen Shores",25,81,10,123,1,240,445
35040,"Huron--Bruce/Huron--Bruce"," 6","Saugeen Shores",22,58,10,86,0,176,404
35040,"Huron--Bruce/Huron--Bruce"," 7","Saugeen Shores",28,104,6,141,0,279,484
35040,"Huron--Bruce/Huron--Bruce"," 8","Saugeen Shores",26,114,11,122,0,273,457
35040,"Huron--Bruce/Huron--Bruce"," 9","Saugeen Shores",20,80,3,111,0,214,421
35040,"Huron--Bruce/Huron--Bruce"," 10","Saugeen Shores",17,82,6,125,1,231,434
35040,"Huron--Bruce/Huron--Bruce"," 11","Saugeen Shores",16,62,5,121,0,204,445
35040,"Huron--Bruce/Huron--Bruce"," 12","Saugeen Shores",20,85,3,149,1,258,497
35040,"Huron--Bruce/Huron--Bruce"," 13","Saugeen Shores",17,78,1,113,2,211,423
35040,"Huron--Bruce/Huron--Bruce"," 14","Saugeen Shores",31,58,3,98,1,191,384
35040,"Huron--Bruce/Huron--Bruce"," 15","Saugeen Shores",31,81,9,107,0,228,459
35040,"Huron--Bruce/Huron--Bruce"," 16","Saugeen Shores",18,89,0,89,0,196,366
35040,"Huron--Bruce/Huron--Bruce"," 17","Saugeen Shores",10,72,2,119,3,206,384
35040,"Huron--Bruce/Huron--Bruce"," 18","Saugeen Shores",22,65,4,146,1,238,418
