Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Katie Omstead,Dave Van Kesteren,Mark Vercouteren,Tony Walsh,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 603","Leamington",138,160,11,69,3,381,
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 604","Leamington",157,147,9,38,4,355,
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 605","Leamington",178,229,8,52,0,467,
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 606","Wheatley",200,274,12,82,0,568,
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 607","Tilbury",254,265,18,151,3,691,
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 608","Raleigh",101,122,9,50,1,283,
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 609","Raleigh",152,206,12,61,2,433,
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 610","Chatham",190,154,8,70,3,425,
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 611","Chatham",153,122,5,58,1,339,
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 612","Chatham",235,217,9,95,4,560,
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 613","Chatham",142,136,16,46,0,340,
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 614","Chatham",96,106,2,56,2,262,
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 615","Chatham",155,182,10,68,1,416,
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 616","Chatham",135,178,11,88,0,412,
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 617","Chatham",83,76,6,57,1,223,
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 618","Chatham",186,212,5,73,0,476,
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 619","Chatham",130,197,12,103,1,443,
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 620","Blenheim",182,195,25,67,0,469,
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 621","Blenheim",184,262,18,80,1,545,
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 622","Ridgetown",105,172,14,52,0,343,
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 623","Ridgetown",194,273,10,73,3,553,
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington",,"Group 1/Groupe 1",54,47,3,13,9,126,79
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington",,"Group 2/Groupe 2",386,364,17,202,17,986,
