Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Russ Christianson,Adam Moulton,Kim Rudd,Patricia Sinnott,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 1","Trent Hills",28,78,74,6,0,186,391
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 2","Trent Hills",17,66,48,3,0,134,322
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 3","Trent Hills",17,60,58,6,0,141,307
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 4","Trent Hills",23,53,57,3,0,136,335
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 5","Trent Hills",44,40,53,4,0,141,286
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 6","Trent Hills",31,68,53,3,0,155,324
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 7","Trent Hills",38,85,82,3,1,209,476
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 8A","Campbellford",35,50,72,2,3,162,360
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 8B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500,,,,,,52
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 9","Campbellford",30,61,56,2,1,150,371
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 10","Trent Hills",41,104,74,6,0,225,468
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 11","Campbellford",25,61,47,4,0,137,294
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 12","Campbellford",38,61,89,6,0,194,381
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 13","Campbellford",32,42,50,4,1,129,352
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 14","Trent Hills",30,45,63,7,1,146,303
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 15","Trent Hills",26,61,54,6,0,147,331
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 16","Trent Hills",26,58,74,4,0,162,315
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 17","Campbellford",25,48,46,1,0,120,244
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 18","Campbellford",17,42,44,0,0,103,254
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 19","Trent Hills",29,79,66,6,0,180,470
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 20","Brighton",21,93,78,6,1,199,367
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 21","Brighton",31,77,73,4,1,186,351
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 22","Brighton",19,71,68,5,0,163,310
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 23","Trent Hills",28,56,65,8,0,157,315
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 24","Trent Hills",32,78,60,3,2,175,331
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 25","Trent Hills",19,72,53,10,0,154,294
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 26","Trent Hills",42,76,82,10,0,210,392
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 27","Hastings",44,82,80,11,0,217,371
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 28","Hastings",50,87,96,6,0,239,434
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 29","Trent Hills",28,47,60,4,0,139,289
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 30","Asphodel--Norwood",35,75,67,10,3,190,331
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 31","Norwood",36,62,55,8,0,161,302
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 32","Asphodel--Norwood",44,67,67,5,0,183,332
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 33","Norwood",29,79,70,7,0,185,368
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 34","Norwood",27,83,47,2,0,159,299
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 35","Asphodel--Norwood",24,52,60,3,0,139,322
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 36","Asphodel--Norwood",40,71,100,8,0,219,351
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 37","Asphodel--Norwood",29,69,66,3,0,167,363
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 38","Asphodel--Norwood",29,75,70,3,1,178,347
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 39","Otonabee-South Monaghan",34,66,69,7,0,176,412
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 40","Otonabee-South Monaghan",36,76,105,10,0,227,401
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 41","Otonabee-South Monaghan",40,92,84,7,2,225,395
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 42","Otonabee-South Monaghan",40,95,67,9,1,212,417
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 43","Otonabee-South Monaghan",37,108,86,5,1,237,400
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 44","Keene",36,73,66,6,0,181,350
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 45","Keene",33,59,56,7,1,156,307
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 46","Otonabee-South Monaghan",16,68,65,4,1,154,347
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 47","Otonabee-South Monaghan",11,77,60,3,0,151,290
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 48","Alnwick/Haldimand",33,73,80,3,1,190,368
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 49","Alnwick/Haldimand",34,67,75,10,1,187,333
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 50","Alderville 37",26,71,71,10,0,178,320
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 51","Trent Hills",17,52,48,4,1,122,209
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 52","Trent Hills",15,70,54,13,0,152,371
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 53","Alderville 37",73,30,126,6,2,237,391
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 54","Alnwick/Haldimand",29,66,60,2,0,157,290
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 55","Alnwick/Haldimand",23,79,83,6,0,191,317
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 56","Trent Hills",43,66,56,4,1,170,369
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 57","Trent Hills",28,96,56,5,0,185,402
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 58","Cramahe",19,66,49,4,0,138,286
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 59","Cramahe",27,113,84,9,0,233,409
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 60","Cramahe",19,65,54,10,0,148,303
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 61","Alnwick/Haldimand",28,91,90,5,2,216,452
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 62","Brighton",22,107,74,5,0,208,332
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 63","Brighton",15,64,62,8,0,149,288
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 64","Brighton",15,50,79,2,0,146,320
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 65","Brighton",30,91,76,5,3,205,372
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 66","Brighton",20,94,81,7,0,202,394
