Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Beverly Bernardo,Maxime Claveau,Tommy Gaudet,Anne Lagacé Dowson,Chris Lloyd,Peter Macrisopoulos,Danny Polifroni,Justin Trudeau,Yvon Vadnais,Kim Waldron,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24055,"Papineau/Papineau"," 1","Montréal",0,23,1,33,1,0,4,91,11,0,3,167,454
24055,"Papineau/Papineau"," 2","Montréal",0,31,1,31,0,0,5,100,17,0,9,194,486
24055,"Papineau/Papineau"," 3","Montréal",1,17,0,38,1,0,4,100,19,0,3,183,411
24055,"Papineau/Papineau"," 4","Montréal",0,39,2,33,0,0,3,95,21,0,3,196,439
24055,"Papineau/Papineau"," 5","Montréal",1,34,0,32,1,0,1,83,20,1,5,178,383
24055,"Papineau/Papineau"," 6","Montréal",0,5,2,16,1,0,3,120,13,1,7,168,398
24055,"Papineau/Papineau"," 7","Montréal",1,27,0,42,2,0,6,60,12,0,2,152,405
24055,"Papineau/Papineau"," 8","Montréal",0,28,3,38,1,1,5,135,15,3,2,231,510
24055,"Papineau/Papineau"," 9","Montréal",0,10,1,43,0,0,3,92,19,0,10,178,438
24055,"Papineau/Papineau"," 10","Montréal",1,46,3,54,2,0,4,140,23,0,4,277,487
24055,"Papineau/Papineau"," 11A","Montréal",1,13,0,16,1,0,1,75,6,0,1,114,261
24055,"Papineau/Papineau"," 11B","Montréal",0,15,0,14,0,0,0,84,18,0,0,131,247
24055,"Papineau/Papineau"," 12","Montréal",0,25,1,35,0,0,5,100,6,0,3,175,440
24055,"Papineau/Papineau"," 13","Montréal",0,26,0,25,0,0,5,103,11,2,2,174,401
24055,"Papineau/Papineau"," 14","Montréal",0,29,1,30,0,1,3,113,17,1,5,200,450
24055,"Papineau/Papineau"," 15","Montréal",0,20,1,32,6,0,2,103,11,1,1,177,380
24055,"Papineau/Papineau"," 16","Montréal",0,28,1,34,0,2,5,84,12,0,0,166,396
24055,"Papineau/Papineau"," 17","Montréal",0,17,2,19,0,0,9,90,10,0,1,148,346
24055,"Papineau/Papineau"," 18","Montréal",0,21,3,30,0,1,4,127,19,0,5,210,469
24055,"Papineau/Papineau"," 19","Montréal",1,18,1,19,2,0,5,123,20,0,5,194,419
24055,"Papineau/Papineau"," 20","Montréal",0,24,0,28,1,1,5,128,12,0,4,203,371
24055,"Papineau/Papineau"," 21","Montréal",0,17,0,9,1,0,5,126,19,0,4,181,459
24055,"Papineau/Papineau"," 22A","Montréal",0,18,0,17,0,0,3,67,6,1,0,112,256
24055,"Papineau/Papineau"," 22B","Montréal",1,16,0,15,0,0,4,81,11,0,1,129,268
24055,"Papineau/Papineau"," 23","Montréal",0,15,2,20,0,0,3,91,11,0,4,146,350
24055,"Papineau/Papineau"," 24","Montréal",1,21,1,30,3,0,3,151,25,3,3,241,444
24055,"Papineau/Papineau"," 25","Montréal",0,21,1,39,1,0,7,132,9,0,3,213,467
24055,"Papineau/Papineau"," 26","Montréal",0,26,3,38,1,0,2,135,22,3,2,232,442
24055,"Papineau/Papineau"," 27","Montréal",0,21,0,34,0,0,3,101,6,1,0,166,359
24055,"Papineau/Papineau"," 28A","Montréal",3,18,1,28,2,0,3,66,8,0,1,130,292
24055,"Papineau/Papineau"," 28B","Montréal",0,21,2,25,0,0,3,53,10,1,0,115,253
24055,"Papineau/Papineau"," 29","Montréal",0,21,2,31,1,2,2,89,18,0,4,170,420
24055,"Papineau/Papineau"," 30","Montréal",0,18,0,26,0,0,3,127,24,0,2,200,385
24055,"Papineau/Papineau"," 31","Montréal",0,42,1,48,3,0,6,112,18,0,5,235,453
24055,"Papineau/Papineau"," 32","Montréal",0,25,1,38,2,0,8,113,7,1,2,197,423
24055,"Papineau/Papineau"," 33","Montréal",0,16,2,43,2,0,5,91,8,2,4,173,404
24055,"Papineau/Papineau"," 34","Montréal",1,43,1,56,0,0,6,91,6,0,1,205,438
24055,"Papineau/Papineau"," 35","Montréal",0,15,1,23,3,0,3,79,17,0,2,143,395
24055,"Papineau/Papineau"," 36","Montréal",0,12,1,30,0,2,2,110,10,2,6,175,439
24055,"Papineau/Papineau"," 37","Montréal",0,43,3,60,6,2,7,105,13,2,5,246,460
24055,"Papineau/Papineau"," 38","Montréal",2,39,3,56,1,0,6,103,17,2,6,235,452
24055,"Papineau/Papineau"," 39","Montréal",2,45,2,74,1,0,7,107,5,2,2,247,432
24055,"Papineau/Papineau"," 40","Montréal",0,34,2,48,0,0,5,110,10,0,2,211,442
24055,"Papineau/Papineau"," 41","Montréal",2,28,1,53,0,1,8,123,13,1,0,230,389
24055,"Papineau/Papineau"," 42","Montréal",1,33,2,68,6,0,2,112,14,2,1,241,418
24055,"Papineau/Papineau"," 43","Montréal",0,50,1,61,2,0,8,119,22,2,2,267,472
24055,"Papineau/Papineau"," 44","Montréal",1,29,0,55,1,1,8,89,14,0,9,207,414
24055,"Papineau/Papineau"," 45","Montréal",0,35,3,72,4,0,13,92,3,1,1,224,442
24055,"Papineau/Papineau"," 46","Montréal",1,35,0,34,2,1,2,143,11,3,2,234,456
24055,"Papineau/Papineau"," 47","Montréal",2,26,1,40,1,0,9,174,9,3,5,270,472
24055,"Papineau/Papineau"," 48","Montréal",0,30,2,49,4,1,4,119,11,1,7,228,417
